frame_count,time_sec,id,conf,landmarks
0,0.0,,0.9988757,"[[       1354      85.683]
 [       1391      84.334]
 [     1341.9      60.848]
 [     1395.4      58.463]
 [     1328.2      35.156]
 [     1402.1      30.928]
 [     1301.1      9.9774]
 [     1416.3      6.5069]
 [     1290.2      50.077]
 [     1429.4      37.782]
 [       1289      97.304]
 [     1429.1      72.527]
 [     1305.2      136.83]
 [     1429.6      106.66]
 [     1407.8      117.03]
 [     1429.6      119.58]
 [     1394.9      152.72]
 [     1447.1      145.49]
 [     1368.7      153.23]
 [     1461.5      146.55]
 [     1381.3      141.84]
 [     1454.4      139.87]
 [     1380.6      163.28]
 [     1455.3      150.66]
 [       1427      150.16]
 [     1438.2      158.42]
 [     1424.5      163.56]
 [     1449.3      161.28]
 [     1415.5      153.83]
 [     1436.8      150.89]
 [     1381.8      178.92]
 [     1459.3       162.2]
 [     1442.1      173.06]
 [     1424.3      175.36]
 [     1454.5      172.29]
 [     1442.8      187.09]
 [     1404.7      189.83]
 [     1460.6      182.07]
 [     1443.5      201.18]
 [     1374.9      219.15]
 [     1465.5      197.38]
 [     1444.1      206.14]
 [     1444.3       211.8]
 [     1406.9      229.36]
 [     1460.7      219.33]
 [     1444.9      204.24]]"
2,0.04,,0.9990645,"[[     1351.9       87.21]
 [     1388.7      82.967]
 [     1340.2      62.274]
 [     1394.2      57.457]
 [     1326.1      36.476]
 [       1401      29.668]
 [     1299.4      11.183]
 [     1414.9      6.1174]
 [     1287.9      53.617]
 [     1427.2      35.606]
 [     1286.2      101.21]
 [     1427.4      70.996]
 [       1304      138.31]
 [     1429.4       104.1]
 [     1406.2      114.73]
 [     1425.3      120.79]
 [     1391.4      153.17]
 [     1443.1      146.18]
 [     1365.5      152.38]
 [     1458.5      147.43]
 [     1378.3      141.44]
 [     1450.6      140.12]
 [       1378      162.81]
 [       1452      151.85]
 [     1424.4      149.92]
 [       1436      158.74]
 [     1422.5      163.48]
 [     1446.9      161.44]
 [     1413.2      153.75]
 [     1434.3      150.79]
 [     1379.4      179.82]
 [     1456.1      162.88]
 [     1439.9      173.19]
 [     1422.1      175.48]
 [     1452.3      172.23]
 [     1440.5       187.2]
 [     1402.6      189.26]
 [       1458      181.94]
 [     1441.3      201.59]
 [     1372.9      218.76]
 [     1461.9      196.64]
 [     1441.6      206.72]
 [     1441.9      212.33]
 [       1405      228.56]
 [     1458.6      218.33]
 [     1442.5       204.6]]"
4,0.08,,0.99758935,"[[     1349.2      88.203]
 [     1385.6      83.309]
 [       1336      62.111]
 [     1390.6      58.115]
 [     1322.5      36.763]
 [     1397.3      31.035]
 [     1295.7      11.468]
 [     1411.4      6.7591]
 [     1284.5      53.997]
 [     1423.6      36.531]
 [     1283.9      100.19]
 [     1423.9      70.701]
 [     1301.2      140.22]
 [     1426.1      104.08]
 [       1403      114.91]
 [     1420.2      119.02]
 [     1388.9      152.55]
 [     1438.7      145.47]
 [     1362.1      152.21]
 [     1454.9      146.51]
 [     1374.7      141.97]
 [     1446.9      139.77]
 [     1374.9       163.2]
 [     1447.8      150.76]
 [     1420.4      150.98]
 [     1432.9      159.39]
 [     1419.1      164.76]
 [     1443.9      161.98]
 [     1409.3      154.79]
 [     1430.2      151.24]
 [     1375.8      180.33]
 [     1451.5      162.86]
 [     1437.2      173.86]
 [     1418.7      176.33]
 [     1449.4      172.97]
 [     1437.8      187.78]
 [       1400       190.5]
 [     1454.9      182.02]
 [     1438.5      201.48]
 [     1370.1      220.28]
 [     1459.5      197.49]
 [     1438.9      206.75]
 [     1439.4      211.93]
 [     1402.7      229.37]
 [     1455.3      218.54]
 [     1440.2      204.67]]"
6,0.12,,0.99950624,"[[     1346.7      89.146]
 [       1384      83.169]
 [     1333.9       61.86]
 [     1388.5      57.623]
 [     1319.9      35.702]
 [     1395.1      31.143]
 [     1293.9       11.66]
 [     1409.3      6.9532]
 [     1282.8      55.675]
 [     1421.3      35.831]
 [     1280.4      100.94]
 [     1421.5      70.069]
 [     1298.1      140.09]
 [     1422.8      103.98]
 [     1399.7       115.6]
 [     1419.1      120.48]
 [     1386.6      154.16]
 [     1437.1      146.18]
 [     1360.7      154.14]
 [     1452.7      147.54]
 [     1371.9      142.24]
 [     1444.6      140.53]
 [     1372.9      164.36]
 [     1445.9      151.62]
 [     1418.2      150.41]
 [     1429.9      159.05]
 [       1416      164.23]
 [     1441.2      161.71]
 [       1407      154.59]
 [       1428      151.23]
 [     1373.6      180.46]
 [     1450.4      162.11]
 [       1434       173.8]
 [       1416      175.97]
 [     1446.4      172.52]
 [     1434.8      186.83]
 [     1398.1      190.57]
 [       1452       182.7]
 [     1435.7       200.6]
 [     1367.5      221.04]
 [     1457.2      197.42]
 [     1436.2      205.53]
 [     1436.8      210.88]
 [     1400.5      229.77]
 [     1453.2      218.02]
 [     1437.3      203.27]]"
8,0.16,,0.9992169,"[[     1344.4      87.799]
 [     1382.1      83.014]
 [       1331      61.285]
 [     1386.6      57.292]
 [     1317.6      35.824]
 [     1392.9      30.724]
 [     1290.9      11.923]
 [     1406.2      6.5377]
 [     1280.5      54.521]
 [     1419.6       35.76]
 [       1278      101.08]
 [     1419.3      70.269]
 [     1293.7       138.8]
 [     1420.7      104.24]
 [     1398.5      114.64]
 [     1417.2       118.4]
 [     1383.9      153.24]
 [       1435      145.73]
 [       1358      154.08]
 [     1449.8      146.76]
 [     1370.2       142.2]
 [     1442.1      140.29]
 [     1370.4      164.43]
 [     1443.6      151.08]
 [     1415.7      150.25]
 [       1428      159.13]
 [     1413.8      164.65]
 [     1439.3      161.69]
 [     1404.3      154.47]
 [     1425.5      150.63]
 [     1371.7      179.37]
 [     1447.6      162.39]
 [     1432.2      173.69]
 [     1413.7      176.26]
 [     1444.7      172.76]
 [     1433.2      187.55]
 [     1395.2      190.75]
 [     1450.5      181.21]
 [       1434      200.53]
 [     1363.6      221.75]
 [     1455.8      197.12]
 [     1434.7      205.94]
 [     1435.1      211.38]
 [       1398      229.88]
 [     1451.2      218.19]
 [     1435.7      203.24]]"
10,0.2,,0.9998204,"[[     1342.3      86.736]
 [     1380.2      83.213]
 [     1328.8      61.409]
 [     1384.5      57.821]
 [     1315.4      35.299]
 [     1391.2      31.001]
 [       1288      10.981]
 [     1404.3      6.6641]
 [     1277.5      54.088]
 [     1417.1      35.359]
 [     1276.5      99.477]
 [     1417.6      69.516]
 [     1291.2         138]
 [     1418.7      101.23]
 [     1394.6      117.53]
 [     1414.3      120.48]
 [     1382.3      154.77]
 [     1432.8      146.57]
 [     1354.6      153.95]
 [     1447.5      147.86]
 [     1367.7      142.05]
 [     1439.8      140.73]
 [     1367.1      165.71]
 [     1441.5      152.36]
 [     1413.2      151.11]
 [     1425.4      159.78]
 [     1411.5      164.91]
 [     1436.5      162.32]
 [     1401.9      155.15]
 [     1423.1      151.64]
 [     1369.1      180.57]
 [     1445.7      162.67]
 [     1429.7      174.24]
 [     1411.4      176.49]
 [     1441.8      173.13]
 [     1430.4      187.46]
 [     1392.4      190.69]
 [     1447.6      182.72]
 [     1431.1      201.29]
 [     1361.1      221.26]
 [     1452.6      197.73]
 [     1431.3      206.39]
 [     1431.7      212.03]
 [     1395.3      228.78]
 [     1447.8      217.61]
 [     1432.5      203.98]]"
12,0.24,,0.99950683,"[[     1339.9      87.101]
 [     1377.3       84.17]
 [     1327.3      61.725]
 [     1382.7      58.028]
 [       1314       36.47]
 [     1389.1      30.632]
 [     1287.6      12.535]
 [     1402.3      6.3246]
 [     1276.9      55.628]
 [     1415.1      35.877]
 [     1274.5      101.74]
 [     1414.9      70.343]
 [     1291.2      138.57]
 [     1416.6      103.05]
 [     1393.2         116]
 [     1411.4      119.88]
 [     1379.1      153.13]
 [     1429.8      146.28]
 [     1353.2      154.07]
 [     1445.5      147.39]
 [     1365.3      142.36]
 [     1437.7      140.58]
 [     1365.6      164.13]
 [     1438.7       151.3]
 [       1411      150.26]
 [     1423.2      159.57]
 [       1409      164.61]
 [     1434.7      162.05]
 [     1399.2       154.9]
 [     1421.4      151.26]
 [     1367.7      180.94]
 [     1442.8      161.79]
 [     1427.2      174.18]
 [     1409.3      176.86]
 [     1439.9      173.36]
 [     1428.4      188.17]
 [     1389.7      190.03]
 [     1445.4      181.76]
 [     1429.4      201.93]
 [     1359.4      221.93]
 [     1449.4      196.24]
 [     1430.1      206.97]
 [     1430.4      212.94]
 [     1394.3      230.29]
 [     1446.3      217.86]
 [     1430.5      204.83]]"
14,0.28,,0.9995413,"[[     1336.8      85.072]
 [     1376.5      83.882]
 [     1324.3      61.796]
 [     1381.3      56.752]
 [     1311.4      38.332]
 [     1387.2      29.288]
 [       1284       14.12]
 [     1400.7      5.4187]
 [       1274      55.622]
 [     1413.3       34.79]
 [     1272.7      102.64]
 [     1414.1      69.169]
 [     1286.5      138.12]
 [     1415.3      102.69]
 [     1382.6      114.24]
 [     1411.4      121.65]
 [     1373.3      153.95]
 [     1423.7       146.4]
 [     1352.8      156.99]
 [     1439.4      146.48]
 [       1361      147.29]
 [     1431.2      140.53]
 [     1362.9      163.27]
 [     1432.7      151.56]
 [     1407.6      150.49]
 [     1420.6      160.63]
 [     1406.6      165.61]
 [     1432.1      162.53]
 [       1396       155.1]
 [     1418.8      151.16]
 [     1362.5      177.87]
 [     1437.8      163.16]
 [     1424.8      174.66]
 [     1406.5      178.05]
 [     1437.4      174.27]
 [     1425.8      188.95]
 [     1386.1      191.33]
 [       1444      181.21]
 [     1426.8      202.04]
 [     1358.6      222.68]
 [     1448.7      196.13]
 [     1427.2      208.25]
 [     1427.8      214.42]
 [     1393.1         231]
 [     1443.7      217.89]
 [     1428.1      205.15]]"
16,0.32,,0.9991696,"[[       1333       87.74]
 [     1372.4       85.09]
 [     1320.2      61.143]
 [     1379.9      58.014]
 [     1307.3      37.556]
 [       1387      31.117]
 [     1279.3      12.562]
 [     1400.6      5.8699]
 [     1268.7      56.387]
 [     1414.2      35.801]
 [     1267.2      103.16]
 [     1414.5      71.071]
 [     1282.3      137.94]
 [     1413.8      105.74]
 [     1378.4      114.56]
 [     1405.6      125.54]
 [     1365.1      153.24]
 [     1415.4       147.3]
 [     1344.5      157.74]
 [       1433      147.36]
 [       1353      147.54]
 [     1424.2      141.21]
 [     1355.1      162.59]
 [       1426       153.2]
 [     1400.9      153.15]
 [     1413.7      164.35]
 [     1400.5      168.42]
 [     1424.6      166.26]
 [     1389.6      157.65]
 [     1412.3      154.31]
 [     1355.7      180.43]
 [     1431.1      165.02]
 [     1417.1      177.87]
 [     1399.9      180.36]
 [     1429.3      177.09]
 [     1417.7      190.57]
 [     1378.7      194.65]
 [       1437      184.57]
 [     1418.8      204.06]
 [     1351.8       220.7]
 [     1441.5      197.28]
 [     1418.9      210.59]
 [     1419.9      216.09]
 [     1385.8      230.25]
 [     1436.3      218.24]
 [     1419.9       207.8]]"
18,0.36,,0.9984799,"[[     1329.1      87.676]
 [     1371.2      86.415]
 [     1317.5      63.006]
 [     1380.7      57.819]
 [     1304.7      37.548]
 [     1389.2       29.88]
 [     1276.1      11.519]
 [     1403.6      4.7273]
 [     1264.1      54.841]
 [     1419.7      36.096]
 [     1262.2      101.24]
 [     1418.3      72.186]
 [     1279.6      137.08]
 [     1415.9      112.36]
 [     1368.9      117.68]
 [     1395.8      119.26]
 [     1357.4      150.21]
 [     1409.2      147.27]
 [     1337.8      152.96]
 [     1425.2      146.84]
 [     1346.9      145.03]
 [     1416.9      141.34]
 [     1347.1      159.06]
 [     1418.4      152.66]
 [     1393.6      154.09]
 [     1405.2      165.97]
 [     1391.3      169.89]
 [     1416.2      168.55]
 [     1381.6      157.85]
 [     1405.3      155.77]
 [     1345.1      176.86]
 [     1423.9      166.72]
 [     1407.2      180.63]
 [     1390.3      182.28]
 [     1419.6      180.26]
 [     1407.1      193.84]
 [       1368      193.58]
 [       1428      185.27]
 [     1407.5      207.32]
 [     1343.5      218.02]
 [     1431.4      200.18]
 [     1408.1      213.19]
 [       1409      219.31]
 [     1374.3      231.34]
 [     1424.8      223.15]
 [     1408.8      211.02]]"
