frame_count,time_sec,id,conf,landmarks
0,0.0,,0.7105961441993713,"[[      825.6      149.21]
 [     899.95      157.47]
 [     809.68      125.51]
 [     915.85      132.63]
 [     793.42      99.136]
 [     936.59      112.16]
 [     756.16      70.782]
 [     960.24      95.176]
 [     744.21      121.06]
 [     958.95      125.71]
 [     751.25      175.06]
 [     948.54      155.38]
 [     774.02      209.35]
 [     940.08      189.94]
 [     895.44       176.1]
 [     919.16      187.83]
 [     874.44      218.98]
 [     935.37      216.68]
 [     845.66      216.41]
 [     950.09      216.46]
 [     860.06      203.35]
 [     942.36      209.91]
 [      859.2      227.75]
 [     943.03       223.8]
 [     911.52      217.44]
 [     921.52      230.57]
 [     907.41         235]
 [     934.99      234.46]
 [        897      220.92]
 [     924.82      218.75]
 [     860.46      249.37]
 [        947      235.81]
 [     924.98      248.42]
 [     907.15      249.37]
 [     937.02      248.94]
 [     924.48      263.04]
 [     883.48      258.58]
 [     943.39      254.93]
 [     923.71      276.23]
 [     841.96      288.76]
 [     949.49      269.25]
 [     923.16      280.77]
 [     922.84      288.07]
 [     877.17      302.21]
 [     940.02      297.49]
 [     923.66      279.36]]"
2,0.04,,0.6360371708869934,"[[      826.4      150.33]
 [     899.33       157.3]
 [     811.58      127.14]
 [     915.66      132.48]
 [     794.93      100.43]
 [     936.42         112]
 [     757.33      71.536]
 [      960.2      94.705]
 [     744.37       121.8]
 [     958.36       125.9]
 [      750.8      175.67]
 [     948.32      155.84]
 [     774.02      209.95]
 [     939.57      190.54]
 [     895.26      176.41]
 [     917.06      187.69]
 [     874.45      218.74]
 [     933.57      215.97]
 [     845.54      216.14]
 [     948.43      215.85]
 [     859.91      203.06]
 [     940.54      209.01]
 [      859.2      227.45]
 [     941.32      222.73]
 [     910.64      217.44]
 [     920.82      230.95]
 [     906.64      235.41]
 [     934.25      234.61]
 [     895.95      221.16]
 [     923.99      218.42]
 [     860.76      249.39]
 [     945.77      235.62]
 [     924.27       248.6]
 [     906.51      249.96]
 [     936.53      248.95]
 [     924.03       263.4]
 [     882.57      260.03]
 [     943.54      254.98]
 [     923.47      276.63]
 [     841.76      290.27]
 [     949.13      269.05]
 [     922.85      280.81]
 [     922.62      287.49]
 [     876.64      302.86]
 [     939.92      297.35]
 [     923.05      279.11]]"
4,0.08,,0.6178836822509766,"[[     826.41      150.29]
 [     899.05      157.39]
 [     811.39      126.91]
 [     915.81      132.89]
 [     794.71      100.44]
 [     936.76      112.49]
 [     757.44      71.646]
 [        960      95.051]
 [     744.29      121.58]
 [     958.39      125.34]
 [     750.73      175.57]
 [     948.14      155.24]
 [     773.95      210.05]
 [     938.93      190.35]
 [     895.34      176.41]
 [     917.09      187.75]
 [     874.48      218.72]
 [     933.55      216.02]
 [     845.49      216.15]
 [     948.47      215.85]
 [     859.91      203.09]
 [     940.51      209.05]
 [     859.15      227.46]
 [     941.34      222.76]
 [     910.53      217.44]
 [     920.85      230.99]
 [     906.65      235.42]
 [     934.19      234.64]
 [     895.87      221.11]
 [     923.93      218.42]
 [     860.64      249.45]
 [     945.71      235.68]
 [     924.25      248.66]
 [     906.45      250.01]
 [     936.52      249.02]
 [     924.03      263.43]
 [     882.44      259.92]
 [      943.4      254.99]
 [     923.41      276.57]
 [     841.82      290.13]
 [     948.83      269.08]
 [     922.73      280.67]
 [     922.53      287.34]
 [     876.53      302.87]
 [     939.69      297.47]
 [     923.01      279.03]]"
6,0.12,,0.5879003405570984,"[[     826.53      150.32]
 [     899.12      157.51]
 [      811.2      126.82]
 [     915.73       132.6]
 [     794.45      100.44]
 [     936.66      112.03]
 [     757.32      71.543]
 [     960.37      94.657]
 [     744.15      121.46]
 [     958.46      125.68]
 [      750.7      175.49]
 [     948.28      155.62]
 [     773.78      210.08]
 [     939.34      190.49]
 [     895.34      176.41]
 [     917.09      187.75]
 [     874.47      218.72]
 [     933.55      216.02]
 [     845.49      216.15]
 [     948.47      215.86]
 [     859.91      203.09]
 [     940.51      209.06]
 [     859.15      227.46]
 [     941.34      222.77]
 [     910.52      217.45]
 [     920.85      230.99]
 [     906.65      235.42]
 [     934.19      234.64]
 [     895.87      221.11]
 [     923.93      218.42]
 [     860.64      249.45]
 [      945.7      235.69]
 [     924.25      248.66]
 [     906.44      250.01]
 [     936.52      249.02]
 [     924.02      263.44]
 [     882.43      259.92]
 [      943.4      254.99]
 [     923.41      276.57]
 [     841.82      290.13]
 [     948.83      269.08]
 [     922.73      280.66]
 [     922.52      287.33]
 [     876.52      302.87]
 [     939.68      297.47]
 [     923.01      279.02]]"
8,0.16,,0.6226420998573303,"[[     826.55      150.37]
 [     899.38      157.54]
 [     811.35      126.91]
 [     915.77       132.6]
 [     794.63       100.4]
 [     936.53      111.91]
 [     757.31       71.54]
 [     960.24      94.627]
 [     744.15      121.51]
 [      958.4      125.79]
 [     750.67      175.51]
 [     948.22      155.73]
 [     773.93      210.06]
 [     939.47      190.47]
 [     895.33       176.4]
 [     917.09      187.77]
 [     874.48      218.72]
 [     933.54         216]
 [      845.5      216.15]
 [     948.45      215.85]
 [     859.91      203.09]
 [     940.53      209.03]
 [     859.15      227.46]
 [     941.32      222.77]
 [     910.63      217.46]
 [     920.88      230.95]
 [     906.67      235.39]
 [      934.3      234.62]
 [     895.96      221.14]
 [     924.01      218.47]
 [     860.65      249.45]
 [     945.72      235.67]
 [     924.27       248.6]
 [     906.48      249.98]
 [     936.61         249]
 [     924.06      263.39]
 [     882.46         260]
 [     943.43      254.99]
 [     923.47      276.56]
 [     841.78      290.18]
 [     948.95      269.05]
 [     922.81      280.71]
 [      922.6      287.35]
 [     876.63      302.91]
 [     939.87      297.43]
 [     923.05      279.04]]"
10,0.2,,0.6233358383178711,"[[     826.54      150.37]
 [     899.43      157.62]
 [     811.34      126.91]
 [     915.81      132.61]
 [     794.63      100.41]
 [     936.53      111.91]
 [     757.32      71.542]
 [      960.2      94.678]
 [     744.16      121.51]
 [      958.4       125.8]
 [     750.67      175.51]
 [     948.22      155.71]
 [     773.93      210.05]
 [     939.45      190.46]
 [     895.33       176.4]
 [     917.09      187.77]
 [     874.48      218.72]
 [     933.54         216]
 [      845.5      216.15]
 [     948.45      215.84]
 [     859.91      203.09]
 [     940.53      209.03]
 [     859.15      227.46]
 [     941.32      222.77]
 [     910.64      217.48]
 [      920.9      230.96]
 [     906.69      235.39]
 [     934.31      234.63]
 [     895.97      221.15]
 [     924.02      218.48]
 [     860.65      249.45]
 [     945.72      235.67]
 [     924.29       248.6]
 [     906.49      249.97]
 [     936.62      249.01]
 [     924.07      263.38]
 [     882.48      259.98]
 [     943.45      255.01]
 [     923.47      276.56]
 [     841.81      290.16]
 [     948.97      269.06]
 [     922.81      280.73]
 [     922.61      287.39]
 [     876.64       302.9]
 [     939.87      297.43]
 [     923.06      279.03]]"
12,0.24,,0.621204137802124,"[[     826.54      150.33]
 [     899.44      157.62]
 [     811.33      126.88]
 [     915.81      132.61]
 [     794.64      100.37]
 [     936.52      111.91]
 [     757.29      71.543]
 [      960.2      94.684]
 [     744.15      121.47]
 [      958.4      125.81]
 [     750.66      175.52]
 [     948.21      155.72]
 [     773.85      210.07]
 [     939.46      190.47]
 [     895.33       176.4]
 [     917.09      187.77]
 [     874.48      218.72]
 [     933.53         216]
 [      845.5      216.15]
 [     948.45      215.84]
 [     859.91      203.09]
 [     940.53      209.03]
 [     859.15      227.46]
 [     941.32      222.76]
 [     910.64      217.49]
 [      920.9      230.96]
 [     906.69       235.4]
 [     934.31      234.63]
 [     895.98      221.16]
 [     924.02      218.49]
 [     860.65      249.45]
 [     945.72      235.67]
 [     924.29       248.6]
 [      906.5      249.97]
 [     936.62      249.01]
 [     924.07      263.38]
 [     882.48      259.98]
 [     943.45      255.01]
 [     923.48      276.56]
 [     841.81      290.15]
 [     948.96      269.06]
 [     922.81      280.73]
 [     922.61      287.39]
 [     876.64       302.9]
 [     939.87      297.43]
 [     923.06      279.03]]"
14,0.28,,0.7549366354942322,"[[     825.62      149.46]
 [     899.71       157.3]
 [     809.76       125.6]
 [     915.69      132.56]
 [     793.32       99.24]
 [     936.47       112.1]
 [     755.95       70.77]
 [     960.12      95.142]
 [     744.03      121.24]
 [     958.87      125.55]
 [      751.2      175.01]
 [      948.5      155.34]
 [     774.18      209.55]
 [     940.17      189.91]
 [     895.36       176.1]
 [      919.1      187.84]
 [     874.46      218.99]
 [     935.39       216.6]
 [     845.69      216.35]
 [     950.08      216.39]
 [     860.06      203.33]
 [     942.36      209.87]
 [     859.23      227.73]
 [     943.05      223.75]
 [     910.82      216.81]
 [     920.95      230.55]
 [      906.6      234.92]
 [     934.31      234.42]
 [      896.1      220.42]
 [     924.24      218.03]
 [     860.46      249.33]
 [     946.98       235.7]
 [     924.11      248.42]
 [     906.24      249.59]
 [     936.39      248.84]
 [     923.73      263.16]
 [     882.05      259.23]
 [     942.99      254.72]
 [     923.09      276.39]
 [     840.81      289.42]
 [     948.91      268.69]
 [     922.45      280.76]
 [     922.18      287.39]
 [     875.98      302.74]
 [     939.52      297.69]
 [     922.71      279.14]]"
16,0.32,,0.6576600670814514,"[[     825.22      149.28]
 [     898.48      156.88]
 [     809.39      125.91]
 [     915.14      132.74]
 [     792.38      99.603]
 [     936.54      112.57]
 [     755.39      71.321]
 [     960.54      95.021]
 [     742.15      121.05]
 [     958.74       125.9]
 [      749.5      175.34]
 [     948.58       155.8]
 [     772.85      210.48]
 [     939.26      190.15]
 [     894.27      175.11]
 [     918.01      187.88]
 [      874.3      218.16]
 [     935.19       215.9]
 [     844.97      214.87]
 [     949.07      215.48]
 [     859.53      203.06]
 [     941.55      209.43]
 [     858.59      227.33]
 [     942.41      222.45]
 [     910.47      217.14]
 [     921.26      229.79]
 [      907.1      234.14]
 [     934.45      233.67]
 [     895.97      220.69]
 [     923.49      218.24]
 [     859.27      248.37]
 [        947      234.78]
 [     924.58      247.58]
 [     906.51      248.85]
 [     936.99      248.42]
 [     924.26      262.42]
 [     881.95      258.63]
 [     943.24      255.27]
 [     923.69      275.39]
 [     841.78      288.98]
 [     949.27      268.82]
 [     922.87      280.08]
 [     922.77      286.56]
 [     877.14      301.51]
 [     939.94      296.22]
 [     923.34      278.58]]"
18,0.36,,0.7636504173278809,"[[     823.59      148.48]
 [     898.35      156.09]
 [     808.95      125.14]
 [      914.2      131.81]
 [     792.35      99.255]
 [     934.58      112.03]
 [     755.11      70.463]
 [      958.6      94.644]
 [      742.5      120.71]
 [     957.37      125.87]
 [     748.78      173.56]
 [     947.62      155.32]
 [     772.74      209.82]
 [     938.75       189.4]
 [     893.92      176.72]
 [     915.89      186.84]
 [     873.68      218.51]
 [     931.11      215.31]
 [      843.8      214.15]
 [     944.99      215.38]
 [     859.38      201.69]
 [     937.84      208.67]
 [     857.07      226.74]
 [      938.4      221.74]
 [     909.32      216.72]
 [     919.49      230.02]
 [      905.3      234.28]
 [     932.38      233.58]
 [     894.64      220.79]
 [     922.57      217.95]
 [     858.17      248.32]
 [     943.28      233.92]
 [     922.46      247.91]
 [     905.08      249.42]
 [      934.7      248.32]
 [     922.47      262.93]
 [     881.59      259.79]
 [     941.49      253.86]
 [     922.13      275.34]
 [     839.91      288.74]
 [     948.41      266.99]
 [     921.26      280.23]
 [     921.28       285.8]
 [     875.86      300.34]
 [     938.94      294.11]
 [     921.56      278.52]]"
