frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.0,0
8,0.16,,0.0,0
10,0.2,,0.0,0
12,0.24,,0.0,0
14,0.28,,0.0,0
16,0.32,,0.0,0
18,0.36,,0.0,0
20,0.4,,0.0,0
22,0.44,,0.0,0
24,0.48,,0.0,0
26,0.52,,0.0,0
28,0.56,,0.7626544833183289,"[[     944.58      164.87]
 [     1106.4      280.58]
 [     912.44      97.207]
 [     1186.8      223.16]
 [     891.25      29.889]
 [     1254.5      146.05]
 [     811.23     -20.378]
 [     1353.9      97.064]
 [      743.2       83.56]
 [     1338.9      218.33]
 [     737.45      183.69]
 [     1275.9      338.12]
 [     732.01      295.45]
 [     1183.1      442.11]
 [     797.11      379.31]
 [     877.98      386.82]
 [     741.46      453.43]
 [      895.8      522.34]
 [     707.08      440.26]
 [     967.41      530.21]
 [     724.23       429.2]
 [     937.39      496.54]
 [     714.22      464.43]
 [     930.04      556.98]
 [     805.88      505.94]
 [     773.23      543.78]
 [     733.11      540.98]
 [     807.17      565.65]
 [        764         502]
 [     843.92      527.19]
 [     712.75      505.05]
 [     917.18      607.59]
 [     754.21      587.16]
 [     711.92      576.87]
 [     799.78      603.36]
 [     743.31      636.45]
 [     689.96      602.78]
 [     846.48      646.87]
 [     742.13      658.48]
 [     672.19       615.3]
 [     930.27      698.73]
 [     737.02      673.82]
 [     740.58      681.96]
 [     689.12      682.24]
 [     831.26      729.31]
 [     738.15      670.53]]"
30,0.6,,0.5035510659217834,"[[     939.38      164.19]
 [       1087      268.39]
 [     911.89       95.55]
 [     1172.3      216.16]
 [     887.71      27.364]
 [     1241.3      141.19]
 [     811.81     -7.1076]
 [     1327.1      87.148]
 [     745.62      76.022]
 [     1323.9      214.21]
 [     735.49      164.85]
 [     1262.4      329.88]
 [     730.98      287.53]
 [     1173.7      435.12]
 [     765.41      384.11]
 [     842.34       378.1]
 [     712.22      464.93]
 [     871.97      515.04]
 [        674         457]
 [     950.84      536.09]
 [      691.5      442.26]
 [     917.48      496.49]
 [     687.29      480.28]
 [     905.95      556.68]
 [     777.68      502.58]
 [     748.33      547.73]
 [     708.65      543.06]
 [     779.86      565.09]
 [     732.81      500.08]
 [      818.4         523]
 [     677.63      520.54]
 [     896.01       610.1]
 [     730.48      592.04]
 [     688.48      581.86]
 [     779.94      602.38]
 [     722.57      639.16]
 [     659.66      614.43]
 [     825.65      652.89]
 [     720.39      659.43]
 [     648.72      621.06]
 [     906.17       691.4]
 [     714.02      672.97]
 [     716.04      685.49]
 [     667.88      680.45]
 [     807.23       719.9]
 [     718.44      673.99]]"
32,0.64,,0.8946127891540527,"[[     920.79      176.99]
 [     1061.4      273.84]
 [     894.67      108.24]
 [     1120.2      215.86]
 [     874.28       51.74]
 [     1182.8      160.46]
 [     810.01      2.3216]
 [     1276.5      130.36]
 [     734.76      80.974]
 [       1265      243.43]
 [     713.61      179.26]
 [     1222.9      349.76]
 [     716.97       298.7]
 [       1144      427.34]
 [     762.84      383.12]
 [     844.35      382.67]
 [     720.22      444.62]
 [     856.25       503.8]
 [     678.39      428.05]
 [     924.22      514.62]
 [     709.76      421.71]
 [     895.36      480.25]
 [     690.76      454.19]
 [     886.93      536.54]
 [     764.37      495.69]
 [     732.86      530.73]
 [     697.91      527.34]
 [     764.15      549.63]
 [     725.31      492.94]
 [     800.67      516.46]
 [     680.66      484.39]
 [        875      586.22]
 [     714.57       567.6]
 [     676.99      557.58]
 [     756.29       584.1]
 [      703.9      614.61]
 [      650.1      584.58]
 [      802.3      631.38]
 [     699.72      640.59]
 [      641.6      593.14]
 [      890.8      685.02]
 [     692.46      678.58]
 [     691.87      694.31]
 [     648.98      661.15]
 [     787.54      703.83]
 [     690.44      688.81]]"
