frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.0,0
8,0.16,,0.0,0
10,0.2,,0.0,0
12,0.24,,0.0,0
14,0.28,,0.0,0
16,0.32,,0.0,0
18,0.36,,0.0,0
20,0.4,,0.0,0
22,0.44,,0.0,0
24,0.48,,0.0,0
26,0.52,,0.9987083673477173,"[[     1074.2      195.04]
 [     1168.9      204.24]
 [     1055.3      146.44]
 [     1183.6      155.61]
 [     1029.2      106.96]
 [       1209      108.07]
 [     991.73      67.562]
 [     1255.9      76.325]
 [     972.98      127.28]
 [     1272.3      140.87]
 [     969.38      197.71]
 [     1267.5      210.14]
 [     994.24      259.96]
 [     1238.9      264.84]
 [       1088      257.35]
 [     1133.4      250.59]
 [     1053.6      307.64]
 [     1163.5      317.38]
 [     1024.2      301.19]
 [     1204.9      317.97]
 [     1041.2      294.85]
 [     1186.6      301.82]
 [     1037.6         314]
 [     1185.2      334.23]
 [     1110.9      312.55]
 [     1106.6      333.04]
 [     1083.7      336.68]
 [     1129.7      341.02]
 [     1087.2      314.76]
 [     1132.7      320.56]
 [     1030.9      338.39]
 [     1187.1      360.35]
 [     1106.6      357.37]
 [     1077.8      355.37]
 [     1134.1      360.03]
 [     1103.2       386.5]
 [     1051.1      377.05]
 [       1158      386.48]
 [       1103      405.54]
 [     1016.6       404.8]
 [     1196.3      415.87]
 [     1101.3      412.79]
 [     1102.1      422.38]
 [     1045.6      447.85]
 [     1157.4      458.77]
 [     1101.8      410.82]]"
28,0.56,,0.999868631362915,"[[     1067.9       194.8]
 [     1155.8      207.74]
 [       1050      149.59]
 [     1172.4      162.71]
 [     1026.2      109.74]
 [     1195.5      118.46]
 [     975.08        68.8]
 [       1246      81.897]
 [     956.83      133.54]
 [       1267      145.93]
 [     955.35      210.65]
 [     1258.6      218.72]
 [     981.58      269.89]
 [     1228.2      275.47]
 [     1076.5      269.05]
 [     1123.2      258.95]
 [     1039.9      320.03]
 [     1159.8      325.85]
 [     1006.5      305.87]
 [     1197.3      319.45]
 [     1026.9      297.73]
 [     1179.9       304.3]
 [     1018.4      328.84]
 [       1182      339.83]
 [     1099.9      315.71]
 [       1097      336.87]
 [     1072.7      340.11]
 [     1120.2      344.39]
 [     1077.7       318.6]
 [     1121.7      322.38]
 [     1017.1      352.37]
 [     1180.5      365.77]
 [       1095      360.14]
 [     1064.7      357.86]
 [     1125.2       362.6]
 [     1093.4       389.3]
 [     1041.9      385.21]
 [     1150.6      391.92]
 [     1092.2      410.53]
 [     1005.2      409.38]
 [     1195.5      420.09]
 [     1090.1      417.84]
 [     1091.5      427.05]
 [     1032.5      455.35]
 [     1155.6      463.24]
 [     1091.3      414.76]]"
