frame_count,time_sec,id,conf,landmarks
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.0,0
8,0.16,,0.49025923013687134,"[[     640.77      455.13]
 [     769.45      406.73]
 [      610.3      430.99]
 [     795.26      391.58]
 [     584.27      414.03]
 [     824.12      378.17]
 [     551.88      409.23]
 [     866.39      380.39]
 [     533.73      464.69]
 [      876.4      421.22]
 [     553.12      519.01]
 [     863.34      459.26]
 [      583.7      549.96]
 [     843.37      500.77]
 [     705.89       537.7]
 [     748.55      517.12]
 [     698.84      586.08]
 [     779.61      563.01]
 [     678.42      592.37]
 [     802.75      556.64]
 [     687.28      579.91]
 [     788.87      551.15]
 [     690.91      596.59]
 [     793.92      568.35]
 [     745.85      635.78]
 [     757.58      682.57]
 [     735.47      691.77]
 [     784.66       679.8]
 [     722.06      647.17]
 [     769.45      635.82]
 [     692.49      620.27]
 [     802.88      593.36]
 [     763.96      704.04]
 [     740.64      711.67]
 [     790.43       700.6]
 [     770.21      726.88]
 [     715.77      726.24]
 [     809.21      698.71]
 [     773.24       739.4]
 [     679.79      730.61]
 [      828.1      687.81]
 [     774.69       749.4]
 [     776.03      756.22]
 [     735.35      756.25]
 [     811.67      732.73]
 [     773.82      748.76]]"
10,0.2,,0.3052598536014557,"[[     641.18      455.41]
 [      762.7       405.5]
 [      612.2      427.78]
 [     786.46      391.56]
 [     586.39      407.56]
 [     815.92      376.82]
 [     552.05      403.97]
 [     853.11      378.58]
 [      534.4      459.22]
 [     866.24      410.02]
 [      551.6      515.62]
 [      852.8       445.6]
 [     582.34       547.9]
 [     830.12      480.17]
 [     699.16      542.98]
 [     749.13      523.76]
 [     691.39      590.59]
 [     781.45      564.75]
 [     667.95      596.75]
 [     804.89      557.06]
 [     676.91      584.34]
 [     790.77      551.71]
 [     681.78       602.2]
 [     796.19      568.92]
 [     741.49      629.75]
 [     757.82      674.01]
 [     736.93      681.63]
 [     781.23      671.58]
 [     720.66         642]
 [     763.95      629.86]
 [      689.3      628.29]
 [     804.16      592.76]
 [     762.96      692.83]
 [     740.01      698.24]
 [     786.97      688.15]
 [     769.48      711.18]
 [     717.83      716.29]
 [     803.59      689.02]
 [     771.55      722.83]
 [     680.01      723.77]
 [     820.66      685.51]
 [     774.56      733.46]
 [     776.79      741.61]
 [     731.84      742.39]
 [     803.58      717.64]
 [      773.8      733.03]]"
12,0.24,,0.08049008250236511,"[[     634.02      450.74]
 [      767.2      404.21]
 [     609.63      424.42]
 [     788.95      390.04]
 [     587.09      407.45]
 [     817.51       371.6]
 [     554.13      400.46]
 [     853.11      365.74]
 [     535.01       454.5]
 [     865.75      407.13]
 [      549.8      505.07]
 [     854.01      446.76]
 [     579.65      533.19]
 [     834.33      481.93]
 [     696.84      545.13]
 [     761.49      525.23]
 [     687.87      589.83]
 [     790.21       564.5]
 [     663.52      593.64]
 [     814.35      558.46]
 [     674.13      583.65]
 [     800.29      552.56]
 [     675.48         602]
 [     805.43      570.28]
 [     728.57       618.7]
 [     749.12      656.88]
 [     729.97      665.47]
 [     769.41      654.34]
 [     709.77      631.76]
 [     748.71      616.48]
 [     682.28      625.88]
 [     811.04      595.35]
 [     754.56      672.49]
 [     734.33      679.57]
 [     774.04      670.43]
 [     761.43      690.69]
 [     716.99      699.26]
 [     785.39      678.57]
 [      763.4      702.13]
 [     679.49       713.3]
 [     809.82      679.96]
 [     766.13      707.73]
 [     768.62       715.3]
 [     723.82      725.09]
 [     795.97      702.73]
 [     764.06      707.99]]"
16,0.32,,0.05493180453777313,"[[     642.82      422.49]
 [     778.17       382.4]
 [     616.15      392.45]
 [      794.2      352.25]
 [     590.33         367]
 [     817.45      325.47]
 [     552.94      353.68]
 [     838.96      299.85]
 [        531      406.36]
 [     861.96      351.35]
 [     541.92      470.33]
 [     861.59      397.06]
 [      576.2       514.9]
 [     850.18      439.49]
 [     694.84      508.07]
 [     763.53      488.53]
 [     686.45      555.07]
 [     794.21      529.66]
 [     660.74      558.31]
 [     819.59      523.86]
 [     671.84      546.87]
 [     805.14       516.5]
 [     674.06      566.29]
 [     809.72      535.98]
 [     730.44      573.17]
 [     751.21      608.13]
 [     730.15      618.23]
 [     775.65      606.31]
 [     709.78      587.23]
 [     753.72      569.92]
 [     680.25       596.9]
 [     816.26      562.64]
 [     760.27      631.76]
 [     734.98      638.34]
 [      782.7         624]
 [     766.83      650.83]
 [     721.32      656.61]
 [     795.61      630.06]
 [     769.57         667]
 [     679.05      679.89]
 [     833.47       646.8]
 [     774.39      679.63]
 [     778.11      690.05]
 [     727.33      691.85]
 [     808.72       673.4]
 [      771.6      679.57]]"
18,0.36,,0.9765197038650513,"[[     649.56      415.59]
 [     770.38      381.53]
 [     619.01      380.61]
 [     796.84      345.03]
 [     589.37         351]
 [     822.28      311.34]
 [     550.48      331.03]
 [     856.18      272.78]
 [     529.24      395.32]
 [     873.37      339.22]
 [     542.46      469.08]
 [     871.84      400.95]
 [      579.9      505.93]
 [     856.68      460.11]
 [     694.65      541.92]
 [     788.63      529.21]
 [     686.08         593]
 [      823.9      577.55]
 [     646.96      604.17]
 [     848.79      566.62]
 [     663.16      582.69]
 [     832.25      562.29]
 [     669.64      611.55]
 [      840.2      585.28]
 [      758.9      600.95]
 [     764.44      640.15]
 [      740.3      650.73]
 [     797.17      639.05]
 [     732.59      611.28]
 [     782.75      602.14]
 [     677.49      646.61]
 [     840.96      615.65]
 [     771.15      666.17]
 [     742.71      674.39]
 [      803.1      664.23]
 [     775.73      694.72]
 [     715.35      691.22]
 [     828.77      665.48]
 [      780.2      713.32]
 [     673.15      707.89]
 [     861.56      661.47]
 [     778.36       718.2]
 [     780.38      722.97]
 [     727.89       739.7]
 [     838.17      718.37]
 [     778.79      717.01]]"
20,0.4,,0.9822847843170166,"[[     650.39      412.09]
 [     770.68      374.04]
 [     622.45      373.52]
 [     800.22      336.76]
 [     594.27      340.79]
 [     824.81      302.92]
 [     552.19      312.25]
 [     858.66       264.8]
 [     528.45      378.13]
 [     875.21      327.99]
 [     537.48      454.31]
 [     870.69       392.1]
 [     576.81      499.39]
 [     858.07      453.74]
 [     702.78      540.44]
 [     776.83      513.06]
 [      686.7      607.31]
 [     824.95      567.71]
 [     640.25      608.55]
 [     854.61      559.29]
 [     662.08      593.17]
 [     837.52      552.91]
 [      665.1      624.39]
 [     843.26      576.64]
 [     757.98      597.95]
 [     764.67      635.82]
 [     739.25       646.2]
 [     798.35      637.05]
 [      730.2      608.75]
 [     783.56      600.53]
 [     675.66      657.01]
 [     844.66      613.46]
 [     770.06      663.29]
 [     742.05      668.07]
 [     800.53       660.4]
 [     772.67      689.58]
 [     714.59      685.39]
 [      827.5      660.82]
 [     776.24      707.87]
 [        668      704.24]
 [     858.17      660.04]
 [     774.56      712.37]
 [     776.55      719.76]
 [      726.4      735.19]
 [     833.93      714.33]
 [     775.01      711.84]]"
22,0.44,,0.978146493434906,"[[     649.02      413.18]
 [     763.12      372.59]
 [      617.3         372]
 [     794.73      331.65]
 [     587.63      336.12]
 [     822.93      298.84]
 [     545.76      307.63]
 [     852.27      260.27]
 [     522.62      377.93]
 [     871.97      323.27]
 [     536.59      455.93]
 [     869.14      387.54]
 [      573.4       499.2]
 [        853      451.96]
 [     703.26      526.78]
 [     764.34      511.78]
 [     684.73      603.12]
 [     815.76      567.11]
 [     632.98       604.6]
 [     845.56      557.12]
 [     655.08      587.91]
 [     827.92      552.64]
 [     660.75      622.38]
 [     835.43      574.26]
 [     753.08      594.69]
 [     761.65      632.99]
 [     735.12      644.07]
 [     794.64      632.43]
 [     724.98      605.75]
 [     779.79       597.2]
 [     671.53      653.02]
 [     840.23      610.63]
 [     768.97      660.27]
 [     738.29      666.61]
 [     799.98       656.3]
 [     771.99      688.56]
 [     710.52      687.71]
 [      828.1      657.67]
 [     775.78      705.02]
 [      661.8      701.71]
 [     854.85      652.95]
 [     773.96      710.14]
 [     776.33      715.82]
 [     720.77      731.65]
 [      833.1      708.49]
 [     774.31       709.4]]"
