frame_count,time_sec,id,conf,landmarks
0,0.0,,0.9152525067329407,"[[     1049.2      233.06]
 [     1182.8      250.79]
 [     1020.8      262.84]
 [     1207.2      281.17]
 [     999.75      299.95]
 [     1214.7      324.41]
 [     982.18      339.64]
 [     1227.1      374.49]
 [     966.13      287.04]
 [       1254      332.39]
 [     975.19         240]
 [     1266.3      288.28]
 [     1035.7      226.52]
 [     1204.9      282.38]
 [     1098.9      264.96]
 [     1137.6      276.01]
 [     1070.7      307.56]
 [     1146.5      314.83]
 [     1041.7      303.16]
 [     1172.1      321.46]
 [     1057.8      294.74]
 [     1161.3      308.07]
 [     1053.5       315.5]
 [     1158.1      326.62]
 [     1108.8      336.79]
 [     1102.7      363.69]
 [     1081.9      364.28]
 [     1122.4      371.51]
 [     1087.4      336.23]
 [     1127.5      342.92]
 [     1048.7      338.72]
 [     1156.7      352.08]
 [     1099.6      387.36]
 [     1076.2      383.56]
 [     1120.8      391.39]
 [     1095.5      407.69]
 [     1055.3      383.45]
 [     1141.1      397.56]
 [     1093.6      420.18]
 [     1042.7      403.65]
 [     1146.9      417.42]
 [     1091.9      434.96]
 [     1091.4       442.9]
 [     1066.7      419.22]
 [       1118      426.58]
 [     1093.2      429.02]]"
2,0.04,,0.9207403063774109,"[[     1051.2      231.56]
 [     1181.9      251.14]
 [     1020.9      259.18]
 [     1206.2      278.28]
 [     1000.4      297.44]
 [     1214.9       322.1]
 [     983.02      339.19]
 [     1229.2      375.12]
 [     966.13      286.08]
 [     1254.5      331.74]
 [     976.04      240.27]
 [       1266      288.57]
 [     1035.5       225.1]
 [     1204.5      285.91]
 [     1099.2      267.36]
 [     1138.1      275.39]
 [     1070.8       308.3]
 [     1146.7      315.85]
 [     1041.7      303.84]
 [     1172.3      322.61]
 [     1058.4      294.73]
 [     1161.6      309.52]
 [     1053.1      316.44]
 [     1158.1      327.91]
 [     1108.8      337.42]
 [     1103.3      363.58]
 [     1082.5      364.22]
 [     1122.1      371.14]
 [     1087.9      336.48]
 [     1126.7      343.45]
 [     1046.9         339]
 [     1157.2      351.99]
 [     1100.4      387.16]
 [     1077.1      383.29]
 [     1121.1      390.86]
 [     1096.1       407.3]
 [     1055.2      383.47]
 [     1141.3      397.74]
 [     1093.8      420.42]
 [     1043.6      402.63]
 [       1145      417.05]
 [     1091.7      433.63]
 [     1091.1      441.37]
 [     1066.1      418.85]
 [     1117.1      425.95]
 [     1092.9      428.88]]"
4,0.08,,0.9254416823387146,"[[     1051.1      231.38]
 [     1181.8       250.9]
 [     1020.7      258.99]
 [     1206.2      277.81]
 [     1000.2      297.14]
 [     1214.8      321.79]
 [     983.04       338.9]
 [       1229      375.03]
 [      966.4      286.22]
 [     1254.5      331.63]
 [     975.39      240.36]
 [     1266.1      288.51]
 [     1035.4      225.23]
 [     1204.7      287.11]
 [     1099.3      267.32]
 [     1138.3      275.79]
 [     1070.7      308.17]
 [     1146.8      315.83]
 [       1042      303.89]
 [     1172.3      322.61]
 [     1058.4      294.79]
 [     1161.5      309.53]
 [     1053.3      316.34]
 [       1158      327.83]
 [     1108.8       337.4]
 [     1103.2      363.67]
 [     1082.4      364.35]
 [       1122      371.14]
 [     1087.9      336.48]
 [     1126.6      343.35]
 [     1046.8      338.47]
 [     1157.1      351.85]
 [     1100.4      387.22]
 [     1077.1      383.46]
 [     1121.1      390.94]
 [     1096.1      407.39]
 [     1055.2      383.67]
 [     1141.4      397.82]
 [     1093.8      420.41]
 [     1043.8      402.84]
 [     1144.6      416.79]
 [     1091.7      433.53]
 [     1091.1      441.18]
 [     1066.1      419.07]
 [       1117      425.93]
 [     1092.9      428.88]]"
6,0.12,,0.9190846681594849,"[[     1051.3       231.6]
 [     1181.2      250.43]
 [     1021.7      259.94]
 [     1206.5      280.54]
 [       1001      298.89]
 [     1214.5      325.22]
 [     982.06      338.98]
 [     1227.6      375.86]
 [     966.27      287.89]
 [     1253.9      332.88]
 [     975.05      240.57]
 [       1266      289.31]
 [     1034.2      225.65]
 [     1204.1      286.17]
 [     1096.9      268.46]
 [     1137.1      277.35]
 [     1069.9      310.06]
 [       1145      317.23]
 [     1041.5      304.87]
 [     1171.6      323.37]
 [     1057.1      296.44]
 [     1160.2      310.42]
 [     1052.7      317.32]
 [     1157.3      329.07]
 [     1108.4      337.56]
 [       1103      364.37]
 [     1082.3      365.07]
 [     1122.1      371.77]
 [     1087.9      336.86]
 [     1126.7      343.77]
 [     1047.4      339.14]
 [     1157.1      352.89]
 [     1100.2      387.46]
 [     1076.7      384.08]
 [     1121.4      391.75]
 [       1096      409.11]
 [     1055.3       384.3]
 [     1141.1       397.8]
 [       1094      421.47]
 [     1042.5      403.87]
 [     1146.9      416.39]
 [     1092.3      435.69]
 [     1091.5      443.58]
 [       1067      420.36]
 [       1118      426.57]
 [     1093.6      430.31]]"
8,0.16,,0.8910406827926636,"[[     1050.7      232.95]
 [     1182.5      251.45]
 [     1020.7      262.88]
 [     1206.4      282.11]
 [     1001.1      301.29]
 [     1214.3      325.29]
 [     981.95      340.38]
 [     1228.8      376.24]
 [     966.49      288.59]
 [     1254.3      331.43]
 [     974.14      241.71]
 [     1264.7      288.01]
 [     1036.3       225.8]
 [     1203.5      278.44]
 [     1095.1      266.78]
 [     1136.8      276.29]
 [       1070      309.68]
 [     1145.9      316.77]
 [     1041.9      304.71]
 [       1172      323.63]
 [     1057.2      296.77]
 [     1160.5      309.97]
 [     1052.8      316.54]
 [     1157.8      329.09]
 [     1108.3      337.66]
 [     1102.7      364.68]
 [     1082.3      365.58]
 [     1121.7      371.68]
 [     1088.1      337.61]
 [     1126.2       343.9]
 [     1047.2      339.06]
 [     1157.7      352.79]
 [     1100.2      388.49]
 [     1077.1         385]
 [     1121.2      391.68]
 [     1096.1       409.3]
 [     1055.6      385.13]
 [     1141.4      397.45]
 [     1094.4      421.13]
 [     1043.2      404.28]
 [     1146.1      416.66]
 [     1092.6      434.55]
 [       1092      442.71]
 [     1067.2      420.35]
 [     1118.3      425.89]
 [       1094       429.6]]"
10,0.2,,0.8731717467308044,"[[       1051      232.36]
 [     1182.5      251.16]
 [     1021.4      262.09]
 [     1206.8      283.11]
 [       1001       300.7]
 [     1214.1      326.45]
 [     981.81      340.92]
 [     1227.9      376.05]
 [     966.06      288.13]
 [     1253.7      332.42]
 [     974.89      240.44]
 [     1266.3      288.52]
 [     1034.6      226.88]
 [     1204.7      282.97]
 [     1095.9      267.45]
 [     1136.4      275.37]
 [     1070.2      309.33]
 [       1146      317.08]
 [     1041.7      304.04]
 [     1172.7      322.42]
 [     1057.4      295.93]
 [     1160.8      309.67]
 [     1052.7      315.96]
 [     1158.6      328.64]
 [     1108.5         337]
 [     1102.4      364.34]
 [     1082.2      364.73]
 [     1121.5      371.47]
 [     1087.9      336.78]
 [     1126.9      343.14]
 [     1047.2      339.59]
 [     1157.4       353.5]
 [       1100      387.45]
 [     1076.6      384.11]
 [       1121      391.26]
 [     1095.6      408.65]
 [     1055.2      384.17]
 [     1140.7      397.56]
 [     1093.9      420.09]
 [     1042.6       401.9]
 [     1145.7      415.49]
 [       1092      434.83]
 [     1091.3      443.25]
 [     1066.6      419.06]
 [     1117.5      425.91]
 [     1093.3         429]]"
12,0.24,,0.8924977779388428,"[[     1050.9      232.67]
 [       1182      251.28]
 [     1021.4      262.16]
 [     1206.7      282.46]
 [     1001.3      300.56]
 [     1214.4      326.36]
 [     982.38      341.44]
 [     1227.4      377.45]
 [     965.75       288.9]
 [     1253.5      333.14]
 [     974.19      240.74]
 [     1265.4      288.88]
 [     1035.2         226]
 [     1204.5      283.46]
 [       1096      267.04]
 [     1136.3      276.08]
 [     1070.2      309.69]
 [     1145.7      316.91]
 [     1041.8      304.07]
 [       1172      323.07]
 [     1057.5      295.88]
 [     1160.5      309.96]
 [       1053      316.24]
 [     1158.4      329.25]
 [     1108.7      337.71]
 [     1102.5      364.71]
 [     1082.2       365.6]
 [     1121.6       371.9]
 [     1088.6      337.39]
 [     1126.8      343.96]
 [     1047.3      340.18]
 [     1156.9       353.5]
 [     1100.1      388.25]
 [     1076.9      384.79]
 [     1121.1      391.96]
 [     1095.8       409.7]
 [     1055.7      384.89]
 [     1140.8      397.61]
 [     1094.1      420.81]
 [       1043      403.31]
 [     1145.8      416.46]
 [     1092.1      435.56]
 [     1091.4       444.1]
 [     1066.9      419.96]
 [     1117.8      425.89]
 [     1093.6      430.01]]"
14,0.28,,0.8975154161453247,"[[     1050.4       232.8]
 [     1182.4      251.59]
 [     1021.1      262.65]
 [     1206.6      282.91]
 [     1000.4      299.54]
 [     1214.9      326.43]
 [     981.39      339.51]
 [     1227.2      376.69]
 [     965.67      287.04]
 [     1253.8      332.91]
 [     974.51      240.43]
 [       1265      288.56]
 [     1036.5      226.08]
 [     1202.7      277.98]
 [     1097.8      268.86]
 [     1137.3      278.07]
 [     1070.5      309.37]
 [     1145.8       316.9]
 [       1042      304.31]
 [     1171.9      323.36]
 [       1058      295.59]
 [     1160.7      309.96]
 [     1053.3      317.01]
 [     1158.1      328.31]
 [       1108      336.83]
 [     1102.5      364.22]
 [       1082      364.64]
 [     1121.8      371.72]
 [       1087      336.17]
 [     1126.8      343.03]
 [     1047.7      339.65]
 [     1156.6      353.26]
 [     1099.6      388.18]
 [     1076.1      384.17]
 [     1120.7      392.03]
 [     1095.1      408.75]
 [     1054.5      383.69]
 [     1141.1      398.13]
 [     1092.9      420.86]
 [     1041.5      402.01]
 [     1146.6      417.44]
 [       1091      435.37]
 [     1090.3      443.78]
 [     1065.3      419.74]
 [     1117.1      426.88]
 [     1092.6      429.74]]"
16,0.32,,0.9023572206497192,"[[     1050.8      232.72]
 [       1184      254.53]
 [     1021.1      261.85]
 [     1206.6      286.04]
 [     1001.1       300.4]
 [     1214.6      328.73]
 [     982.08      340.16]
 [     1227.2      378.41]
 [     966.32      288.75]
 [     1253.8         333]
 [     974.81      240.64]
 [     1264.3      287.88]
 [     1035.6      226.59]
 [     1201.8      263.63]
 [     1097.5      267.67]
 [     1139.2      280.28]
 [     1070.7      309.82]
 [       1146      316.58]
 [     1041.7      304.62]
 [       1172       322.6]
 [     1057.7      296.23]
 [     1160.8      309.68]
 [     1053.3      317.11]
 [     1158.4      327.69]
 [     1108.9      337.52]
 [     1102.6      364.84]
 [     1082.1      365.46]
 [     1122.1      372.23]
 [     1087.9      336.93]
 [     1127.5      343.77]
 [     1047.5      340.36]
 [     1157.3      351.95]
 [     1100.2      388.19]
 [     1076.6      384.64]
 [     1121.3      392.37]
 [     1095.9      409.64]
 [       1055      384.51]
 [     1140.7      398.41]
 [       1094      421.32]
 [       1041      402.84]
 [     1146.9      417.45]
 [       1092      435.73]
 [     1091.3      444.32]
 [     1066.1      419.93]
 [       1118      427.19]
 [     1093.4      430.55]]"
18,0.36,,0.899470329284668,"[[       1050       232.9]
 [     1182.8      252.96]
 [     1020.9      261.87]
 [     1206.4      285.12]
 [     1001.1      300.05]
 [     1214.6      328.01]
 [     982.79      340.61]
 [     1227.1      377.88]
 [     966.51      289.03]
 [       1253      333.68]
 [     974.85      242.08]
 [     1265.4       289.3]
 [       1035      226.42]
 [     1203.8      278.27]
 [     1097.6      267.98]
 [     1138.7       279.6]
 [       1071      309.92]
 [     1145.8      317.11]
 [     1041.2      304.51]
 [     1171.8      322.45]
 [     1057.5      296.16]
 [     1160.6      309.77]
 [     1053.3      317.03]
 [     1158.4      328.26]
 [     1108.8      337.64]
 [     1102.6      364.89]
 [     1082.1      365.44]
 [     1121.9      372.18]
 [     1088.1      336.94]
 [     1127.3      343.92]
 [     1047.5      339.89]
 [     1156.9      352.36]
 [     1100.1      388.23]
 [     1076.4      384.71]
 [     1121.6      392.35]
 [     1095.9      409.95]
 [     1054.8      385.29]
 [     1140.5      399.21]
 [     1093.8      421.92]
 [     1041.5       402.4]
 [     1146.6       417.2]
 [     1091.7      436.17]
 [       1091      444.33]
 [     1065.8      420.46]
 [     1117.7      427.38]
 [     1093.3      430.82]]"
