frame_count,time_sec,id,conf,landmarks
0,0.0,,0.9966709017753601,"[[     886.21         279]
 [     946.75      292.82]
 [     871.77      247.62]
 [     955.78      262.46]
 [     855.79      219.28]
 [      971.8      234.13]
 [     825.73      194.34]
 [       1003      210.41]
 [     818.81      237.76]
 [     1018.6       252.2]
 [     826.94      283.79]
 [     1017.8      301.74]
 [     839.67      321.71]
 [     996.22      347.99]
 [     876.03      346.69]
 [     898.67      340.78]
 [      854.1      379.21]
 [     923.43      387.37]
 [     832.75      375.61]
 [     954.37      384.48]
 [     844.13      369.62]
 [     938.26      374.22]
 [     842.19      384.57]
 [     939.97      397.49]
 [     886.84      383.82]
 [     879.35      399.14]
 [     863.08      401.01]
 [     897.92      404.43]
 [     870.79       387.4]
 [     902.46      388.74]
 [     838.91      403.97]
 [     938.68      416.43]
 [     876.14      415.87]
 [     859.01      415.02]
 [     897.22      417.58]
 [     875.01      433.92]
 [     850.94      431.14]
 [     918.33      436.27]
 [     875.21      446.04]
 [     836.41      442.72]
 [     953.64      450.18]
 [     874.63      450.63]
 [     875.77      456.62]
 [     848.47      468.22]
 [      921.2      474.01]
 [      874.9      449.55]]"
2,0.04,,0.9964798092842102,"[[     886.18      280.85]
 [     946.89       293.3]
 [     871.74      248.07]
 [     955.65      262.06]
 [        856      219.33]
 [     970.91      234.46]
 [     825.19      194.42]
 [       1003      210.78]
 [     818.76      238.06]
 [     1017.6      252.29]
 [     827.04         284]
 [     1016.8       301.5]
 [     839.28      322.31]
 [     995.58      347.65]
 [     873.69      346.39]
 [     899.66      342.25]
 [     854.51      380.37]
 [     924.24      387.82]
 [     833.39      375.76]
 [     954.75      385.59]
 [     844.22      369.96]
 [     938.71      374.83]
 [     842.46      384.95]
 [     940.52      398.63]
 [     886.78      384.86]
 [     879.54      400.42]
 [     863.18      402.62]
 [     898.06       406.1]
 [     870.68       388.3]
 [     902.25      389.98]
 [     840.68      402.67]
 [     939.26      417.21]
 [     876.02      418.13]
 [     858.97      416.83]
 [     897.08      419.53]
 [     874.76      435.86]
 [     850.43      431.76]
 [      918.5      437.37]
 [     875.31      447.34]
 [     837.43      444.06]
 [     953.67      451.71]
 [     874.87      451.64]
 [     876.05      456.53]
 [     849.05      468.83]
 [     920.47      474.61]
 [     874.83      450.56]]"
4,0.08,,0.9969869256019592,"[[      885.6      280.27]
 [     946.78      292.53]
 [     871.54      247.84]
 [     956.26      262.07]
 [     855.97      219.45]
 [     971.65      233.74]
 [     825.22      194.25]
 [     1003.8      210.77]
 [     818.85      237.58]
 [     1018.3      252.51]
 [      826.9       283.9]
 [     1017.9      301.89]
 [     839.17      322.91]
 [     996.39      347.25]
 [     873.61      346.06]
 [      899.1      340.99]
 [     855.08      379.75]
 [     923.62      387.25]
 [     832.93      374.83]
 [     954.55      385.01]
 [     844.49      369.08]
 [     937.95      374.32]
 [     842.39       384.6]
 [     939.99      397.84]
 [     886.61      383.68]
 [     879.28      398.95]
 [     863.25       401.2]
 [     897.73      404.48]
 [     870.76      387.55]
 [     901.96      388.71]
 [     840.42      402.36]
 [     938.62      416.37]
 [     875.97      415.89]
 [     858.79      414.73]
 [     896.93      417.35]
 [     874.95      433.99]
 [     850.52      430.38]
 [     917.59      435.46]
 [     875.52      445.99]
 [     836.37      442.48]
 [     953.76      450.42]
 [     874.94      450.43]
 [     876.06      455.35]
 [     848.66      467.84]
 [     920.45      473.62]
 [     875.26       449.5]]"
6,0.12,,0.9961661100387573,"[[     884.93      282.63]
 [     945.75      293.24]
 [     870.83      249.74]
 [     954.79      263.06]
 [      854.8         220]
 [     969.81      235.06]
 [     823.66      195.74]
 [     1001.3      210.83]
 [     817.52      239.14]
 [     1016.5       252.5]
 [     826.09      284.63]
 [       1016      302.52]
 [     838.16      323.74]
 [     994.63      348.93]
 [     870.08      347.29]
 [     897.09      344.11]
 [     853.81      380.61]
 [     922.98      388.62]
 [     832.13      376.46]
 [     953.47      385.84]
 [     843.21      370.75]
 [     937.31      375.79]
 [     841.65       385.5]
 [     939.88      399.14]
 [     885.82      385.43]
 [     878.77      401.01]
 [     862.55      403.39]
 [     897.16      406.81]
 [     870.24      389.47]
 [     900.95      390.74]
 [     839.66      402.61]
 [     938.35      418.72]
 [     874.68       418.9]
 [     857.76       417.4]
 [     896.19      420.18]
 [     873.78      436.91]
 [      849.6      431.39]
 [     916.95       436.4]
 [     874.61      447.36]
 [     836.11      443.97]
 [     953.51      452.69]
 [     874.07      452.38]
 [     875.28      457.07]
 [     848.33      470.12]
 [     920.23      476.09]
 [     874.19      451.42]]"
8,0.16,,0.9974780678749084,"[[     885.05      281.09]
 [     945.33      293.44]
 [     870.85      249.52]
 [     954.39      263.09]
 [      855.1      220.57]
 [     969.65      235.29]
 [     823.97      195.92]
 [     1001.9      211.48]
 [     817.32      239.21]
 [     1016.8      253.26]
 [     825.71      286.46]
 [     1015.9      303.26]
 [     839.37      323.54]
 [     994.47      350.82]
 [      871.5      346.94]
 [     896.62      343.74]
 [     853.42      382.56]
 [     922.33      389.28]
 [      832.2       378.6]
 [     953.53       386.4]
 [     843.34      372.45]
 [     937.08      375.86]
 [     841.05      388.11]
 [     939.51      399.25]
 [      885.1      385.31]
 [     878.03      401.06]
 [     861.45      403.59]
 [     896.78      406.69]
 [     869.21      389.52]
 [     900.33       390.4]
 [     839.18       405.3]
 [     938.02      418.78]
 [     874.31      418.34]
 [     857.16      417.29]
 [     895.59      419.93]
 [     873.25      436.76]
 [      849.5      431.97]
 [     916.04      436.37]
 [     873.97      448.01]
 [     835.19      446.12]
 [     954.41      453.08]
 [     873.12      453.61]
 [      874.4      458.43]
 [     848.45      470.98]
 [     920.45      475.89]
 [     873.48      452.25]]"
10,0.2,,0.997735857963562,"[[     884.78      279.88]
 [     943.61      294.26]
 [     869.67      248.94]
 [      952.9      263.08]
 [      853.4      220.61]
 [     968.22      235.69]
 [     823.97      195.73]
 [     1000.6      211.76]
 [      816.5      238.58]
 [     1015.5      253.07]
 [     824.98      285.83]
 [     1014.7      303.86]
 [     837.59      322.79]
 [     992.21      351.39]
 [      871.8      347.04]
 [     897.14      343.86]
 [     851.13      382.49]
 [     921.98      388.77]
 [     830.26      377.35]
 [     952.87      386.88]
 [     841.58      371.82]
 [      936.7      376.73]
 [     838.97      387.14]
 [     938.56      399.61]
 [     884.84      386.14]
 [     877.82      401.26]
 [     861.17      403.68]
 [     896.38      406.72]
 [     868.84      389.79]
 [     900.03      391.01]
 [     837.26      405.81]
 [     937.31      417.98]
 [     874.16      418.28]
 [     856.81      417.51]
 [     895.51      420.63]
 [     873.23      437.18]
 [     848.41      433.45]
 [     916.76      438.04]
 [      873.6      448.12]
 [      834.4      445.35]
 [     952.65      453.93]
 [     872.78      453.26]
 [     873.87      457.96]
 [     846.86      471.09]
 [     918.58      476.31]
 [     873.09      452.24]]"
12,0.24,,0.9973676800727844,"[[        884      280.16]
 [     944.24      294.32]
 [     869.13      249.24]
 [     952.65      264.21]
 [      853.4      221.03]
 [     968.05      235.74]
 [     823.23      196.28]
 [     999.52      211.77]
 [      815.5      238.75]
 [     1015.4      253.63]
 [     824.38      285.08]
 [     1014.8      304.43]
 [     837.72      322.04]
 [     992.52      349.26]
 [      870.6      347.68]
 [     897.34      346.09]
 [     851.13      382.44]
 [     921.31      389.55]
 [     830.47      377.79]
 [      951.9      387.36]
 [     841.22      372.39]
 [      935.9         377]
 [     839.22      387.56]
 [     938.04      399.99]
 [     884.89      386.89]
 [     877.71       402.6]
 [     860.86      404.84]
 [     896.15      408.05]
 [     868.52      390.35]
 [     900.17      391.93]
 [     837.14      404.45]
 [     935.73      419.06]
 [     874.09      419.73]
 [     856.91      418.97]
 [     895.33      421.87]
 [     873.08      438.41]
 [     848.25      433.51]
 [     916.29      438.87]
 [     873.45      449.08]
 [     834.78      445.57]
 [     951.25       455.2]
 [      872.7      453.62]
 [     873.87       458.1]
 [     846.97      471.16]
 [     917.58      477.15]
 [     872.62       452.6]]"
14,0.28,,0.9978377223014832,"[[     883.17      280.31]
 [     944.13      294.72]
 [     868.76      249.73]
 [     953.05      264.46]
 [     852.78      221.43]
 [      968.5      236.66]
 [     822.52      196.95]
 [       1000      212.75]
 [     815.03      240.19]
 [     1015.6      254.27]
 [     823.65      287.14]
 [     1014.6      304.65]
 [     837.03      322.89]
 [     992.75      349.56]
 [     870.24         348]
 [      896.8      344.87]
 [      850.1      383.25]
 [     921.28      390.38]
 [     829.24      379.87]
 [     952.16      387.83]
 [     840.02      373.05]
 [     936.14      377.85]
 [     838.29       388.4]
 [     938.25      400.55]
 [     884.15      387.06]
 [     876.87      402.66]
 [     860.28      404.82]
 [     895.99      407.98]
 [     867.93      390.95]
 [     899.69      391.97]
 [     836.16      406.56]
 [     936.09      419.33]
 [     873.34      419.27]
 [      856.3       418.9]
 [     895.14      421.67]
 [     872.57      438.07]
 [     847.43      435.13]
 [      916.1      439.54]
 [     872.78      448.98]
 [     833.52      446.28]
 [     951.98      456.07]
 [     871.76      454.18]
 [     873.13      458.89]
 [      845.9      473.43]
 [     917.62      477.75]
 [     872.27      453.43]]"
16,0.32,,0.9982960820198059,"[[     881.96      281.41]
 [     944.12      294.62]
 [     867.91      250.42]
 [     952.62      264.48]
 [     852.26      221.94]
 [     968.32      236.72]
 [     822.58      197.44]
 [     999.41      212.95]
 [     815.21      240.34]
 [     1015.1       254.9]
 [     823.81      286.29]
 [     1013.9      305.45]
 [      836.9      323.34]
 [     992.11      349.89]
 [     870.19      348.97]
 [     896.25      346.44]
 [     850.15      383.42]
 [     920.97      390.89]
 [     829.33      379.44]
 [     951.95      388.18]
 [     839.93      372.87]
 [     935.71      377.61]
 [      837.9      389.44]
 [     937.84      400.81]
 [     884.16      387.74]
 [     877.13      402.86]
 [     860.73      405.03]
 [     895.91      408.34]
 [     868.17      391.45]
 [     899.58      392.73]
 [     837.42      406.05]
 [     936.14      419.81]
 [     873.26       420.1]
 [     856.65      419.72]
 [     894.95      422.45]
 [     872.62      438.63]
 [     847.77       433.6]
 [     915.68      438.31]
 [     872.92      449.13]
 [     834.11      446.03]
 [     951.64      456.17]
 [     872.23      454.03]
 [     873.47      458.86]
 [     846.61      472.84]
 [      917.9      477.47]
 [     872.52      453.39]]"
18,0.36,,0.9986580610275269,"[[     881.21      282.15]
 [     944.11      294.84]
 [     867.99      250.55]
 [     953.29      265.11]
 [     851.95      221.31]
 [     968.14      236.71]
 [     821.82      196.74]
 [     999.99      213.26]
 [     815.22      240.45]
 [     1014.7         255]
 [        823      287.24]
 [     1013.9      305.44]
 [     836.71      324.63]
 [     992.21      349.15]
 [      867.7      349.22]
 [      895.9      345.85]
 [     850.35      382.96]
 [      920.6      390.22]
 [     831.29      377.71]
 [     951.69      387.57]
 [     841.88      372.01]
 [     935.23      377.37]
 [      838.9      387.78]
 [     937.16       400.1]
 [     882.97       387.2]
 [     876.52      401.66]
 [     860.67      403.76]
 [     895.23      406.74]
 [     867.65      390.82]
 [     898.31      391.99]
 [     836.59      404.31]
 [     936.18      419.18]
 [     872.93         418]
 [     856.64      417.89]
 [     894.67      420.45]
 [     872.21      436.98]
 [     846.54      432.84]
 [     916.02      437.68]
 [     872.39      447.44]
 [     832.54      444.62]
 [     952.92      454.82]
 [     871.91      453.51]
 [     873.14       459.3]
 [     845.05      471.95]
 [     918.26      476.97]
 [      872.4      451.85]]"
