frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0893116,"[[     734.91      259.58]
 [     863.51      245.24]
 [     713.68      277.18]
 [     883.61      264.75]
 [     703.32      301.95]
 [     898.31      294.11]
 [     687.06      335.16]
 [     925.91      315.27]
 [      686.7      300.26]
 [     946.51      290.78]
 [     693.39      269.78]
 [     953.49       268.1]
 [     720.78      263.28]
 [     904.56      273.76]
 [     751.15       293.7]
 [     793.24      288.65]
 [     738.31       330.6]
 [      812.5      330.54]
 [     715.84      331.87]
 [      844.2      328.39]
 [     727.28      322.97]
 [     828.67      319.26]
 [     725.86      338.52]
 [     830.31      338.93]
 [        751       377.6]
 [     740.03      406.38]
 [     723.17      409.98]
 [     759.88      409.91]
 [      732.4      380.59]
 [     770.63      383.15]
 [     724.13      361.51]
 [     830.64       365.5]
 [     739.53      430.74]
 [     721.18       430.3]
 [     760.58      428.77]
 [     740.83      449.19]
 [     706.97         433]
 [     787.26      428.83]
 [     742.94      462.32]
 [     705.53      449.08]
 [      816.6      451.38]
 [     744.97      475.89]
 [        747      482.93]
 [     722.18      462.99]
 [     780.75      464.03]
 [     745.22      468.78]]"
2,0.04,,0.14128456,"[[     730.86      262.12]
 [     857.39      250.81]
 [     707.77      280.73]
 [     876.54      269.23]
 [     697.59      304.98]
 [     889.87      299.01]
 [     682.36      341.37]
 [     916.19      320.73]
 [      678.2      301.52]
 [     936.97      294.67]
 [     685.73         272]
 [     946.32      270.13]
 [     714.06      264.61]
 [     899.85      277.89]
 [     745.55      298.25]
 [     782.38      291.69]
 [     730.63      336.98]
 [      802.8      335.52]
 [     707.42      335.75]
 [     837.25       332.4]
 [     720.52      327.35]
 [     819.26       323.3]
 [      718.2      344.51]
 [     822.73      345.44]
 [     741.66      380.87]
 [     729.89      409.62]
 [     713.08      413.47]
 [     750.03      412.97]
 [     722.87      384.11]
 [     761.04      386.55]
 [     715.36      367.44]
 [     822.02      370.58]
 [      729.4      434.83]
 [     711.17      434.51]
 [     751.12      432.19]
 [     731.12      453.17]
 [     696.32      437.34]
 [     776.87      431.72]
 [     733.35      467.06]
 [     694.77      452.55]
 [     807.14      454.09]
 [     735.09      480.63]
 [     737.24       487.4]
 [     711.64      467.02]
 [     771.41      467.49]
 [      735.4      473.67]]"
4,0.08,,0.12311085,"[[     728.36      270.11]
 [     848.08      257.59]
 [     702.98      286.79]
 [      866.2      273.57]
 [     694.42      312.11]
 [        877      306.16]
 [     679.64      348.38]
 [     904.21      330.22]
 [     676.75      310.38]
 [     926.79      300.98]
 [     686.42       278.5]
 [     938.74      275.04]
 [     715.52      267.73]
 [     893.64      291.83]
 [     739.35       303.7]
 [     778.78      299.21]
 [     723.86      343.82]
 [     795.61      341.19]
 [     700.63      341.21]
 [     828.76      338.23]
 [     713.44      333.88]
 [     811.08      328.69]
 [     711.26      350.91]
 [     814.19      349.95]
 [     734.77      386.22]
 [     722.01      414.89]
 [     705.77      418.59]
 [     741.56      418.19]
 [     715.65      388.86]
 [     754.36      391.79]
 [     709.11      375.36]
 [     812.35      375.16]
 [     722.04      439.56]
 [     703.73      439.35]
 [     742.67      437.58]
 [     723.26         458]
 [     689.85      441.75]
 [     768.15      436.71]
 [     725.51       471.1]
 [     688.87      456.84]
 [     798.82      459.76]
 [     726.86      485.99]
 [     729.29      492.45]
 [     704.71      471.27]
 [     762.38      473.03]
 [     727.43      478.34]]"
6,0.12,,0.18190853,"[[     718.83       276.9]
 [     844.35      262.46]
 [     695.94      292.05]
 [     861.21      278.45]
 [     688.38      317.37]
 [     872.69      311.07]
 [     674.14      350.67]
 [     898.39         336]
 [      671.9       314.6]
 [     921.86      306.56]
 [     678.07      284.89]
 [     936.18      278.12]
 [     705.48       276.1]
 [     887.22      285.54]
 [     733.21      307.27]
 [     770.63      302.72]
 [     717.35      349.74]
 [     788.98      345.83]
 [     695.06      346.79]
 [      824.2      342.57]
 [     707.31      339.88]
 [     805.66      332.47]
 [     704.84      356.47]
 [     809.14      356.15]
 [     727.54      391.42]
 [     715.01      419.03]
 [     698.72      422.61]
 [     734.81      422.54]
 [     709.24      394.47]
 [     747.07      395.99]
 [      701.2      378.79]
 [      808.2      381.58]
 [      715.1       443.9]
 [      696.5      444.06]
 [     736.27       441.4]
 [     716.62      462.61]
 [     684.03      447.65]
 [     763.64      441.33]
 [     718.84      474.81]
 [     683.11      461.35]
 [      795.8      463.45]
 [     720.63      489.44]
 [     722.89      496.26]
 [     697.66      475.57]
 [     757.26      476.14]
 [     720.68      481.19]]"
8,0.16,,0.10306167,"[[     718.19      280.47]
 [     839.35      265.43]
 [     690.92      299.14]
 [     854.73      279.05]
 [     684.88      328.29]
 [     866.28      311.69]
 [      672.7      363.82]
 [     892.15      339.45]
 [      672.4      322.33]
 [     915.35      311.25]
 [     677.58      291.24]
 [     935.25      283.42]
 [      706.8      273.68]
 [     887.65      310.99]
 [     728.76      313.14]
 [     764.34      306.64]
 [     712.93      352.92]
 [     783.11      349.57]
 [     691.09      351.01]
 [     818.18      347.17]
 [     702.68      342.86]
 [     799.41      337.22]
 [     700.79      360.08]
 [     802.68      359.31]
 [     723.29      394.44]
 [     708.69      423.46]
 [      693.2      427.12]
 [     728.45      427.19]
 [     705.06      397.36]
 [     742.81      399.79]
 [     698.66      382.17]
 [     801.23      385.42]
 [     708.96      448.18]
 [     691.09      448.17]
 [     729.49      446.24]
 [     710.54      467.43]
 [     679.54      452.21]
 [      756.6      446.23]
 [     713.02      478.92]
 [     677.76      463.66]
 [     791.55      466.41]
 [     714.63      492.69]
 [     717.03      499.41]
 [     691.89      481.14]
 [     752.17      481.88]
 [      714.8      484.69]]"
10,0.2,,0.07839635,"[[     712.37       284.1]
 [     840.63      268.91]
 [     687.06      298.38]
 [     854.72      291.29]
 [     680.69      322.95]
 [     865.58      320.72]
 [     671.48       362.4]
 [     889.94      344.82]
 [     669.77      325.35]
 [     911.76      316.67]
 [     677.91      295.95]
 [     929.23      285.76]
 [     700.65      281.28]
 [      877.1      294.99]
 [     722.19      311.63]
 [      759.5      309.26]
 [     704.56      354.25]
 [     777.35      352.22]
 [     686.56      351.56]
 [     812.59      349.01]
 [     696.33      344.83]
 [     792.91      338.33]
 [     695.05      360.87]
 [     796.38      361.54]
 [     717.82      397.89]
 [     701.02         427]
 [     686.37      430.64]
 [     720.87      430.32]
 [      699.6       400.5]
 [     736.89      402.62]
 [     693.52      383.81]
 [     795.82      387.11]
 [     701.51      449.96]
 [     683.78      450.85]
 [     721.86      449.17]
 [      703.1      470.26]
 [     673.28      455.36]
 [     749.74      449.21]
 [     705.75      482.31]
 [     673.55      466.01]
 [        786       471.3]
 [     707.04      494.21]
 [     709.71       500.1]
 [     685.36      484.08]
 [     745.89       486.2]
 [     707.25      488.12]]"
12,0.24,,0.028480744,"[[     708.55      280.92]
 [     840.79      273.18]
 [     685.89      299.78]
 [     852.12      298.36]
 [     683.15      322.68]
 [     862.21      327.17]
 [     669.88      356.31]
 [     883.96      346.15]
 [     668.62      324.73]
 [     907.83      318.51]
 [     671.59      297.81]
 [     923.78      285.91]
 [     694.93      281.54]
 [     865.74      273.28]
 [     714.81         316]
 [     752.89      309.74]
 [     700.08      353.68]
 [     769.89      352.52]
 [      681.6      352.38]
 [     803.74       348.9]
 [     691.71       344.8]
 [     784.47      338.96]
 [     690.14      360.39]
 [     788.57      362.33]
 [     711.08       398.5]
 [     693.24      428.03]
 [     678.62      431.96]
 [     712.52       431.7]
 [     693.66      401.57]
 [     729.41      402.98]
 [     689.41      382.34]
 [     787.72      387.78]
 [     694.01      450.05]
 [     675.97      451.35]
 [     713.12      450.03]
 [     695.89      470.98]
 [     667.62      456.71]
 [      741.1      449.76]
 [     698.88      482.07]
 [     667.97      463.27]
 [     777.75      469.48]
 [     700.49      493.53]
 [     703.08      499.46]
 [     678.49      484.44]
 [     738.86      485.58]
 [     700.64      487.24]]"
14,0.28,,0.04348759,"[[     707.54      276.69]
 [     834.68      271.15]
 [     691.82      290.22]
 [     848.15       293.1]
 [     682.64      319.07]
 [     857.94         322]
 [     670.15      354.17]
 [     880.93      342.93]
 [     669.55      326.41]
 [     903.75      317.13]
 [     669.58      298.72]
 [     922.47      285.58]
 [     696.82      280.43]
 [     870.82      302.49]
 [     709.67      317.66]
 [     748.51      310.83]
 [     695.54       352.9]
 [     763.25      351.99]
 [     676.32      350.67]
 [     798.22      350.22]
 [     685.49      344.17]
 [     779.14      339.18]
 [     685.14         359]
 [     782.19      363.11]
 [     704.46      397.31]
 [     685.32      428.73]
 [     671.75      431.62]
 [     703.24      432.71]
 [     686.13      399.14]
 [     722.56      401.93]
 [     683.57      383.23]
 [     782.49      386.97]
 [      686.2      448.43]
 [     669.05      449.83]
 [     703.98      449.66]
 [     688.06      469.25]
 [      661.5      454.13]
 [     735.05      447.89]
 [     691.13      480.42]
 [     661.32      461.04]
 [     776.13       465.8]
 [     691.99      489.28]
 [     694.28      493.68]
 [     670.65      482.64]
 [     733.73      485.29]
 [     691.95      484.32]]"
16,0.32,,0.043583434,"[[     702.73      273.51]
 [     826.31      269.39]
 [      687.9      292.68]
 [     841.67      289.61]
 [     679.41      321.94]
 [     852.35       318.5]
 [     668.74      356.22]
 [     877.91      340.41]
 [     666.05      329.01]
 [     900.24      315.79]
 [      663.9      298.44]
 [     919.87      283.07]
 [     692.66      276.73]
 [     868.84       306.8]
 [      704.2       319.9]
 [     742.83      308.08]
 [     690.44      351.69]
 [     758.11      350.15]
 [      670.1      349.09]
 [      792.8      348.25]
 [     680.45      341.86]
 [     773.34      336.89]
 [     679.14      357.97]
 [     776.88      360.36]
 [     697.09      393.42]
 [     677.47      424.84]
 [     663.25      428.29]
 [     696.62      428.82]
 [     678.65       395.5]
 [     715.88      398.13]
 [     680.32      379.31]
 [     777.47      384.65]
 [     677.74      446.07]
 [     660.65      447.18]
 [     696.91      446.98]
 [     679.89      467.78]
 [     652.95      450.73]
 [     727.48      446.25]
 [     682.73      478.78]
 [     653.83      459.54]
 [      769.4      465.24]
 [     683.55      487.88]
 [     686.04      492.88]
 [     663.18      479.68]
 [     726.08      482.47]
 [     683.59      482.35]]"
18,0.36,,0.20695345,"[[     704.47      271.42]
 [     821.12      266.64]
 [     688.88      289.18]
 [     837.55      288.98]
 [     678.74       319.4]
 [     846.66      318.47]
 [     665.92      360.12]
 [      870.3      343.59]
 [     659.78      323.69]
 [     895.86      313.74]
 [     661.43      290.92]
 [     916.69      280.11]
 [     694.06      264.62]
 [        861      305.05]
 [     701.72      315.72]
 [     739.05      311.38]
 [     687.11       352.6]
 [     755.83      352.78]
 [     666.61      349.93]
 [     789.11      347.68]
 [     677.14      342.45]
 [     771.49      339.37]
 [     676.68      359.22]
 [     773.21      359.66]
 [     693.96      391.58]
 [     673.41      424.11]
 [     658.24      427.78]
 [     693.11      427.82]
 [     675.75      394.23]
 [     712.78      396.57]
 [     675.05      381.82]
 [     772.51      383.81]
 [     673.46      446.21]
 [     655.19      447.44]
 [        694      446.56]
 [     676.29      468.03]
 [     648.28      450.37]
 [     724.36      445.36]
 [     679.28       478.7]
 [     650.59      458.61]
 [     766.27      464.24]
 [     679.78      488.31]
 [     681.92       492.9]
 [     659.81      478.55]
 [     722.32      481.52]
 [     680.56      482.83]]"
