frame_count,time_sec,id,conf,landmarks
0,0.0,,0.9620494,"[[       1017      217.32]
 [     1120.6       235.3]
 [     997.77      246.66]
 [     1144.6      261.72]
 [     985.78      278.16]
 [     1156.9      297.67]
 [     969.26      318.14]
 [     1172.4      342.44]
 [     959.63         275]
 [     1178.4       292.8]
 [     973.74      239.81]
 [     1166.6      253.68]
 [     1004.2      212.74]
 [     1130.3      224.28]
 [     1064.9      236.03]
 [     1101.3      239.79]
 [     1048.3      269.51]
 [     1111.5      269.39]
 [     1030.5      269.09]
 [     1130.8      271.48]
 [     1040.7      263.26]
 [     1121.4      264.46]
 [     1038.2      276.35]
 [     1121.7      275.89]
 [     1085.4      283.43]
 [     1085.7      305.02]
 [       1070      307.85]
 [     1100.8      309.25]
 [     1069.8      285.13]
 [     1100.2      286.58]
 [     1036.1      292.41]
 [     1122.4      292.67]
 [     1085.3      320.68]
 [     1068.1      320.65]
 [     1100.9      323.73]
 [     1083.9      338.58]
 [     1054.6      322.54]
 [     1115.3      325.56]
 [     1083.1      346.96]
 [     1035.3      336.16]
 [     1125.2      334.62]
 [     1078.7      402.11]
 [     1079.5      406.74]
 [     1056.4      349.32]
 [     1104.9      350.88]
 [     1079.1      414.22]]"
2,0.04,,0.98318154,"[[     1024.7      204.58]
 [     1125.4         225]
 [     1002.8      233.14]
 [     1152.8      252.41]
 [     987.55      262.85]
 [     1165.8      290.28]
 [     964.12      304.14]
 [     1182.1      337.67]
 [     964.53      263.58]
 [     1188.4      285.35]
 [     973.06      234.63]
 [     1174.7      243.61]
 [     999.18      222.21]
 [     1135.9       212.8]
 [     1068.8      223.56]
 [     1105.2      227.52]
 [     1054.3      258.83]
 [     1116.2      259.17]
 [     1032.9      258.71]
 [     1136.8      261.37]
 [     1044.2      251.63]
 [     1126.9       253.6]
 [     1042.2      267.07]
 [       1127      266.39]
 [     1089.7      274.05]
 [     1091.5      296.67]
 [     1075.3         300]
 [       1107      301.23]
 [     1073.7      276.45]
 [     1104.5      277.18]
 [     1038.5       283.8]
 [     1127.7      283.09]
 [     1090.8      313.44]
 [       1073         313]
 [     1106.6      316.38]
 [     1089.2      331.49]
 [     1057.8      316.18]
 [     1121.4      317.87]
 [     1088.4      341.02]
 [     1036.4      329.84]
 [     1132.1      327.05]
 [     1083.3       397.9]
 [     1083.9       403.1]
 [     1059.7      342.45]
 [     1111.5      344.18]
 [     1084.2      410.75]]"
4,0.08,,0.95505714,"[[     1026.6      192.17]
 [     1133.1      213.79]
 [     1003.4      220.27]
 [     1157.8      241.15]
 [     986.42      252.16]
 [     1170.8      279.38]
 [     964.55      292.72]
 [     1189.2      332.78]
 [     963.94      251.64]
 [     1195.3      274.28]
 [     974.41      222.37]
 [     1183.5      232.61]
 [       1001      212.38]
 [     1143.4      202.02]
 [     1076.4      213.03]
 [     1113.5      219.19]
 [     1058.2      248.99]
 [     1124.6      250.86]
 [     1035.6      249.39]
 [     1146.2       254.8]
 [     1047.8      241.86]
 [     1136.1      245.58]
 [     1045.6         258]
 [     1135.6      259.33]
 [     1096.1      266.05]
 [     1096.9      289.28]
 [       1080       292.3]
 [     1113.3      294.22]
 [     1079.7      267.93]
 [     1111.3      269.18]
 [     1041.1      275.63]
 [     1135.8      278.38]
 [       1096      306.13]
 [     1077.3      305.54]
 [     1113.1      309.56]
 [     1094.2       325.1]
 [     1061.4       307.8]
 [     1129.5      312.43]
 [     1093.1      335.26]
 [     1041.7       323.4]
 [     1139.7      323.64]
 [     1087.4      394.61]
 [     1087.8      400.37]
 [     1064.5      336.83]
 [     1116.3      339.67]
 [     1088.2      406.01]]"
6,0.12,,0.9503037,"[[     1030.3      184.43]
 [     1136.3      205.79]
 [       1008      212.36]
 [     1164.5      232.43]
 [     991.24      247.19]
 [     1180.8      271.21]
 [     968.05      288.76]
 [     1197.9      326.18]
 [     965.19      243.82]
 [     1203.9      266.42]
 [     975.98      209.42]
 [     1189.7      221.42]
 [     1009.5      192.46]
 [     1147.9      191.85]
 [     1079.9      201.78]
 [     1118.1      207.78]
 [     1063.6      239.29]
 [     1130.6      242.11]
 [     1039.8      239.62]
 [     1151.8      244.71]
 [     1052.3      231.99]
 [       1142         236]
 [     1050.7      247.74]
 [     1141.6      250.57]
 [     1102.1      257.46]
 [     1102.8       280.6]
 [     1085.5      282.89]
 [     1119.4      285.55]
 [     1085.4      259.53]
 [       1118      261.36]
 [     1044.8       267.6]
 [     1142.3      269.43]
 [     1101.4      296.76]
 [     1082.4      296.58]
 [     1118.9      301.29]
 [     1099.8      316.16]
 [     1067.2      298.45]
 [     1134.3      303.84]
 [     1098.4      326.89]
 [     1046.6      315.51]
 [     1145.9      315.62]
 [     1092.8      387.07]
 [       1093      393.61]
 [       1069      329.95]
 [     1122.2      332.78]
 [     1093.2      395.96]]"
8,0.16,,0.9517596,"[[     1032.5      171.47]
 [     1146.1      193.03]
 [     1009.3      204.51]
 [     1175.1      225.82]
 [     995.02      237.97]
 [     1186.8      265.96]
 [     971.79       280.5]
 [       1207      317.49]
 [     967.34      234.84]
 [       1215      257.89]
 [     979.11       200.9]
 [     1201.9       214.3]
 [       1013      175.67]
 [     1158.3      181.61]
 [     1084.1      188.75]
 [     1123.2      194.13]
 [     1065.9      229.03]
 [     1138.7      231.29]
 [     1039.8      230.06]
 [     1158.9      232.73]
 [       1053      221.44]
 [     1149.5      224.74]
 [     1051.5         238]
 [     1149.1      239.46]
 [     1106.3      246.95]
 [     1108.1      270.92]
 [     1090.5      274.07]
 [     1124.7      275.95]
 [     1089.4      249.01]
 [     1123.1      250.44]
 [     1046.5      257.49]
 [     1150.8      259.95]
 [       1107      289.14]
 [     1087.5      288.18]
 [     1124.2      292.12]
 [     1105.2       308.4]
 [     1071.6      289.93]
 [     1142.3      294.52]
 [     1104.1      319.14]
 [       1049      308.91]
 [     1155.7      306.54]
 [     1098.3         381]
 [     1098.9      386.64]
 [     1074.1      320.85]
 [     1130.3      323.33]
 [     1098.2      396.24]]"
10,0.2,,0.95580095,"[[     1042.3       154.8]
 [     1146.5       182.7]
 [       1015      184.77]
 [     1177.2      208.09]
 [     996.11      219.95]
 [     1195.3      249.19]
 [     971.53      273.23]
 [     1217.8      303.58]
 [     968.66      222.15]
 [     1223.8      239.74]
 [     980.43      187.63]
 [     1203.9       194.5]
 [     1011.6       175.4]
 [     1156.5       166.4]
 [     1087.9      175.06]
 [     1129.1       182.8]
 [     1069.3      217.51]
 [     1142.9      218.64]
 [     1045.3      218.34]
 [     1165.8      220.52]
 [     1057.6      209.88]
 [     1154.9      211.88]
 [     1055.7      226.05]
 [     1154.5      227.11]
 [     1112.5      235.38]
 [     1113.8      261.18]
 [     1094.8       264.9]
 [       1132      266.17]
 [     1094.2      237.83]
 [     1129.7      238.96]
 [     1051.1      245.29]
 [     1156.2      247.63]
 [     1113.1      279.53]
 [     1092.9      279.26]
 [     1131.6      282.72]
 [     1111.7      299.72]
 [     1075.1      283.33]
 [     1150.3      285.91]
 [     1110.8      310.73]
 [     1051.7      300.95]
 [     1163.2      296.75]
 [     1106.2      374.57]
 [     1106.7      380.88]
 [     1079.5       313.8]
 [     1137.9      314.75]
 [     1107.2      390.57]]"
12,0.24,,0.9329262,"[[     1046.7       142.1]
 [     1157.6      166.32]
 [     1017.3      176.12]
 [     1190.6      195.04]
 [     998.15      214.47]
 [     1205.8      232.69]
 [      975.7      257.93]
 [     1230.6      288.37]
 [     970.66      207.83]
 [     1236.9      227.93]
 [     986.04      168.64]
 [     1218.4      180.63]
 [     1024.8      142.33]
 [     1170.3      151.75]
 [     1098.2      164.38]
 [     1136.7      170.33]
 [     1077.9      206.57]
 [     1152.3      209.74]
 [     1048.2      206.72]
 [     1176.3       211.7]
 [     1063.4      198.02]
 [     1164.7      202.88]
 [     1060.7      216.93]
 [     1164.3      218.77]
 [     1119.5      224.76]
 [     1120.1      251.13]
 [     1099.8      254.84]
 [     1138.8      256.69]
 [     1100.3      226.99]
 [     1137.8      229.01]
 [     1054.9      237.67]
 [     1166.3      240.24]
 [     1119.1      270.86]
 [     1097.5      269.81]
 [     1138.4      273.95]
 [     1117.2      292.33]
 [     1080.5      274.17]
 [     1157.5       278.6]
 [     1116.3      303.69]
 [     1056.8      293.33]
 [     1171.3      291.38]
 [     1111.1      369.46]
 [       1112      375.43]
 [     1084.2      306.91]
 [     1144.2      308.14]
 [     1111.5      387.28]]"
14,0.28,,0.93302196,"[[     1048.1       130.5]
 [     1164.2      155.63]
 [     1019.2      165.11]
 [     1197.6      182.21]
 [     1000.5      202.99]
 [     1217.5      224.18]
 [     976.06      249.74]
 [     1240.6      282.49]
 [     972.37      198.69]
 [     1247.8      218.96]
 [     986.11      159.18]
 [     1224.7      169.61]
 [     1025.5      136.16]
 [     1173.1      138.95]
 [     1102.7      149.07]
 [     1141.8      158.71]
 [     1081.9      195.12]
 [     1157.4      197.84]
 [       1053      194.85]
 [     1182.9      201.16]
 [     1067.6      186.15]
 [     1170.6      190.29]
 [       1065      205.73]
 [     1170.1      208.07]
 [     1126.1      213.62]
 [     1125.6      241.96]
 [     1105.4      245.05]
 [       1145      247.35]
 [     1106.1      216.61]
 [     1145.5      218.45]
 [       1060      225.75]
 [     1171.4      230.06]
 [     1124.3      261.56]
 [       1103      261.09]
 [     1144.6      265.16]
 [     1123.5      283.29]
 [     1085.5       264.6]
 [     1164.9      270.81]
 [     1122.8      295.57]
 [     1062.7      282.69]
 [     1180.3      282.05]
 [     1117.5      365.24]
 [     1118.1      371.56]
 [     1089.7      300.03]
 [     1151.7      300.82]
 [     1118.8      379.72]]"
16,0.32,,0.9295249,"[[     1057.4      109.45]
 [     1170.1      134.11]
 [     1023.4      132.73]
 [       1199       161.7]
 [     999.62      176.93]
 [     1217.5      206.37]
 [     973.01      225.38]
 [     1246.8       262.4]
 [     976.58      182.98]
 [     1252.6      204.04]
 [     990.38      150.28]
 [     1230.3         151]
 [     1016.8      157.79]
 [     1181.1      116.05]
 [     1107.1      139.05]
 [     1148.6      144.29]
 [     1088.1      184.59]
 [     1164.7      184.65]
 [     1056.6      184.03]
 [       1191      187.17]
 [     1072.5      174.37]
 [     1178.5       177.5]
 [     1070.3      194.25]
 [     1177.9      193.97]
 [     1133.4      203.62]
 [     1132.5      231.65]
 [     1111.8      234.87]
 [     1152.4      237.71]
 [     1112.1      206.34]
 [     1153.2      208.23]
 [       1063      217.16]
 [     1180.4      217.89]
 [     1131.6      252.26]
 [     1109.3      251.56]
 [     1151.8      256.03]
 [     1130.5      273.64]
 [     1092.3      255.81]
 [       1173      260.41]
 [     1129.9      285.92]
 [     1068.2      276.03]
 [     1187.3       273.7]
 [     1126.3      357.12]
 [     1127.4      363.72]
 [     1095.8      292.39]
 [     1159.6      291.99]
 [     1127.6      373.43]]"
18,0.36,,0.9785528,"[[     1061.2      91.272]
 [     1178.9         126]
 [     1024.1      120.89]
 [     1217.3      154.56]
 [     999.53      163.79]
 [     1238.3      202.78]
 [     971.56      207.78]
 [     1263.4      260.19]
 [     978.04      166.15]
 [     1270.5      199.62]
 [     989.57      136.82]
 [     1249.9      144.58]
 [     1022.7      140.28]
 [     1191.9      108.64]
 [     1115.6      128.06]
 [     1160.1      128.11]
 [       1092      170.63]
 [     1176.8      172.16]
 [     1061.7      171.09]
 [     1202.8      175.56]
 [       1077       162.1]
 [     1190.8      164.93]
 [     1074.7      180.97]
 [     1189.6      182.95]
 [     1139.5      190.65]
 [     1140.2      219.09]
 [     1118.2      221.86]
 [       1160      224.74]
 [     1118.4      193.83]
 [     1160.1       194.8]
 [     1069.5      203.51]
 [     1192.1      207.22]
 [     1139.4      239.51]
 [     1115.3      239.34]
 [       1161      243.14]
 [     1137.9      263.64]
 [     1097.1      244.04]
 [     1181.8      250.75]
 [     1136.8      275.98]
 [     1072.7      263.76]
 [     1196.5      263.35]
 [     1130.8      351.43]
 [     1131.6      358.82]
 [     1102.2      282.35]
 [     1166.4      282.28]
 [     1132.1      361.84]]"
