frame_count,time_sec,id,conf,landmarks
0,0.0,,0.9292348623275757,"[[      854.4      310.92]
 [     925.46      349.65]
 [     837.46      271.08]
 [     938.93      304.34]
 [     810.78      233.05]
 [     962.38      267.12]
 [     769.01      197.85]
 [     1004.6      242.08]
 [      761.1      256.05]
 [     1025.4      296.86]
 [     774.94      315.82]
 [     1024.5      368.72]
 [     789.28      366.53]
 [       1002      427.45]
 [     832.59      409.16]
 [     853.89      417.92]
 [     787.58      456.24]
 [     880.45      480.43]
 [     766.12      447.54]
 [     920.02      479.89]
 [     777.75       440.9]
 [     900.25      466.41]
 [     773.11      465.14]
 [     900.75      496.07]
 [     829.56      471.13]
 [      815.2      492.66]
 [     795.38       493.7]
 [     835.64      502.31]
 [     807.99      472.53]
 [        851      480.67]
 [     772.36      486.48]
 [     895.35      521.89]
 [     806.76       518.2]
 [     786.06      514.25]
 [     831.03      523.32]
 [      802.7      541.93]
 [     773.94      526.16]
 [     859.19      545.14]
 [     802.85       555.5]
 [     760.54      536.69]
 [     912.95      569.48]
 [     800.75      562.74]
 [     802.41      569.53]
 [     768.55      577.86]
 [     861.07       599.3]
 [     801.23      559.29]]"
2,0.04,,0.9550814032554626,"[[     853.86      312.68]
 [     925.93      348.08]
 [     836.82      272.34]
 [     938.91      303.74]
 [     810.07      233.04]
 [     962.46       267.4]
 [     768.15      197.84]
 [     1004.8      242.44]
 [     760.25      256.71]
 [     1025.5      296.16]
 [     773.95      315.29]
 [     1024.8      367.28]
 [     788.67      365.09]
 [     1002.6      425.31]
 [     831.52      409.05]
 [      855.6      419.17]
 [     785.92      456.47]
 [     882.19      480.87]
 [     766.41      446.81]
 [     921.64      480.35]
 [     777.02      440.93]
 [     901.97      466.28]
 [     772.45      463.94]
 [        902      496.61]
 [     830.12       470.9]
 [     815.22      492.29]
 [     795.01       493.4]
 [     835.69      502.29]
 [     808.12      472.24]
 [     851.62      480.79]
 [     771.64      485.53]
 [        896      521.67]
 [     806.86      517.95]
 [        786      513.99]
 [     830.75      523.24]
 [     802.63      542.11]
 [      774.2      524.55]
 [     858.14      544.28]
 [     802.86      555.65]
 [     761.26      536.66]
 [     912.02      571.39]
 [     800.85      562.76]
 [     802.56      569.67]
 [      769.2      577.71]
 [     859.51      599.82]
 [     801.45      559.32]]"
4,0.08,,0.9603622555732727,"[[     855.04      312.69]
 [     926.21      348.84]
 [     838.13      271.91]
 [     939.65      304.75]
 [     811.49      233.53]
 [     963.33      268.59]
 [     769.56      199.09]
 [       1006      243.41]
 [      761.5      256.42]
 [       1026       297.2]
 [     774.89      316.27]
 [     1024.2      367.33]
 [     789.69      366.75]
 [     1002.4      425.83]
 [     830.69      410.35]
 [      854.8      418.59]
 [     786.39      457.56]
 [     879.09      481.52]
 [     766.74      446.83]
 [     921.19      480.69]
 [     777.56      441.46]
 [      900.4      467.57]
 [     772.61      463.96]
 [     901.12      497.78]
 [     830.51      471.39]
 [     815.83         492]
 [     795.61      493.06]
 [     836.79      502.47]
 [     808.48      472.23]
 [     851.59      480.85]
 [     772.74      485.59]
 [     895.48      522.78]
 [     807.36      516.95]
 [     786.14      513.25]
 [     831.98      523.69]
 [     802.62      542.09]
 [     774.37      526.66]
 [     858.93      547.53]
 [     802.74      555.31]
 [     761.71      537.23]
 [     912.75      572.49]
 [     800.23      562.22]
 [     801.78      568.45]
 [     769.27      578.29]
 [     860.48       600.8]
 [     801.41      559.29]]"
6,0.12,,0.9398589730262756,"[[      855.1      313.59]
 [     925.23      348.74]
 [     838.65       273.2]
 [     939.94      305.22]
 [      811.9      234.64]
 [     963.82      268.66]
 [      768.7      198.68]
 [     1006.1      243.56]
 [      762.2       257.8]
 [     1026.4       298.4]
 [     773.98      317.62]
 [     1023.7       369.5]
 [     789.22      366.27]
 [     1001.4      427.99]
 [     831.09      409.54]
 [     854.36      417.73]
 [     786.16      458.71]
 [      879.9       481.7]
 [     767.04      446.15]
 [      921.1      480.87]
 [     777.84      441.92]
 [     901.17      467.73]
 [     771.21      464.37]
 [     901.01      497.99]
 [     830.31       472.4]
 [     816.23      491.72]
 [      796.5      493.36]
 [     836.77      502.16]
 [     808.37      472.73]
 [     852.41      481.51]
 [     771.24      487.29]
 [     894.62      524.05]
 [      807.2      518.11]
 [     786.86      514.29]
 [     831.84      524.31]
 [     803.23      543.57]
 [     774.97      528.69]
 [      859.3      548.14]
 [     803.11       556.8]
 [     761.07      537.16]
 [     911.57      571.63]
 [     800.92      564.04]
 [     802.69      570.11]
 [     769.38      578.35]
 [      860.7      599.53]
 [     802.14      560.56]]"
8,0.16,,0.9411333799362183,"[[     856.09      313.83]
 [     927.27      351.72]
 [     838.42      273.97]
 [     940.34      306.75]
 [     812.41      235.67]
 [     963.99      269.77]
 [     771.73      200.21]
 [     1006.8      243.53]
 [     762.16      257.38]
 [     1028.2      300.17]
 [     775.06      316.47]
 [       1026      369.88]
 [     788.87      367.43]
 [     1003.9      430.34]
 [     829.06      413.97]
 [     856.08      418.78]
 [     788.35      457.04]
 [     880.91      481.72]
 [     768.73      451.27]
 [     921.97      482.47]
 [      778.7      442.68]
 [     902.38      467.93]
 [      774.4      466.61]
 [     901.34      498.84]
 [     830.53      473.66]
 [     815.99      493.74]
 [     795.92      494.73]
 [      836.3      504.01]
 [     809.01      473.91]
 [     852.17      483.28]
 [     773.73      489.07]
 [      895.6      525.04]
 [     806.44      518.74]
 [     786.61      515.14]
 [     831.77      524.81]
 [     802.96      543.71]
 [     774.44       527.8]
 [     859.19       547.6]
 [     802.62      557.49]
 [     762.62      539.28]
 [     913.55      574.21]
 [     800.32      565.36]
 [     802.34      572.09]
 [     770.73      579.31]
 [     861.53      601.83]
 [     800.88       560.9]]"
10,0.2,,0.876449465751648,"[[     856.03      313.61]
 [     926.48      353.14]
 [     839.11      273.93]
 [     940.72      308.66]
 [     812.68      234.94]
 [     963.51       273.1]
 [     770.14      200.25]
 [     1005.8      246.13]
 [     762.02      256.74]
 [       1027      300.07]
 [     774.69      317.25]
 [     1024.4      369.47]
 [     789.99      366.56]
 [     1005.2      428.89]
 [      832.4      415.58]
 [     856.59      420.05]
 [     789.72      459.06]
 [     881.54      482.99]
 [     768.98       451.7]
 [      921.5      483.54]
 [     780.18      444.46]
 [     901.83       469.4]
 [     775.13      466.82]
 [     901.48      499.34]
 [     830.03         474]
 [     816.01      494.89]
 [     796.03      495.97]
 [     836.19         505]
 [     809.51      474.59]
 [     851.76      483.77]
 [     773.11      489.56]
 [     894.98      526.41]
 [     806.91      521.03]
 [     786.38      516.65]
 [      831.5      525.83]
 [     802.58      544.67]
 [     773.85      528.24]
 [     862.54      548.56]
 [     802.87      558.24]
 [     763.76      540.15]
 [     913.94       573.8]
 [     800.79      566.12]
 [     802.46      573.05]
 [     771.51      579.47]
 [     862.75      602.11]
 [      801.5      561.92]]"
12,0.24,,0.983025848865509,"[[     854.71      315.17]
 [     927.52      350.14]
 [     838.66      274.82]
 [     941.36      308.39]
 [     812.38      236.17]
 [     963.71      272.88]
 [     770.83      202.43]
 [     1006.4       247.6]
 [     763.14      258.85]
 [     1027.7      300.49]
 [     774.44      319.37]
 [     1026.2       369.6]
 [     791.48      368.23]
 [     1005.5      430.71]
 [     829.12      418.56]
 [      858.6      424.16]
 [     790.51      459.57]
 [      882.4      484.71]
 [      769.4      453.81]
 [     924.26      484.95]
 [      780.3      444.36]
 [      903.9      470.66]
 [     776.36      468.42]
 [     902.05      501.45]
 [     833.39       473.7]
 [     817.43      494.38]
 [     797.73      494.96]
 [     838.05      504.81]
 [     810.73       473.5]
 [     854.93      483.72]
 [     773.83      488.43]
 [     897.32      525.11]
 [     808.93      518.73]
 [     788.32      515.17]
 [     834.07      525.76]
 [     804.85      544.33]
 [     774.72      528.31]
 [     859.55      548.13]
 [     804.39      558.01]
 [     762.38      537.12]
 [     913.91      574.17]
 [     801.77      565.65]
 [     803.56      572.62]
 [      770.6      580.44]
 [     861.59      602.24]
 [     802.96      560.87]]"
14,0.28,,0.9180837869644165,"[[     854.79      318.37]
 [     925.52      358.66]
 [     836.71      279.03]
 [      939.9      313.29]
 [     809.32      240.83]
 [      962.9      278.11]
 [     771.63       205.7]
 [     1005.7      252.96]
 [     761.35      261.55]
 [     1026.4         312]
 [     775.08      321.12]
 [     1024.9      381.26]
 [     791.18      372.07]
 [     1005.7      436.33]
 [     832.38      423.94]
 [     861.07      425.66]
 [     791.58      465.09]
 [     885.57      488.22]
 [     770.57      458.07]
 [     921.96      488.95]
 [      781.2      449.28]
 [     904.97      475.84]
 [     776.76      471.94]
 [     904.24      503.19]
 [     834.83      480.03]
 [     819.66      504.46]
 [     799.52       504.6]
 [      839.3      513.35]
 [     812.51      481.07]
 [     855.47       490.9]
 [     774.71       492.1]
 [     898.07      529.87]
 [      812.2       529.5]
 [     791.37      524.46]
 [     835.92      533.49]
 [     808.71      550.78]
 [     777.14      535.44]
 [     864.01      554.91]
 [     808.73      564.16]
 [     762.94      543.24]
 [      915.8      577.89]
 [     805.47       572.4]
 [     807.33      579.22]
 [     773.81      583.66]
 [     865.14      605.31]
 [     806.86      568.58]]"
16,0.32,,0.9426301717758179,"[[     853.48      323.52]
 [     924.84      359.92]
 [     833.35      284.79]
 [     939.13      315.84]
 [     804.65       247.8]
 [        963       283.8]
 [      763.8      211.61]
 [     1005.1      263.34]
 [     758.35      268.64]
 [     1025.8      319.39]
 [     773.48      329.93]
 [     1024.7      385.69]
 [     791.81      376.59]
 [       1000      437.75]
 [     835.65      427.48]
 [     861.76      433.13]
 [     793.52      470.92]
 [     886.08      496.11]
 [     771.82      464.26]
 [     923.92      496.86]
 [     783.23      456.39]
 [     906.16      481.95]
 [     779.19      478.55]
 [     905.86      511.09]
 [     838.82       485.3]
 [     822.86      508.72]
 [     800.66      509.88]
 [     844.24      519.08]
 [     815.94      485.86]
 [     859.66      496.65]
 [      777.5         499]
 [     897.69       536.7]
 [     814.05      536.71]
 [     792.91      530.98]
 [     840.42      540.47]
 [     811.61      558.71]
 [     778.64      542.99]
 [      868.3      561.09]
 [     811.68      570.86]
 [     765.77      551.12]
 [     914.73      584.47]
 [      808.6      578.12]
 [     810.68      584.83]
 [     778.24      591.05]
 [     866.56      610.48]
 [     810.21      574.49]]"
18,0.36,,0.8665430545806885,"[[      847.9      328.49]
 [      919.7      366.36]
 [     827.93      292.95]
 [     934.57      324.12]
 [        797      256.43]
 [     959.82       289.8]
 [      757.8      221.83]
 [     1000.8      270.77]
 [     755.44      281.28]
 [     1022.2      327.38]
 [     771.23      339.29]
 [     1022.3      392.67]
 [     792.13       383.2]
 [     996.77       444.9]
 [     833.31       434.5]
 [     875.44      436.22]
 [     799.68      473.86]
 [     890.65      495.84]
 [     776.22      469.93]
 [     922.04      500.36]
 [      787.7      459.94]
 [     908.23      487.27]
 [     785.41      481.19]
 [     905.52      509.86]
 [     838.12      498.44]
 [     819.18       523.9]
 [     800.05      524.23]
 [     840.88      530.65]
 [     818.02      498.23]
 [     858.78      508.27]
 [     781.33      503.97]
 [     899.64      537.16]
 [     812.28      548.04]
 [     793.64      545.89]
 [     839.58      550.89]
 [      812.1      567.94]
 [     779.49      553.43]
 [     868.76      570.69]
 [     811.39      582.07]
 [     770.77      553.89]
 [     915.41       589.6]
 [     808.69       587.4]
 [     811.16      590.69]
 [     782.47       595.9]
 [     866.01      614.65]
 [     810.17      584.22]]"
