frame_count,time_sec,id,conf,landmarks
0,0.0,,0.760674238204956,"[[     1121.3      281.95]
 [     1304.1      266.73]
 [     1083.2      296.05]
 [     1334.4      282.45]
 [     1062.5      333.42]
 [       1353      320.29]
 [     1045.2      380.15]
 [     1388.5      360.87]
 [     1052.3      343.61]
 [     1409.6      310.45]
 [     1055.7      316.74]
 [       1410      288.42]
 [     1085.3      314.97]
 [     1344.7      296.85]
 [     1168.5      314.42]
 [     1213.6      310.77]
 [     1144.4      386.92]
 [     1243.9      381.74]
 [     1104.8      374.47]
 [     1299.3      372.76]
 [     1126.9      362.94]
 [     1270.2      357.03]
 [     1123.3      396.04]
 [       1274      394.44]
 [     1183.1      438.35]
 [     1168.8      489.22]
 [       1141      496.25]
 [     1200.6      494.63]
 [     1153.2      444.49]
 [     1213.2       446.5]
 [     1118.2      429.43]
 [     1273.3      431.52]
 [     1169.7      524.02]
 [     1138.7      523.26]
 [     1200.4      521.38]
 [     1169.7      551.08]
 [     1113.7      526.33]
 [     1243.5      522.83]
 [     1175.6       562.9]
 [     1104.5      535.46]
 [     1285.9      521.14]
 [       1188      648.25]
 [     1189.1      657.36]
 [     1136.5      562.65]
 [     1229.1      555.57]
 [     1189.7      696.56]]"
2,0.04,,0.8905723094940186,"[[     1127.1      280.27]
 [     1296.5      256.65]
 [     1083.2      285.28]
 [     1330.2      269.64]
 [     1061.8      320.12]
 [     1350.9      302.43]
 [     1049.7      370.33]
 [     1386.2      345.14]
 [     1063.1      348.83]
 [     1405.9      309.45]
 [     1064.3      331.24]
 [     1414.9      305.51]
 [     1088.9      350.32]
 [       1367      338.85]
 [     1176.5      309.12]
 [     1216.9      311.87]
 [     1152.4      383.92]
 [     1248.9      380.26]
 [     1113.3      376.64]
 [     1305.9      372.77]
 [     1134.4      362.41]
 [     1275.3      354.86]
 [     1131.8      395.11]
 [     1278.5      392.89]
 [     1187.2      434.58]
 [     1173.8      486.45]
 [     1147.4      492.89]
 [     1204.7      491.64]
 [     1157.7      440.59]
 [       1218      443.16]
 [     1128.1      428.08]
 [     1276.3      430.92]
 [     1174.7      521.99]
 [     1145.1      520.51]
 [     1205.2      518.65]
 [     1175.6       547.7]
 [     1120.4      522.76]
 [     1248.1      519.86]
 [       1181      559.61]
 [     1109.8      531.95]
 [     1291.6      516.71]
 [     1192.3       647.9]
 [     1193.9      656.41]
 [     1141.5      560.18]
 [     1234.5       552.2]
 [     1194.3      694.85]]"
4,0.08,,0.7674099206924438,"[[     1131.9      279.46]
 [     1302.3      256.05]
 [     1089.6      285.75]
 [       1333      268.88]
 [     1069.8      322.05]
 [     1354.4      303.21]
 [     1052.8      375.21]
 [     1392.8      348.37]
 [     1066.2      347.84]
 [     1414.7      307.96]
 [     1070.9      327.46]
 [     1422.1      302.81]
 [     1092.2      338.69]
 [     1372.4      346.84]
 [     1178.3      312.15]
 [     1223.4      311.38]
 [     1159.2      381.76]
 [     1256.1      380.42]
 [     1116.9      373.41]
 [     1309.4      371.07]
 [     1138.7      359.65]
 [     1281.9      354.51]
 [     1136.5      394.28]
 [     1284.7      391.65]
 [     1195.2      432.87]
 [     1183.2      484.64]
 [     1154.1      492.14]
 [     1214.8      490.12]
 [     1164.9      439.09]
 [     1224.5      441.84]
 [     1131.6      429.83]
 [     1283.6      427.54]
 [     1183.1      517.73]
 [     1151.9      516.45]
 [     1214.4      516.33]
 [     1183.7       545.7]
 [     1125.9      519.35]
 [     1256.1      516.75]
 [     1188.5      557.29]
 [     1113.7      527.46]
 [     1297.2      516.45]
 [     1198.1      649.46]
 [     1199.1      657.28]
 [     1147.8      556.43]
 [     1240.7      551.27]
 [     1200.4         697]]"
6,0.12,,0.8732544779777527,"[[     1134.5      279.68]
 [     1306.4      258.57]
 [     1095.9      277.99]
 [     1341.8      261.16]
 [     1071.8      310.36]
 [       1369      292.99]
 [     1055.5      362.08]
 [     1404.3       336.8]
 [     1067.1      344.02]
 [     1415.6      307.05]
 [       1069      332.43]
 [     1417.1      317.72]
 [     1089.6      351.48]
 [     1372.6      347.58]
 [     1180.5      310.43]
 [     1228.1      308.16]
 [     1159.3      379.73]
 [       1259      376.32]
 [     1119.8      371.45]
 [       1313      369.34]
 [     1140.4      358.29]
 [     1283.4      351.73]
 [     1138.3      390.59]
 [     1287.8      390.85]
 [     1200.1      429.37]
 [     1186.4      481.67]
 [     1158.5      488.43]
 [     1218.3       486.7]
 [     1170.2       435.8]
 [     1230.4      437.95]
 [     1133.2      428.39]
 [     1285.2       427.7]
 [     1187.1      516.43]
 [     1156.6      515.49]
 [     1218.8      513.44]
 [     1187.9      543.27]
 [     1132.5       516.4]
 [     1262.1      513.13]
 [     1193.2      554.61]
 [     1122.4      525.06]
 [     1304.9      508.94]
 [     1203.4      647.35]
 [     1204.7       655.9]
 [     1153.7      553.65]
 [     1247.6       545.3]
 [     1205.3      694.25]]"
8,0.16,,0.9395095109939575,"[[     1138.1      280.85]
 [     1305.7      256.38]
 [     1099.7      281.58]
 [     1343.5      258.91]
 [     1075.6      310.25]
 [     1369.7      295.14]
 [     1059.3      359.93]
 [     1405.5      335.49]
 [     1069.2      337.28]
 [     1415.5       306.8]
 [     1073.9      332.85]
 [     1415.9      324.06]
 [     1095.4      347.81]
 [     1380.7      351.96]
 [     1191.2      302.13]
 [     1231.6       303.6]
 [       1164       374.7]
 [     1262.7      374.24]
 [     1122.7      368.75]
 [     1318.4      363.41]
 [     1144.9      352.07]
 [     1286.7      345.68]
 [     1142.7      388.34]
 [       1292      385.23]
 [     1205.7      425.64]
 [     1191.6      476.36]
 [     1162.1      484.13]
 [       1224      482.56]
 [     1175.5      431.21]
 [     1234.6      433.46]
 [     1135.9       423.8]
 [     1288.5      422.48]
 [     1191.4      510.75]
 [     1160.2      510.11]
 [     1223.7      508.85]
 [       1192      538.77]
 [     1134.8       511.4]
 [     1266.2      507.89]
 [     1197.1      549.81]
 [     1125.1      521.86]
 [     1307.2      505.78]
 [     1208.5      644.77]
 [       1209      654.02]
 [     1157.8      547.75]
 [     1250.7      540.44]
 [     1210.2      693.83]]"
10,0.2,,0.9648109078407288,"[[     1136.1      279.57]
 [     1314.2      261.73]
 [     1094.1      272.91]
 [     1353.8      265.43]
 [     1070.3      302.63]
 [     1379.6      293.09]
 [     1058.5      346.24]
 [       1409      324.45]
 [     1073.4      341.97]
 [     1416.7       305.4]
 [     1073.4      346.14]
 [     1412.3      329.61]
 [     1090.2      369.41]
 [     1379.1      346.78]
 [     1192.1      299.92]
 [     1232.9      299.59]
 [       1165      371.38]
 [     1263.9      369.56]
 [       1126      364.15]
 [     1318.6      360.48]
 [     1145.9      348.99]
 [     1288.1       341.9]
 [     1143.2      383.31]
 [     1292.8      382.33]
 [       1205       419.3]
 [     1193.4      468.55]
 [     1162.9      476.66]
 [     1225.5      473.81]
 [     1175.5      425.44]
 [       1233      426.72]
 [     1137.7      419.45]
 [     1291.4       420.5]
 [     1193.6      502.94]
 [     1161.6      503.24]
 [     1227.2      500.62]
 [     1194.8      533.31]
 [     1135.7      503.27]
 [     1268.5      499.51]
 [     1199.3      544.42]
 [     1121.6      514.71]
 [     1308.2       502.4]
 [     1210.4      636.06]
 [       1211      644.65]
 [     1156.7      543.47]
 [     1252.5      536.74]
 [       1213      686.89]]"
12,0.24,,0.6548740863800049,"[[     1135.8      282.48]
 [     1319.2      267.33]
 [     1100.9       292.3]
 [     1357.9       267.4]
 [       1081       325.8]
 [     1386.1      287.91]
 [     1064.6      377.65]
 [     1412.8       320.8]
 [     1067.5      341.93]
 [     1414.6      314.19]
 [     1070.8      316.86]
 [       1402      341.02]
 [     1097.6      331.89]
 [     1378.1      353.82]
 [     1184.7      300.94]
 [     1228.6      303.29]
 [     1160.4      373.79]
 [     1259.5      371.61]
 [     1121.2      369.84]
 [     1315.8      363.34]
 [     1141.2      353.98]
 [     1285.2      344.48]
 [     1140.3      387.56]
 [     1289.5      383.12]
 [     1202.2      419.24]
 [     1186.3       467.6]
 [     1159.7         474]
 [     1218.3      473.38]
 [       1174      424.34]
 [     1230.7      427.35]
 [     1133.7      423.34]
 [     1288.9       419.9]
 [     1186.1       501.2]
 [     1156.1      500.81]
 [     1218.2      500.56]
 [     1187.2      528.36]
 [     1131.3      501.24]
 [     1260.6      499.28]
 [     1192.6       541.1]
 [     1119.1      516.24]
 [     1309.4      502.38]
 [     1206.8      639.56]
 [     1208.2      650.26]
 [     1151.8      542.46]
 [     1251.1      535.73]
 [       1206      684.62]]"
14,0.28,,0.07898657023906708,"[[     1126.5      298.79]
 [     1333.2      288.98]
 [     1099.7      321.46]
 [     1364.5      291.09]
 [     1077.4       363.5]
 [     1390.5      299.82]
 [     1057.1      418.63]
 [     1423.7      319.03]
 [     1054.9      359.42]
 [     1410.2       331.4]
 [     1064.1      311.03]
 [     1396.7      351.58]
 [     1107.6      305.65]
 [     1377.3      363.07]
 [     1177.5      310.52]
 [     1231.9      315.28]
 [     1154.2      378.89]
 [     1253.9      378.62]
 [     1113.8      379.42]
 [     1305.3      371.97]
 [     1133.1      363.33]
 [     1278.6      356.63]
 [       1134      392.21]
 [       1281      388.44]
 [     1192.1      428.28]
 [     1173.2      475.55]
 [     1146.2      481.82]
 [     1206.9      480.85]
 [       1163      435.39]
 [     1222.1      438.54]
 [     1128.8      426.75]
 [     1282.8      425.84]
 [     1172.5      509.64]
 [     1143.3      509.01]
 [     1204.9      510.14]
 [     1174.3      537.86]
 [     1119.9      508.95]
 [     1248.4      511.26]
 [     1179.4      553.07]
 [     1107.2      525.42]
 [     1297.2      517.81]
 [     1187.9      648.18]
 [     1189.4      659.29]
 [     1140.3      559.22]
 [     1237.1      554.89]
 [     1188.6      664.31]]"
16,0.32,,0.043735940009355545,"[[       1119      307.43]
 [     1315.9      299.63]
 [     1084.1      333.06]
 [     1349.9      299.44]
 [     1065.8      374.98]
 [     1382.1      311.62]
 [     1043.3      424.84]
 [     1411.1       333.5]
 [     1043.3      378.82]
 [     1401.7      354.43]
 [       1057      338.15]
 [     1384.7      379.29]
 [     1094.2      320.03]
 [     1363.2      385.87]
 [     1164.4      322.98]
 [       1214       323.9]
 [     1140.6      390.63]
 [     1241.7      385.82]
 [     1103.3      388.27]
 [       1290      384.42]
 [       1122      373.88]
 [     1265.5      364.62]
 [     1121.7      401.84]
 [     1267.6      399.01]
 [     1176.3      439.98]
 [     1159.1      486.65]
 [     1133.1      493.13]
 [     1191.3      490.65]
 [     1147.9      446.71]
 [     1206.9      449.53]
 [       1118      436.42]
 [     1268.4      436.21]
 [     1160.8      519.69]
 [       1131      520.08]
 [     1191.8      517.84]
 [     1162.5      547.26]
 [     1105.5      519.21]
 [     1233.9      519.35]
 [     1168.9      564.58]
 [     1099.6      535.54]
 [     1285.5      533.35]
 [     1182.2      660.73]
 [     1185.2      672.24]
 [       1130      568.96]
 [     1228.7      564.24]
 [     1180.6      675.89]]"
18,0.36,,0.07751104235649109,"[[     1106.1      307.54]
 [     1292.1      291.73]
 [     1075.5       326.9]
 [     1326.2      295.19]
 [     1058.3      367.61]
 [     1357.2      322.54]
 [     1038.3      417.77]
 [       1383      356.09]
 [     1035.8      378.58]
 [     1388.9      356.75]
 [     1047.6      340.04]
 [     1383.9       367.1]
 [     1079.8       325.9]
 [     1351.2      388.24]
 [       1145      335.95]
 [     1200.6       332.2]
 [     1127.9      396.43]
 [     1226.9      391.73]
 [     1087.1      393.93]
 [     1278.3      388.49]
 [     1109.4      378.19]
 [     1250.4      370.06]
 [       1107       408.6]
 [     1255.7      405.22]
 [     1162.9      445.98]
 [     1144.9      492.68]
 [     1118.8      500.04]
 [     1176.1      498.26]
 [     1133.9      452.05]
 [     1191.4      455.03]
 [     1101.9         443]
 [     1254.6      444.22]
 [     1145.8      526.44]
 [     1116.4      525.26]
 [       1177      523.38]
 [     1147.9      554.21]
 [     1092.8      528.18]
 [     1219.8      525.64]
 [     1154.5      569.16]
 [     1085.4      541.12]
 [     1272.7      533.64]
 [     1168.8      665.04]
 [     1170.9      675.02]
 [     1114.7      572.58]
 [     1212.9      566.88]
 [       1168      694.38]]"
