frame_count,time_sec,id,conf,landmarks
0,0.0,,0.823113739490509,"[[     1006.6      307.26]
 [     1130.6      311.34]
 [     1007.1       364.1]
 [     1157.3      353.96]
 [     1004.8      430.31]
 [     1175.8      406.51]
 [     981.95      507.19]
 [     1204.5      476.01]
 [     921.74      431.48]
 [     1221.8      390.27]
 [     943.08       354.2]
 [     1198.9      328.98]
 [     996.65      302.12]
 [     1143.6      301.25]
 [     1063.8      293.45]
 [     1086.8      304.62]
 [     1055.6      330.94]
 [     1109.7      331.79]
 [     1036.6      336.65]
 [     1127.9       330.9]
 [       1045      327.11]
 [     1118.5      323.95]
 [     1046.7      339.36]
 [       1120      338.32]
 [     1093.3       317.4]
 [     1094.6       337.6]
 [     1080.1      341.94]
 [     1108.6      338.14]
 [     1076.9      323.72]
 [     1108.8      319.67]
 [     1046.5      358.47]
 [     1124.2      355.42]
 [     1097.4       351.3]
 [     1082.3      352.84]
 [     1112.4      348.53]
 [       1101      365.58]
 [     1070.2      364.87]
 [     1135.3      360.58]
 [     1102.9      375.76]
 [     1057.4       387.9]
 [     1146.3      377.23]
 [     1102.8       383.3]
 [     1103.7      388.85]
 [       1080      392.97]
 [       1130      389.71]
 [     1102.7       379.7]]"
2,0.04,,0.3078326880931854,"[[     1000.6      312.57]
 [     1132.3      311.87]
 [     998.74      367.44]
 [       1157      356.35]
 [      998.3      431.96]
 [     1173.5      405.73]
 [     977.17       503.2]
 [       1201      475.04]
 [     919.36      433.26]
 [       1219      390.25]
 [     939.57      361.66]
 [     1198.8       329.6]
 [     989.05      308.44]
 [     1145.4      303.65]
 [     1053.8      305.97]
 [     1078.2      311.97]
 [     1047.5      342.41]
 [     1103.2      345.31]
 [     1025.9      347.29]
 [     1123.2      344.46]
 [     1034.9      337.59]
 [     1112.9       335.7]
 [     1036.6      351.89]
 [     1114.4      352.46]
 [     1085.5      321.39]
 [     1082.9         342]
 [     1068.1      347.38]
 [       1101      343.26]
 [     1068.6      327.18]
 [     1101.6      323.31]
 [     1039.3      371.33]
 [     1117.9      370.48]
 [     1085.6      355.77]
 [     1068.3      357.47]
 [     1103.8      354.47]
 [     1089.3      372.46]
 [     1056.1      371.03]
 [     1128.1      365.74]
 [     1091.1      382.26]
 [     1045.4      392.57]
 [     1145.2      384.13]
 [     1090.2      386.28]
 [     1091.3      391.56]
 [     1067.8       400.8]
 [     1121.4      398.51]
 [     1091.3      384.81]]"
4,0.08,,0.5928053855895996,"[[     1002.6      312.46]
 [     1130.8      317.01]
 [     1002.5      367.03]
 [     1153.3         359]
 [     1003.4      433.84]
 [     1170.1      409.04]
 [     975.53      508.13]
 [     1199.8      477.94]
 [     916.94      435.31]
 [     1220.1      395.13]
 [     940.06      357.16]
 [       1200      332.27]
 [     994.65       304.6]
 [       1144      306.92]
 [     1056.7      302.91]
 [     1076.7      311.99]
 [     1048.3      341.91]
 [     1101.3      345.38]
 [     1027.9      346.77]
 [     1121.8      344.85]
 [     1036.3      336.47]
 [     1111.4      336.24]
 [     1037.6      350.54]
 [     1112.7      352.74]
 [     1086.3      318.03]
 [     1084.4      339.98]
 [     1069.6      344.34]
 [     1101.3      341.27]
 [     1069.6      324.14]
 [     1102.3      320.59]
 [     1040.1      369.68]
 [     1116.8      370.08]
 [     1086.5      353.74]
 [     1069.2      354.99]
 [     1104.7      352.11]
 [     1090.1      370.43]
 [       1057      367.46]
 [     1128.4      363.07]
 [       1092      380.97]
 [       1047       390.2]
 [     1143.5      381.27]
 [     1091.5      386.57]
 [     1092.4      391.64]
 [     1068.5      398.11]
 [       1121       395.1]
 [     1092.3      383.95]]"
6,0.12,,0.6262397170066833,"[[     1003.6         313]
 [     1133.3      315.89]
 [     1001.3      363.78]
 [     1154.2      356.84]
 [     997.95      430.33]
 [       1172      402.82]
 [     980.58      504.23]
 [     1201.4      463.32]
 [     920.85      433.69]
 [     1217.2      385.74]
 [     941.13      357.52]
 [     1197.9      331.17]
 [     995.14      305.29]
 [       1144      302.13]
 [       1058       297.1]
 [     1082.5      305.46]
 [     1049.4      334.79]
 [     1106.6      334.46]
 [     1029.8      342.54]
 [     1124.3      333.35]
 [     1038.6      330.66]
 [     1114.5      326.44]
 [     1040.2      344.09]
 [     1117.2      341.04]
 [     1089.3      320.13]
 [     1089.5      340.38]
 [     1074.9      345.83]
 [     1104.8      340.85]
 [     1072.8      326.46]
 [     1104.9      322.43]
 [     1042.5      361.87]
 [     1122.1      357.61]
 [     1092.8      354.51]
 [     1077.8      356.34]
 [     1108.4      351.76]
 [     1096.8       369.8]
 [     1065.7      368.75]
 [     1131.3      363.59]
 [       1099       380.4]
 [     1052.1      392.25]
 [     1148.5      380.76]
 [     1099.2      387.95]
 [     1100.6      393.78]
 [     1075.9      399.63]
 [     1129.2      395.57]
 [     1099.2      385.06]]"
8,0.16,,0.1562485694885254,"[[     998.08      318.51]
 [     1126.1       314.9]
 [     993.51      367.53]
 [     1147.2      353.79]
 [     992.07      425.98]
 [     1168.1      398.16]
 [      974.1         491]
 [     1200.5      454.06]
 [     920.67      427.06]
 [     1215.5      382.18]
 [     940.59      357.96]
 [     1190.4      326.42]
 [     987.55      315.39]
 [     1137.4      303.01]
 [       1057      307.01]
 [     1075.1      310.37]
 [     1050.1      342.04]
 [     1103.9      342.35]
 [     1028.5      349.88]
 [     1122.1      341.18]
 [     1036.9      338.22]
 [     1113.2      333.72]
 [     1040.2      351.97]
 [     1114.2      348.87]
 [     1087.3      322.21]
 [     1087.9      342.55]
 [     1073.8      347.61]
 [     1103.1      342.58]
 [     1071.5      328.96]
 [     1102.8      324.14]
 [     1043.4      369.03]
 [     1119.3      366.11]
 [     1091.2      355.51]
 [     1076.3      357.96]
 [     1106.8      353.49]
 [     1095.5      370.78]
 [       1064      370.54]
 [     1130.3      365.51]
 [     1097.7      380.23]
 [     1054.3      396.24]
 [     1144.9      382.64]
 [     1097.9      388.14]
 [     1099.3      394.07]
 [     1076.9      398.78]
 [     1124.4      394.57]
 [     1097.9      384.54]]"
10,0.2,,0.8604653477668762,"[[     1004.3      312.71]
 [     1131.7      315.46]
 [     1002.5      368.09]
 [       1155      360.45]
 [     1002.4       437.5]
 [     1172.1      410.63]
 [     976.11       512.8]
 [     1201.4      477.17]
 [     916.66      438.75]
 [       1220      395.42]
 [     941.85      357.55]
 [     1201.3      333.67]
 [     994.96      305.81]
 [     1147.8      307.61]
 [     1059.2      303.41]
 [     1080.1      312.53]
 [     1049.6      341.27]
 [       1106      342.98]
 [     1029.7      348.31]
 [     1125.7      342.11]
 [     1037.8      336.94]
 [     1115.6       334.5]
 [     1040.4      351.87]
 [     1117.1      349.69]
 [     1087.2      322.78]
 [     1086.3      343.75]
 [     1071.9      348.45]
 [     1102.4      343.84]
 [     1070.7      328.82]
 [     1103.3      325.16]
 [     1041.5      368.32]
 [     1122.1      366.49]
 [       1090      357.34]
 [     1073.8      359.84]
 [       1107      355.44]
 [       1094      374.35]
 [     1060.8      371.43]
 [     1130.8      365.73]
 [     1095.9       383.2]
 [     1048.7      392.71]
 [     1146.4      383.46]
 [     1095.9      389.89]
 [     1097.5      396.39]
 [     1073.4      400.63]
 [     1125.3      398.57]
 [     1096.4       387.4]]"
12,0.24,,0.7335964441299438,"[[     1005.4      314.83]
 [     1129.9       317.4]
 [     1003.3      368.63]
 [     1151.3      359.44]
 [     1000.2      434.86]
 [     1170.6      410.01]
 [      974.3      510.58]
 [     1198.2      475.68]
 [     918.04      435.59]
 [     1218.9      395.68]
 [      944.2      358.57]
 [     1198.3      332.58]
 [     996.66      307.84]
 [       1147      311.32]
 [     1058.2      313.84]
 [     1081.5      319.05]
 [     1050.5      349.19]
 [     1104.8      349.21]
 [       1028      355.65]
 [     1124.3      348.41]
 [     1036.8      344.54]
 [     1113.8      340.78]
 [     1039.2      359.01]
 [     1115.4      356.17]
 [     1086.5      328.09]
 [     1084.1      347.58]
 [     1070.2      353.12]
 [     1100.9      348.18]
 [     1070.9      333.11]
 [     1101.6      330.07]
 [     1043.7       374.9]
 [     1118.9      373.73]
 [     1087.6      361.41]
 [     1071.4      363.94]
 [     1104.4      360.14]
 [     1091.2      377.44]
 [     1059.3      374.82]
 [     1126.8      369.76]
 [     1093.3      387.63]
 [     1051.1      397.32]
 [       1144      386.96]
 [     1092.8      392.53]
 [     1093.8      397.53]
 [     1072.1      404.44]
 [     1121.4      401.89]
 [     1093.4      389.99]]"
14,0.28,,0.7806077599525452,"[[     1008.6      314.52]
 [     1135.5       318.9]
 [     1006.1      376.39]
 [     1161.3      365.53]
 [     1004.8       441.9]
 [     1174.3      418.67]
 [     979.51      523.07]
 [     1200.2       485.1]
 [     924.81      439.88]
 [     1227.3      405.26]
 [     945.09      359.24]
 [     1209.3      343.34]
 [     994.86      308.46]
 [     1153.1      312.89]
 [     1061.9       314.2]
 [     1082.2      319.26]
 [     1051.3      350.68]
 [     1105.4       352.9]
 [     1029.3      355.46]
 [     1125.6       352.5]
 [     1039.1         344]
 [     1114.6      343.76]
 [     1040.7      360.32]
 [     1116.5      360.41]
 [     1088.1      330.27]
 [     1084.6      350.39]
 [     1070.9      354.81]
 [       1101      351.12]
 [     1072.5      335.06]
 [     1104.3      332.73]
 [     1041.6      376.56]
 [     1118.8      378.66]
 [     1087.4       363.8]
 [       1072      365.66]
 [     1104.4      362.42]
 [     1090.9      380.16]
 [     1059.7      376.18]
 [     1127.4      374.73]
 [     1092.6      389.04]
 [     1049.9       397.6]
 [     1144.3       391.1]
 [     1092.4      394.12]
 [       1093       399.4]
 [     1070.5      405.55]
 [     1122.5      403.02]
 [     1092.7      391.79]]"
16,0.32,,0.8404256105422974,"[[     1011.3      316.15]
 [     1136.4      320.12]
 [       1009       378.7]
 [     1158.1      365.31]
 [       1010       444.2]
 [     1173.9      416.46]
 [     985.75      525.93]
 [       1201       484.8]
 [     925.03      444.16]
 [     1225.6      400.47]
 [     947.17      364.51]
 [     1207.1      339.97]
 [     999.43      309.03]
 [     1151.5      314.92]
 [     1064.1      313.59]
 [     1083.6      318.44]
 [     1055.5      347.86]
 [     1106.8      352.26]
 [     1033.8      353.51]
 [     1126.7      351.87]
 [     1043.6      343.02]
 [     1116.5      343.32]
 [     1044.5      356.09]
 [     1117.5      359.79]
 [     1088.4      327.48]
 [     1084.6      349.67]
 [       1071      353.76]
 [     1101.5      350.11]
 [     1071.8      332.49]
 [     1104.6      329.85]
 [     1047.2      374.49]
 [     1121.2      378.04]
 [     1088.4      362.43]
 [     1072.3      364.61]
 [     1105.2      361.32]
 [     1092.1      378.33]
 [     1060.2      374.89]
 [     1128.8      371.69]
 [     1093.9      388.94]
 [     1050.4      394.42]
 [     1143.6      387.58]
 [     1093.8      394.54]
 [     1094.7      399.87]
 [     1072.5      405.15]
 [     1121.1      402.01]
 [     1094.1      391.36]]"
18,0.36,,0.7878645062446594,"[[     1008.8      321.38]
 [     1131.8      322.07]
 [     1006.4      381.63]
 [     1158.5      369.44]
 [       1011      449.88]
 [     1172.9      422.89]
 [     985.04      532.51]
 [     1201.3      491.27]
 [     928.39      452.98]
 [     1226.7      408.18]
 [     944.37      370.67]
 [     1209.3      343.58]
 [     998.33      316.13]
 [     1150.1      312.84]
 [     1062.8      313.12]
 [     1081.6      319.11]
 [     1053.9      348.85]
 [     1106.8      351.09]
 [     1033.3       355.5]
 [     1126.3      350.53]
 [     1041.8      344.83]
 [     1116.2      342.46]
 [     1043.7      358.67]
 [     1117.4      357.86]
 [     1089.3      329.95]
 [     1087.5      349.86]
 [     1073.7      354.78]
 [     1103.9      350.35]
 [     1073.1      335.45]
 [     1105.1      332.04]
 [     1044.7      376.91]
 [     1121.9      375.32]
 [     1091.1      363.45]
 [       1075      365.69]
 [     1108.1      361.31]
 [     1095.2      379.31]
 [       1063      377.03]
 [     1131.4      371.29]
 [     1097.2      389.64]
 [     1053.5       397.9]
 [     1146.1      388.26]
 [     1096.3      394.99]
 [     1097.5      400.08]
 [     1074.6      405.08]
 [     1125.7      401.86]
 [     1096.7      392.26]]"
