frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.9767340421676636,"[[     382.09      210.77]
 [        479      231.54]
 [        370      155.14]
 [     499.55      181.83]
 [     354.07      106.03]
 [      527.3      137.16]
 [     311.87      58.926]
 [     572.27      106.47]
 [     275.94       131.4]
 [      595.6      177.98]
 [     267.91      211.18]
 [     605.59      250.56]
 [     281.42      284.14]
 [     576.65      315.24]
 [     385.87      351.29]
 [     440.55      351.41]
 [     344.76      409.72]
 [      468.3      426.74]
 [      308.7      402.84]
 [      507.4      418.83]
 [     327.85      391.53]
 [      486.2      409.17]
 [     323.17      417.96]
 [     489.96      437.23]
 [     404.14      432.27]
 [     400.06       471.3]
 [     367.92      477.28]
 [     430.58      481.11]
 [      372.6      436.94]
 [     435.43      443.46]
 [     319.63      451.86]
 [     487.08      467.17]
 [     396.21      504.02]
 [     361.84      500.52]
 [     430.18      505.55]
 [     393.58      536.57]
 [     337.35      513.79]
 [     465.16      511.08]
 [     396.01      548.03]
 [     311.91         523]
 [     505.73      528.95]
 [     394.67      557.29]
 [     396.98      561.77]
 [      343.5      573.63]
 [     464.02      579.15]
 [     394.22       551.5]]"
8,0.16,,0.9836645722389221,"[[     376.88      215.12]
 [     471.06      228.31]
 [     365.21      157.86]
 [     491.71      181.95]
 [     347.92      110.06]
 [     519.01       141.5]
 [     305.41      64.926]
 [     567.55      113.56]
 [      267.5      134.56]
 [     587.49      181.05]
 [     259.63      213.93]
 [     595.98      253.73]
 [     276.49      287.92]
 [     569.44      317.52]
 [     375.85      355.16]
 [     431.67      357.36]
 [     335.36      418.23]
 [     461.78      430.36]
 [     300.18      409.12]
 [     500.82      422.46]
 [     319.37      399.72]
 [     479.03      413.19]
 [     315.16      425.38]
 [     483.93      441.68]
 [     398.13      440.83]
 [     393.08      478.45]
 [     361.78      484.31]
 [      422.8      488.08]
 [      368.2      444.15]
 [     427.62       450.5]
 [      311.3      459.31]
 [     482.44      471.48]
 [     388.91      512.44]
 [     354.35      508.04]
 [     424.68      512.07]
 [     387.73      541.62]
 [     329.99      522.84]
 [     459.58      519.02]
 [     389.22      554.91]
 [     305.72      525.16]
 [      500.6      533.35]
 [      387.9      563.11]
 [     390.08      567.36]
 [     337.22      580.96]
 [     456.84      585.94]
 [     388.15      559.29]]"
10,0.2,,0.966846764087677,"[[     372.93      218.52]
 [     462.62      236.41]
 [     360.15      161.49]
 [     484.92      190.61]
 [     343.56      113.78]
 [     511.21      148.69]
 [     300.75      68.603]
 [     558.68      121.82]
 [     264.53      140.17]
 [     583.55      189.17]
 [     258.18      216.81]
 [     591.66      260.62]
 [     271.17      292.52]
 [     564.53      327.93]
 [     373.59         355]
 [     422.25      359.93]
 [     330.38      423.54]
 [     453.73      435.72]
 [     291.18      412.89]
 [     492.71      426.73]
 [     313.92      401.03]
 [     472.93      417.24]
 [     308.36      434.07]
 [     477.16      446.93]
 [      391.6      444.34]
 [     387.86      484.92]
 [     356.15      490.94]
 [     418.22      494.25]
 [     361.27      449.22]
 [     421.97      454.31]
 [     309.51      464.85]
 [     473.17      476.41]
 [     384.69      517.76]
 [     349.49      513.84]
 [     418.65      518.62]
 [     382.31      548.79]
 [     325.57      523.73]
 [     452.74      521.01]
 [      384.1      559.43]
 [     300.39      530.33]
 [     492.66      536.54]
 [     382.63      566.81]
 [     384.76      570.38]
 [     329.49      584.17]
 [     450.63         585]
 [     382.16      563.68]]"
12,0.24,,0.9812646508216858,"[[      373.1      220.14]
 [     463.53      237.64]
 [        362      162.78]
 [     486.64      190.05]
 [     343.11       115.3]
 [     512.79      146.99]
 [     299.28      70.129]
 [     561.97      123.84]
 [     262.93      143.76]
 [     585.05       189.4]
 [      254.6      222.62]
 [     594.36      261.51]
 [     270.15      293.92]
 [     564.85      327.91]
 [     371.46      356.83]
 [     422.43      361.84]
 [     329.36       427.7]
 [     452.42      439.66]
 [     290.22      411.77]
 [     491.24      426.04]
 [     312.78      402.86]
 [     469.39      419.14]
 [     306.69      431.98]
 [     475.45      448.22]
 [     389.52      444.24]
 [     382.87      484.33]
 [     351.75       488.9]
 [     414.35      493.95]
 [     358.83      449.29]
 [     419.73      454.08]
 [     306.44      462.19]
 [     472.45      479.21]
 [     378.92      519.28]
 [     343.02      513.87]
 [     417.68      517.99]
 [     378.18      548.75]
 [     321.05      527.34]
 [     454.71      526.07]
 [     380.04      559.98]
 [     299.37      529.55]
 [     495.31      537.98]
 [     378.21      568.26]
 [     380.71      572.55]
 [     327.39      583.15]
 [     450.09      587.33]
 [     378.59      564.16]]"
14,0.28,,0.9884661436080933,"[[     374.11      217.62]
 [     467.55      234.96]
 [     364.13      162.34]
 [     490.83      185.71]
 [     347.17      114.46]
 [     516.69      145.72]
 [     305.01      66.979]
 [     564.74      123.69]
 [     266.77      138.66]
 [     587.54      185.97]
 [     258.82      217.14]
 [     595.69      258.87]
 [      271.2      289.54]
 [     566.39      325.96]
 [     379.13      354.66]
 [     427.67      363.84]
 [     329.17       423.7]
 [     452.07      437.95]
 [     289.33       406.6]
 [     492.68      427.38]
 [     311.77      399.51]
 [     470.82       418.4]
 [     305.24      428.27]
 [     475.42      447.56]
 [     389.28         443]
 [      384.2      481.62]
 [     351.67      486.67]
 [      415.1      492.12]
 [     358.38      447.52]
 [     419.74      453.34]
 [     304.33      458.68]
 [     473.98         476]
 [     379.11       515.4]
 [     343.54      510.61]
 [     415.77      517.11]
 [     377.21      546.93]
 [     323.05       523.9]
 [     450.54      523.82]
 [     379.21      556.02]
 [     299.61      527.52]
 [     493.44      535.48]
 [     377.38      564.96]
 [     380.17      569.76]
 [     328.45       580.3]
 [     449.96      586.36]
 [     376.99      560.32]]"
16,0.32,,0.960693895816803,"[[     378.02      214.41]
 [     473.77      237.08]
 [     366.94      159.19]
 [     493.16      188.05]
 [     350.01      110.52]
 [     519.87      147.22]
 [        311      65.729]
 [     566.55       120.3]
 [      275.8      138.27]
 [     588.75      183.41]
 [     266.69      215.99]
 [     600.42      257.13]
 [     280.14      286.02]
 [     575.03      322.92]
 [      375.3      360.34]
 [     428.34      351.94]
 [     333.57      416.95]
 [     457.47      432.74]
 [     302.31      408.75]
 [     497.39       424.5]
 [     320.37      400.19]
 [     477.42      414.34]
 [     316.23      422.63]
 [     480.38      443.88]
 [      395.6      441.71]
 [     390.86      480.89]
 [     361.23      485.15]
 [     419.21      491.04]
 [     365.67      445.55]
 [      424.5      453.29]
 [     315.22      455.39]
 [     477.73      474.15]
 [     387.13      511.02]
 [     355.03      506.63]
 [     418.19      513.14]
 [     383.44      540.94]
 [      332.3      516.08]
 [     454.09      517.14]
 [     385.51      552.87]
 [     305.28      522.66]
 [     495.57      535.69]
 [     383.86      561.45]
 [     385.97      565.78]
 [     337.56      574.27]
 [     450.33      583.09]
 [     384.49      556.59]]"
18,0.36,,0.0,0
