frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.6848495602607727,"[[     665.14      298.99]
 [     749.47       288.3]
 [     646.19      293.82]
 [     768.75      284.93]
 [     622.13      300.16]
 [     786.46      309.09]
 [     591.94      307.23]
 [     810.87      333.35]
 [     589.67       317.8]
 [     827.36      311.08]
 [     593.82      332.12]
 [     834.84      295.27]
 [     614.13      346.32]
 [     812.86      341.47]
 [     674.11      370.14]
 [     717.27      364.77]
 [     665.08      407.65]
 [     735.41      407.28]
 [     641.69       408.9]
 [     761.41      402.08]
 [     652.55      400.65]
 [     747.82         398]
 [      652.9      416.89]
 [     749.68      412.17]
 [     690.33      441.76]
 [     683.22      482.08]
 [     667.52      483.34]
 [     699.12       482.8]
 [     670.76      445.99]
 [     710.47      446.71]
 [     651.95      436.61]
 [     751.35      433.79]
 [     683.92      498.14]
 [     667.69      499.03]
 [        700      497.62]
 [     685.03      514.62]
 [     653.26       493.1]
 [     721.05      491.58]
 [     687.13      523.08]
 [     645.84       498.4]
 [     751.08      490.89]
 [     693.19      550.32]
 [     694.73      556.44]
 [     664.99      525.83]
 [     718.19      520.99]
 [     691.61      555.38]]"
6,0.12,,0.8689612746238708,"[[     655.33      297.67]
 [     732.03      293.42]
 [     627.01       296.3]
 [     753.97      288.17]
 [     600.66      317.93]
 [     774.22      311.66]
 [     579.42      344.84]
 [     798.47      335.33]
 [     572.48      328.54]
 [     817.08      314.37]
 [     574.04         319]
 [     817.41      302.48]
 [     590.63      357.63]
 [     792.14      343.75]
 [     658.49      372.24]
 [     700.31      367.61]
 [     647.86      412.22]
 [     719.44       410.6]
 [     625.07       413.8]
 [     745.82      405.49]
 [     636.85      405.65]
 [      731.8      401.12]
 [     636.69      419.81]
 [     733.94      415.81]
 [     674.46      446.11]
 [      666.9       487.6]
 [     650.48      488.54]
 [     683.83      489.32]
 [     654.36      449.91]
 [     695.06      451.09]
 [     634.86      443.49]
 [     735.44      439.92]
 [     666.84       504.4]
 [      649.3      504.07]
 [     684.59      503.82]
 [     667.77      521.07]
 [     637.82      500.19]
 [     706.98      497.99]
 [     669.71      529.31]
 [      630.3      503.53]
 [     739.36      491.84]
 [     677.71      558.07]
 [     679.31      564.96]
 [      646.5      531.63]
 [     702.61      526.45]
 [     676.67      558.73]]"
8,0.16,,0.8354159593582153,"[[     639.02      306.79]
 [     715.77      304.28]
 [     616.81      310.71]
 [     741.07      304.31]
 [     590.39       337.7]
 [     762.67      330.15]
 [     569.33      369.81]
 [     785.85      354.13]
 [     557.88      337.28]
 [     806.67      326.45]
 [     557.56      317.16]
 [     803.19      306.86]
 [     580.39      371.72]
 [     769.22      341.57]
 [     645.45      381.27]
 [     689.99      377.26]
 [     633.19      420.12]
 [     705.47      419.38]
 [     612.68      421.45]
 [     734.83       413.7]
 [     622.88      413.68]
 [     719.28      409.08]
 [     623.04      429.17]
 [     721.21      426.02]
 [     662.39      456.03]
 [     653.99      495.91]
 [     637.42      497.15]
 [     671.75      498.37]
 [     641.88      459.38]
 [        683      461.25]
 [     620.31      451.03]
 [     721.88      449.28]
 [     653.76      513.09]
 [     635.93      512.82]
 [     671.82      513.57]
 [      654.8      530.02]
 [     624.87      508.69]
 [     694.12      507.01]
 [     656.92      538.72]
 [     615.03      512.15]
 [     727.13      501.33]
 [     665.18      570.13]
 [     666.49      576.64]
 [     632.64      540.47]
 [     691.56      535.21]
 [     664.21      571.94]]"
10,0.2,,0.7775511741638184,"[[     631.95      313.36]
 [     707.05      314.56]
 [     606.39      317.65]
 [     732.55      322.21]
 [     580.24      348.01]
 [     752.85      349.45]
 [      558.5      378.99]
 [     774.81      373.15]
 [     548.48       344.9]
 [     798.69      336.28]
 [     549.02      324.83]
 [     795.35       307.6]
 [     573.92      379.29]
 [      749.5      333.34]
 [     635.02      388.25]
 [     675.63      384.02]
 [     621.73       428.9]
 [     692.78      427.59]
 [     599.96      428.87]
 [     724.56      421.42]
 [     611.14      421.51]
 [     707.97      416.96]
 [     610.55      436.64]
 [     709.64      434.91]
 [     650.45       465.2]
 [     640.82      505.08]
 [     624.74      506.37]
 [     658.54       508.2]
 [      629.8      468.35]
 [     671.07      470.56]
 [     609.43      458.85]
 [      709.7      459.49]
 [     640.75       524.2]
 [     623.06      522.97]
 [     659.23      522.72]
 [     641.95      539.83]
 [     612.03      518.67]
 [     681.55      516.22]
 [      644.4      548.99]
 [     604.91      521.71]
 [     715.23      508.85]
 [     652.74      581.71]
 [     654.11      588.75]
 [     622.56      550.15]
 [     677.18      545.21]
 [     651.94      581.14]]"
12,0.24,,0.8711482286453247,"[[     631.57      321.73]
 [     697.25      321.04]
 [     604.46      321.16]
 [     721.72      326.27]
 [     578.31      348.71]
 [     740.81      352.71]
 [     550.95      379.42]
 [     767.58      382.36]
 [     542.27      349.01]
 [     788.41      341.46]
 [     540.14      330.22]
 [     790.48      311.68]
 [     566.39      385.12]
 [     747.04       348.5]
 [     626.77      396.42]
 [     668.89      389.84]
 [     610.83      438.19]
 [     685.54      436.65]
 [     592.59      433.87]
 [     717.03      428.81]
 [     603.72       428.8]
 [      699.4      424.33]
 [     599.73      443.32]
 [      701.8      442.15]
 [      641.2      471.82]
 [     630.53      511.62]
 [     612.82         513]
 [     649.71      515.13]
 [     619.16      474.91]
 [     663.14      477.23]
 [     598.35      467.65]
 [     701.74      470.69]
 [     629.66      532.66]
 [     610.84      531.79]
 [     650.38      531.54]
 [     631.12      550.14]
 [     600.69      529.12]
 [     674.03      527.42]
 [     633.78      558.01]
 [     595.26       528.2]
 [     707.89      516.06]
 [     642.67      589.72]
 [     644.04      596.07]
 [     612.58      556.23]
 [      667.5      552.67]
 [     642.14      588.18]]"
14,0.28,,0.9212976098060608,"[[     616.98      322.55]
 [     690.78      325.09]
 [     590.46      323.26]
 [     717.97      328.02]
 [     569.33      353.48]
 [     735.86      352.88]
 [     547.83      384.12]
 [     761.11      383.28]
 [     535.78      354.72]
 [     778.75      342.79]
 [     534.14      334.38]
 [     785.49      313.27]
 [      558.6       387.9]
 [     748.65      363.04]
 [     621.91      403.49]
 [     661.69      393.89]
 [     603.42      443.81]
 [     680.01      439.29]
 [     585.84      436.98]
 [     710.49      432.24]
 [     596.49      433.45]
 [     693.76      427.39]
 [     592.43      447.18]
 [     696.21       445.2]
 [     636.14      476.09]
 [     625.57      515.67]
 [     608.47       517.3]
 [     643.57      519.23]
 [     614.91      478.63]
 [     657.82      480.57]
 [     589.71      471.27]
 [     697.34      472.59]
 [     624.65      537.07]
 [      606.2      536.21]
 [     644.93       535.1]
 [     626.61      553.67]
 [      594.4      532.04]
 [      669.8      530.16]
 [     629.65      561.07]
 [     590.32      530.84]
 [     703.58      516.58]
 [     639.79      593.25]
 [     640.91      598.64]
 [      609.1      559.78]
 [     663.97      553.09]
 [     639.78      599.03]]"
16,0.32,,0.941024661064148,"[[     618.57      327.02]
 [     687.17      326.44]
 [     588.95      321.45]
 [     714.88       326.9]
 [     564.77       345.4]
 [     733.42       349.7]
 [     540.53      375.52]
 [      761.1      382.36]
 [     530.27       348.3]
 [     774.92      343.99]
 [      531.5      345.18]
 [     780.59      317.44]
 [      551.1      391.29]
 [     749.89      378.31]
 [     616.29      403.31]
 [     658.88      394.67]
 [     600.01      444.86]
 [     676.72      440.82]
 [     581.43      438.02]
 [     708.19      434.45]
 [     592.69      434.12]
 [     691.19      429.53]
 [      588.9      448.26]
 [     693.42      446.14]
 [     633.45       479.6]
 [     622.79      516.08]
 [      605.9       517.6]
 [        641      520.89]
 [     611.77       481.4]
 [     656.25       483.9]
 [     585.27      471.07]
 [     692.97      474.13]
 [     620.85      540.14]
 [     601.96      538.28]
 [      641.6      538.25]
 [     622.78       555.9]
 [     591.19      534.47]
 [     667.63      534.85]
 [     626.07      564.07]
 [      588.6      533.89]
 [     702.96      519.62]
 [     636.65      597.87]
 [     638.34      603.59]
 [     605.94      560.68]
 [      662.5      556.64]
 [     636.46       600.1]]"
18,0.36,,0.9348584413528442,"[[     613.89      335.58]
 [     685.12      329.12]
 [     582.44      326.45]
 [     710.36      326.87]
 [     556.14      349.56]
 [     731.13      351.56]
 [     529.71      384.61]
 [     756.52      382.37]
 [     527.57      352.83]
 [     771.59       345.5]
 [     531.28      351.13]
 [     778.78      320.24]
 [     555.13      392.25]
 [     750.81      377.58]
 [     610.01       403.8]
 [     655.34      399.43]
 [     595.16      447.63]
 [     674.55      443.49]
 [     578.03      442.47]
 [     707.11      437.24]
 [     587.22      437.76]
 [     689.45      431.67]
 [     584.88      452.04]
 [     691.78      449.79]
 [     631.52      481.12]
 [     619.26      520.73]
 [     601.57      522.36]
 [     638.68      524.64]
 [     609.33      483.48]
 [     654.16      485.27]
 [     582.63      473.87]
 [     691.85      477.02]
 [     617.64      543.94]
 [     598.82      543.27]
 [     639.94      541.63]
 [     620.16      560.77]
 [     587.61       538.1]
 [     666.99      536.93]
 [     623.76      567.98]
 [      586.2      537.72]
 [     701.49      520.54]
 [     635.24      603.44]
 [     636.63      608.97]
 [     603.42      564.84]
 [     660.35      560.27]
 [     635.22      606.82]]"
