frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
8,0.16,,0.12792742252349854,"[[     674.49      397.62]
 [     869.21       358.2]
 [     634.09      458.34]
 [     928.52      455.68]
 [     621.97      543.26]
 [     952.11      565.33]
 [     607.94      640.43]
 [     956.69      704.69]
 [     601.39      550.42]
 [     990.39      551.41]
 [     598.28      439.55]
 [     962.85      430.91]
 [     656.57      372.39]
 [     902.17      393.95]
 [     694.25      512.88]
 [     764.71      492.53]
 [     662.64      580.32]
 [     812.98      572.72]
 [     623.14      576.04]
 [     854.51      558.38]
 [     644.03      569.14]
 [     830.88      552.27]
 [     641.34      589.61]
 [     837.65      578.79]
 [     727.05      666.62]
 [     693.01      750.94]
 [     668.83      754.23]
 [     728.54      752.37]
 [     693.66      671.65]
 [        762      672.72]
 [     647.38      627.56]
 [     838.36      626.42]
 [     693.83      788.08]
 [     664.58      787.71]
 [     732.46      784.91]
 [      703.4      814.09]
 [     652.09      785.23]
 [     790.48      776.17]
 [     710.01      827.07]
 [     646.74      798.91]
 [     847.28      789.67]
 [     729.82      877.57]
 [     735.82      887.73]
 [     673.73      834.26]
 [     778.11       832.7]
 [     728.36      885.73]]"
10,0.2,,0.041947584599256516,"[[     658.35      392.05]
 [     824.11      328.77]
 [     616.64       450.4]
 [     906.43      376.72]
 [     603.17      541.66]
 [     954.62      487.53]
 [     595.45       635.5]
 [      968.5      616.92]
 [     596.66      554.15]
 [      970.4      518.02]
 [     590.67      436.04]
 [     934.65      444.85]
 [     653.52      359.26]
 [     909.86       472.9]
 [     686.28      481.06]
 [     769.34      468.57]
 [     655.75      553.98]
 [     820.29      546.04]
 [     623.11      551.66]
 [     860.55       536.6]
 [      639.5      541.42]
 [      838.8      527.92]
 [     639.87       566.5]
 [     845.54      554.48]
 [     736.95      641.96]
 [     716.17         714]
 [     686.11      722.78]
 [     755.16       716.6]
 [     697.14      648.35]
 [     775.27      647.62]
 [     645.05       602.2]
 [     848.04       600.9]
 [     721.19      753.17]
 [     685.01      754.76]
 [     761.36      748.66]
 [     727.85      785.46]
 [     661.33      753.61]
 [     810.25      742.36]
 [     734.11      800.08]
 [     658.83      781.21]
 [     858.32      764.09]
 [     750.23      872.84]
 [     755.28      883.69]
 [     691.05      818.88]
 [     798.58      814.94]
 [     748.61      879.35]]"
12,0.24,,0.054338619112968445,"[[      636.9      372.03]
 [     810.57      320.78]
 [     601.81      436.04]
 [     888.14      345.36]
 [     587.32      508.95]
 [     937.46      453.36]
 [     574.79      607.14]
 [     971.06       571.7]
 [     572.38      520.32]
 [     960.09      482.02]
 [     569.63       425.8]
 [     931.36      403.81]
 [     622.93      367.83]
 [     888.04      428.77]
 [     687.08      460.74]
 [     767.82      447.09]
 [     648.85      535.26]
 [     813.84         528]
 [     613.62      533.26]
 [     853.98      521.25]
 [      633.9      520.57]
 [      832.9      511.74]
 [      631.1      550.87]
 [     836.73      537.87]
 [     737.47      624.46]
 [      724.5      692.12]
 [     692.66       698.9]
 [     760.99      694.73]
 [     696.72      631.91]
 [        777      632.04]
 [     636.48      585.52]
 [      840.6      583.64]
 [     728.93      730.53]
 [     690.27      732.31]
 [     769.17      729.35]
 [     734.38      767.68]
 [     659.58      733.17]
 [     819.16      725.33]
 [     737.61      785.08]
 [     650.02      764.86]
 [     874.04      748.26]
 [     743.68      857.11]
 [     747.07      873.08]
 [     689.21         811]
 [     805.81      806.29]
 [     745.43      858.82]]"
14,0.28,,0.0865965336561203,"[[     624.34      345.21]
 [     805.08      306.52]
 [     580.65       392.3]
 [     871.89      346.54]
 [      560.2      468.43]
 [     911.73      451.68]
 [     545.65      571.69]
 [     946.63      562.19]
 [     544.27      490.08]
 [     951.49      477.94]
 [     545.35      420.59]
 [     927.05      384.44]
 [      579.6       389.3]
 [     871.56      396.28]
 [     674.49       427.1]
 [     743.51      426.12]
 [     643.32      505.37]
 [     789.76      502.45]
 [     601.37       507.4]
 [     827.93      496.94]
 [     625.27      493.78]
 [     807.15       486.5]
 [     624.05      521.49]
 [     810.74      513.59]
 [     715.13      595.48]
 [     711.91      666.89]
 [     675.15      673.15]
 [     747.03      670.85]
 [     672.87      604.42]
 [     756.92      602.11]
 [     626.63         566]
 [     814.82       560.7]
 [     713.21      705.82]
 [      672.9       706.4]
 [     751.73      705.05]
 [      716.9      741.22]
 [     641.03      715.14]
 [     798.25      706.82]
 [      717.4      763.68]
 [     619.41      744.45]
 [      844.8      734.71]
 [     718.55      821.53]
 [      721.5       840.1]
 [     660.61      791.66]
 [     789.19      787.48]
 [     719.19      810.91]]"
16,0.32,,0.0,0
18,0.36,,0.1477467119693756,"[[     550.02      315.14]
 [     776.07      295.36]
 [     512.98      384.69]
 [     826.61      358.73]
 [     503.64      478.52]
 [     865.32      449.16]
 [     472.96      578.01]
 [     891.67       571.3]
 [        472      469.26]
 [        929      472.07]
 [      475.9      368.25]
 [     904.46      331.14]
 [     529.42      297.09]
 [     811.42      287.34]
 [     609.95      376.66]
 [     685.31      363.03]
 [     574.96      458.54]
 [     738.36      447.89]
 [     535.12      461.38]
 [     780.29      443.97]
 [     556.37      446.31]
 [     758.01      431.91]
 [     557.98      475.71]
 [     762.07      461.86]
 [     658.61      542.33]
 [     663.39      617.38]
 [     626.33      624.69]
 [     696.85      621.55]
 [     616.84      553.88]
 [     700.74       548.3]
 [     558.81      515.45]
 [     770.62      507.37]
 [     664.92      659.14]
 [     625.81      658.09]
 [      704.9      652.61]
 [     670.54      693.99]
 [     590.94      670.51]
 [     745.83      656.51]
 [     670.71      716.13]
 [     566.61       709.9]
 [     785.37       688.7]
 [     671.73      791.71]
 [      677.2      813.89]
 [     611.13      748.77]
 [     740.72      741.26]
 [     672.56      772.86]]"
20,0.4,,0.1139252558350563,"[[     538.96       302.8]
 [     748.18      275.39]
 [     487.08      378.67]
 [     809.69      332.16]
 [     484.77      481.07]
 [      840.6      431.27]
 [     458.37       583.6]
 [     856.82      554.86]
 [     457.05      478.59]
 [     872.76      430.81]
 [     457.72      357.46]
 [     852.28      326.86]
 [     524.47      272.31]
 [     787.45      295.02]
 [     577.22      380.95]
 [     683.15      375.77]
 [     546.54      456.34]
 [        729      447.07]
 [     509.03      455.41]
 [     768.65      440.02]
 [     529.17      442.25]
 [      745.9      429.14]
 [     528.47      471.82]
 [     750.05      455.57]
 [     648.59      543.08]
 [     649.31      606.76]
 [     611.65      612.04]
 [     682.88      612.46]
 [     609.53      550.42]
 [     689.91      550.84]
 [     527.18      515.36]
 [     752.93      502.34]
 [     651.99      645.29]
 [     607.81      645.08]
 [     691.79      641.76]
 [      653.8      679.97]
 [     572.79       658.8]
 [     729.92      649.39]
 [     653.67      708.16]
 [     549.13      702.04]
 [      765.4      685.59]
 [     652.02      790.11]
 [     655.34      811.47]
 [     592.81      737.68]
 [     725.28      728.24]
 [     652.86      766.76]]"
