frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.0,0
8,0.16,,0.0,0
10,0.2,,0.004761735443025827,"[[     657.35      400.62]
 [     774.57       384.2]
 [      633.8      445.92]
 [     797.49      444.82]
 [     622.66      494.61]
 [     806.25      520.56]
 [     586.99      558.01]
 [     814.96      606.23]
 [     579.04      487.44]
 [     858.38      530.61]
 [     589.68       421.3]
 [      855.4      438.02]
 [     644.35      382.11]
 [     797.74      376.73]
 [     687.19      468.98]
 [     715.98      473.47]
 [     664.21      515.16]
 [     728.58      522.76]
 [     635.33       507.6]
 [     758.14      526.31]
 [     651.83      502.39]
 [      744.6      515.06]
 [     646.61      522.13]
 [     743.02      534.34]
 [     694.79      617.85]
 [     693.82      659.46]
 [     675.86      659.39]
 [     713.64      662.05]
 [     677.85      620.35]
 [     711.54      621.07]
 [     639.36      545.46]
 [     742.34      561.16]
 [     693.91      676.24]
 [     676.31      677.04]
 [      712.9      677.97]
 [     694.26      687.07]
 [     647.98      671.56]
 [     725.27      679.55]
 [     691.97      695.91]
 [     607.13      670.39]
 [     747.05      662.81]
 [     692.26      699.27]
 [     692.61      707.18]
 [     644.97      702.01]
 [     722.44      701.45]
 [     692.05      695.57]]"
12,0.24,,0.0029368363320827484,"[[     658.01      392.17]
 [     766.51      375.36]
 [        629      434.01]
 [     789.38       434.6]
 [     615.29      479.68]
 [     800.36       506.4]
 [     578.59      539.44]
 [     807.76      588.63]
 [     571.84       471.4]
 [     851.66      512.63]
 [     585.06      404.31]
 [      848.8      427.43]
 [     646.55      373.87]
 [     794.87      372.08]
 [     682.63      443.66]
 [     703.33      446.79]
 [     652.42      483.67]
 [     718.33       496.9]
 [     621.88      479.18]
 [     744.83      501.51]
 [     639.15      471.95]
 [     734.01      489.91]
 [     635.74      492.55]
 [     731.02      508.35]
 [      666.9      590.72]
 [     668.32       628.1]
 [     650.51      627.93]
 [     686.51      632.53]
 [     642.76      592.39]
 [     687.11      596.48]
 [     626.86       520.6]
 [     727.43      535.31]
 [      667.9      645.51]
 [     649.85      645.08]
 [     687.16      649.37]
 [     669.43      662.69]
 [     620.37      647.59]
 [     705.27      657.11]
 [     668.13      672.24]
 [     582.48       649.1]
 [     730.29      653.68]
 [     666.88         678]
 [     667.73      685.06]
 [     626.75      683.82]
 [     700.36      688.95]
 [      666.3      673.97]]"
16,0.32,,0.0012221088400110602,"[[     653.29      367.86]
 [     756.89      363.33]
 [     616.39      400.63]
 [     774.16      426.76]
 [     596.32      439.26]
 [     775.54      497.68]
 [     553.37      480.69]
 [     781.05      578.97]
 [     557.71      422.27]
 [     823.41      509.14]
 [     582.98      367.26]
 [     828.56      432.66]
 [     642.75      347.38]
 [     785.34      364.36]
 [     639.43       457.9]
 [     664.13      460.74]
 [     608.71      490.99]
 [      668.6       508.6]
 [     583.56      484.24]
 [     694.16      519.16]
 [     597.81      477.21]
 [     685.41      503.55]
 [     592.98      496.76]
 [     679.68      521.28]
 [     608.72      572.98]
 [     586.92      610.16]
 [     570.89       608.4]
 [     603.55      615.97]
 [     586.95      571.11]
 [      626.3       583.3]
 [     583.13      516.98]
 [     674.66      544.03]
 [      583.9      626.33]
 [     567.35      621.39]
 [     602.31      629.86]
 [     580.31      644.84]
 [      548.1       615.3]
 [      628.5      637.75]
 [     579.78      652.31]
 [     530.41      615.45]
 [     665.14      660.93]
 [     575.87      655.45]
 [     577.66      661.12]
 [      545.2      651.51]
 [     622.32      675.75]
 [     578.23       651.6]]"
18,0.36,,0.001076330547221005,"[[     639.85      362.89]
 [     741.84      350.42]
 [     606.95      401.54]
 [     757.78      416.22]
 [     589.76      445.09]
 [        762      489.63]
 [     549.93      491.72]
 [     773.85      568.71]
 [     548.46      433.48]
 [     816.74      495.98]
 [     570.31      370.16]
 [     821.32      413.89]
 [      629.2      342.56]
 [     765.95      350.39]
 [     640.28       433.5]
 [     662.87      446.39]
 [     608.51      472.99]
 [     667.45      486.11]
 [      582.9      466.51]
 [     690.47      494.34]
 [     597.52      459.89]
 [     681.27      481.04]
 [     593.17      480.29]
 [     676.99      499.57]
 [     606.96      559.56]
 [     595.73      596.79]
 [     579.64      594.88]
 [     612.06      602.34]
 [     584.36      559.63]
 [     626.77      568.49]
 [     585.37      504.83]
 [      675.5      524.38]
 [     593.54      611.62]
 [     576.28      607.81]
 [     611.77       615.6]
 [     590.99       631.1]
 [     554.41       612.5]
 [     636.46      630.01]
 [     589.81      640.58]
 [     530.62      615.65]
 [      665.8       650.2]
 [     587.17      645.37]
 [     588.69      650.69]
 [     555.12       648.8]
 [        629      663.73]
 [      587.8      641.13]]"
20,0.4,,0.0006421479629352689,"[[     621.79      369.09]
 [     726.86      350.06]
 [      595.9      406.56]
 [      747.8      413.62]
 [     583.32      449.51]
 [     752.14      489.77]
 [     545.99      507.55]
 [     763.02      577.86]
 [     539.51      446.44]
 [     809.19      510.05]
 [     553.02      377.36]
 [     817.17      414.85]
 [     613.39      344.36]
 [     755.37      344.57]
 [     636.43      425.15]
 [     653.96      430.12]
 [     603.61      464.35]
 [     657.66      477.09]
 [     578.78      457.39]
 [     681.56      484.31]
 [     593.79      451.16]
 [     672.68      471.26]
 [     588.32      471.47]
 [     667.83      491.68]
 [     606.65      541.43]
 [     599.81      576.53]
 [     583.82      576.47]
 [     617.31      581.46]
 [     584.72      543.05]
 [     626.47      548.23]
 [     581.67      496.93]
 [     668.51      518.16]
 [     597.46      593.96]
 [     581.45      592.94]
 [     617.94      596.49]
 [     598.62      613.13]
 [     558.35      601.45]
 [     640.69      610.65]
 [     597.15      625.58]
 [      527.2      603.76]
 [     670.81      623.97]
 [     596.18      629.68]
 [     597.29      634.67]
 [     557.64      635.17]
 [     636.99      646.16]
 [      596.9      629.31]]"
