frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.0,0
10,0.2,,0.0007424402865581214,"[[     693.69      277.44]
 [      775.7      271.19]
 [     676.14      315.66]
 [     788.07      323.75]
 [     664.19       371.4]
 [     802.45      382.92]
 [     638.21      424.93]
 [     816.66      455.75]
 [     625.79      370.22]
 [      859.7      389.66]
 [     638.81      311.43]
 [     860.14      309.69]
 [      680.7      264.58]
 [     795.08      265.66]
 [     704.48      337.67]
 [      724.3       342.4]
 [     685.89      377.45]
 [     736.69      381.59]
 [     665.35      374.97]
 [     755.37      382.77]
 [     676.71      369.51]
 [     746.47      375.78]
 [     674.49      382.46]
 [     745.92      388.98]
 [     717.36      454.45]
 [     714.51      490.94]
 [     700.95      492.56]
 [     729.62       493.6]
 [     700.53      456.01]
 [     733.15      458.01]
 [     670.28      405.75]
 [     745.15      409.61]
 [     714.32      505.15]
 [      700.3      503.87]
 [     730.64       505.8]
 [     715.34      518.63]
 [      680.2      503.05]
 [     745.78      504.97]
 [     714.85      523.02]
 [     656.69      501.44]
 [     765.22      501.26]
 [     713.65       527.9]
 [     714.11      532.95]
 [     683.79      529.72]
 [     742.55      530.17]
 [     714.69      524.11]]"
12,0.24,,0.0015935820993036032,"[[      697.5      267.08]
 [     773.49      265.44]
 [     672.85      308.02]
 [      785.8      317.51]
 [     654.55       356.8]
 [      797.4      374.03]
 [     626.55      403.91]
 [     812.59      442.53]
 [     620.26      350.05]
 [     849.28      381.24]
 [     633.58      292.97]
 [     852.68      306.08]
 [     677.88      253.29]
 [      796.8      263.15]
 [     697.84      327.08]
 [     724.21      336.22]
 [      677.2      366.72]
 [     732.35       375.4]
 [      655.4      362.72]
 [     750.46      377.88]
 [     668.67      356.82]
 [     742.31      370.53]
 [     665.05       371.1]
 [     741.05      383.31]
 [     701.34      449.33]
 [     695.33      482.88]
 [     682.29       483.6]
 [      709.4      485.79]
 [     685.41      450.29]
 [     717.37      453.67]
 [     659.75      390.79]
 [     738.88      403.24]
 [     694.33      496.65]
 [     680.87      495.35]
 [     710.85      497.64]
 [     696.02       510.7]
 [     661.14      495.44]
 [     725.91      500.78]
 [     695.67      514.79]
 [     638.02      491.65]
 [     748.13      495.45]
 [     695.12      518.34]
 [     695.21      523.02]
 [     663.34      520.23]
 [     724.01      522.11]
 [     695.43      514.54]]"
14,0.28,,3.4687636798480526e-05,"[[     691.74      262.59]
 [      757.1      263.24]
 [     670.63      307.11]
 [     769.11      313.12]
 [     658.22       360.2]
 [     780.52      376.13]
 [     630.12      408.48]
 [     801.98      449.79]
 [     615.94      349.36]
 [     841.67      381.56]
 [     628.61       292.4]
 [     846.04      295.16]
 [     676.66      247.71]
 [     775.45      253.48]
 [      678.3      324.25]
 [     690.68         325]
 [     659.36      363.34]
 [     709.92      363.58]
 [     639.05      362.85]
 [     728.26      364.05]
 [     651.01      356.24]
 [     718.74      356.35]
 [     648.73      370.03]
 [     719.22      370.93]
 [     687.21      444.93]
 [     682.79      474.74]
 [     671.46      477.62]
 [     696.66      476.75]
 [     672.21      447.25]
 [      703.6      447.86]
 [     646.27      388.57]
 [     719.88      392.04]
 [     681.79      491.37]
 [     668.81      489.14]
 [     699.49      489.81]
 [     686.48      504.26]
 [     653.05      490.69]
 [     719.84      489.24]
 [     686.94      505.93]
 [     632.73       493.6]
 [     745.65      489.05]
 [     686.17      510.92]
 [     687.78      515.41]
 [      658.8      517.34]
 [      720.3      515.52]
 [     686.69      507.57]]"
16,0.32,,6.337908416753635e-05,"[[     676.44      262.05]
 [     747.69      261.13]
 [     656.11      298.79]
 [     762.83      309.15]
 [     642.58      347.29]
 [     777.45      364.84]
 [     615.35      394.38]
 [     800.11       429.7]
 [     607.52      343.89]
 [     836.98      370.21]
 [     613.93      289.76]
 [     838.75      291.53]
 [     657.82      252.19]
 [     767.27      248.64]
 [     667.74      317.03]
 [     678.39      313.03]
 [     646.28      353.98]
 [     696.45      355.51]
 [     626.13      352.33]
 [     716.95      355.42]
 [     638.13      345.71]
 [     706.14      348.19]
 [     635.08      360.38]
 [     706.45      362.67]
 [     660.01      431.46]
 [     659.77      462.66]
 [     647.33      465.69]
 [     675.19      464.18]
 [     641.73      435.74]
 [     678.02      433.93]
 [     632.36      377.46]
 [     707.35      384.43]
 [     661.81      476.99]
 [     646.76         478]
 [     677.87      476.96]
 [     664.65      491.87]
 [     630.25      482.76]
 [     694.94      477.27]
 [     665.44      495.88]
 [     608.75      485.33]
 [     721.72      485.86]
 [     663.81      502.09]
 [     665.19      504.34]
 [     630.76      510.84]
 [     695.66      509.52]
 [     664.55      498.65]]"
18,0.36,,1.4575245586456731e-05,"[[     673.86      255.32]
 [     734.66      257.23]
 [     652.03       293.6]
 [     753.89       304.4]
 [      635.9      340.46]
 [     768.96      361.94]
 [     613.38      386.29]
 [     787.58      426.65]
 [     600.64       335.8]
 [     828.57      363.87]
 [     607.98      282.34]
 [     826.79      282.54]
 [     654.02      248.23]
 [     753.19      243.94]
 [     656.25      317.31]
 [     666.43      313.08]
 [     636.18      355.01]
 [     686.88      354.18]
 [     616.54      353.12]
 [     707.53      353.27]
 [     628.76      347.13]
 [     696.01      346.51]
 [     625.35      361.61]
 [     697.36      361.46]
 [     650.77      431.66]
 [     650.78      463.59]
 [     638.75      467.35]
 [     665.62      463.82]
 [     632.78      436.15]
 [     668.96      432.02]
 [     623.31      377.89]
 [     697.19      383.86]
 [     653.51      477.58]
 [     638.89      480.27]
 [     668.96      476.69]
 [     657.25      491.81]
 [     622.51      485.63]
 [     688.64      475.52]
 [     658.64      496.58]
 [     606.18      490.83]
 [     713.57      483.62]
 [     657.95       503.6]
 [     659.78      505.79]
 [     628.44      512.96]
 [     690.93      507.35]
 [     658.62      500.49]]"
20,0.4,,0.00024455832317471504,"[[     655.86      260.59]
 [     730.11      256.68]
 [        638      295.26]
 [     750.78      303.14]
 [     626.66      343.53]
 [      765.8      358.37]
 [      601.3      392.61]
 [     783.31      425.65]
 [     591.27      345.69]
 [     821.82      363.28]
 [     591.94      291.12]
 [     822.64      282.54]
 [     635.93      253.01]
 [     748.41      244.72]
 [     654.02      314.67]
 [     673.13      314.09]
 [     638.84      354.63]
 [     690.26       352.2]
 [      616.7      353.54]
 [     709.12      351.81]
 [     628.35      346.31]
 [     698.65      345.11]
 [     626.15      361.58]
 [      699.9      359.46]
 [     662.28      436.83]
 [     661.35      468.02]
 [     650.55      471.04]
 [     674.48      467.98]
 [     647.28      441.24]
 [     677.96      437.67]
 [     624.49      378.26]
 [     700.98      380.39]
 [     662.65      481.25]
 [     650.17      482.62]
 [     677.99      479.86]
 [     666.62      494.76]
 [     634.32      487.34]
 [     696.01      480.45]
 [      667.5      497.27]
 [     615.97      490.67]
 [     723.44      482.28]
 [     666.55      502.92]
 [     668.66       505.9]
 [     639.58      512.87]
 [     698.82       507.2]
 [     666.71      499.78]]"
