frame_count,time_sec,id,conf,landmarks
0,0.0,,0.0,0
2,0.04,,0.0,0
4,0.08,,0.0,0
6,0.12,,0.0,0
8,0.16,,0.0,0
10,0.2,,0.0,0
12,0.24,,0.0,0
14,0.28,,0.0,0
16,0.32,,0.0,0
18,0.36,,0.0,0
20,0.4,,0.0,0
22,0.44,,0.0,0
24,0.48,,0.0,0
28,0.56,,0.0,0
30,0.6,,0.0,0
36,0.72,,4.038342922285665e-06,"[[     224.85      316.96]
 [     307.15      337.05]
 [     206.04      339.33]
 [     319.57      378.46]
 [      188.4       375.8]
 [     333.09      419.76]
 [     166.94      411.14]
 [     353.75      464.49]
 [     165.03      378.53]
 [      377.8      420.49]
 [     175.26      338.26]
 [     363.16      370.51]
 [     209.99      310.21]
 [     321.84      332.53]
 [     192.85       361.6]
 [     209.82      344.29]
 [     174.17      383.56]
 [     217.82      390.63]
 [     157.09      380.24]
 [        238      389.45]
 [     167.93      374.49]
 [     228.52      381.41]
 [     163.89      386.92]
 [     227.93      397.97]
 [     171.84      403.88]
 [     152.93      426.16]
 [     136.88      428.36]
 [     170.06      432.89]
 [     157.98      403.31]
 [     186.99      409.37]
 [     160.04      397.72]
 [     224.69      421.04]
 [     148.72      444.67]
 [     131.03      443.45]
 [     167.61      448.43]
 [     146.38      464.55]
 [     125.17      452.94]
 [     193.58      459.53]
 [     146.45      475.74]
 [     122.44      459.29]
 [     232.89      486.41]
 [     145.43      483.37]
 [     146.16      487.46]
 [      128.6      488.87]
 [     186.38      502.53]
 [     147.15      480.76]]"
38,0.76,,6.040213975211373e-06,"[[     222.23      317.11]
 [     311.56      332.17]
 [     205.47      336.99]
 [        325      373.22]
 [     188.35      374.94]
 [     339.65      414.26]
 [     170.85      406.88]
 [     359.69      461.36]
 [     169.98      375.96]
 [     384.47      414.01]
 [     175.67      338.22]
 [     366.79      366.15]
 [     207.76      314.63]
 [      324.7      327.13]
 [     199.37      349.14]
 [     216.13      340.35]
 [     177.33      376.31]
 [     225.03      382.32]
 [     161.24      374.75]
 [     246.76      382.53]
 [     171.04      368.21]
 [      236.2      373.06]
 [     168.37      381.97]
 [     236.59      390.47]
 [     177.88      398.21]
 [      161.9      420.81]
 [     149.25      422.71]
 [     177.18      426.35]
 [     162.99       398.4]
 [     193.73       403.9]
 [     166.07      393.57]
 [     234.54       410.7]
 [     158.24      436.44]
 [     145.85      434.52]
 [     175.81      437.15]
 [     157.07      452.88]
 [     134.18       442.3]
 [     196.01      454.57]
 [     157.27       463.9]
 [     129.23      452.78]
 [     237.66      479.35]
 [     155.75      475.06]
 [     157.35      479.78]
 [     135.42      478.67]
 [     198.29      490.34]
 [     156.45      470.74]]"
40,0.8,,8.296766282001045e-06,"[[     230.58      314.64]
 [     307.99      331.05]
 [     211.03      334.79]
 [     320.28      372.74]
 [     194.08      367.87]
 [     333.29      414.33]
 [     174.76      400.47]
 [     356.16      462.03]
 [      170.9      366.16]
 [     382.53      417.38]
 [     180.52      328.75]
 [     365.06      362.96]
 [     219.42      303.57]
 [     320.81      324.78]
 [     193.97      355.64]
 [     210.86      341.45]
 [     175.32      379.47]
 [     220.45      386.46]
 [     161.46      375.47]
 [     244.07      383.49]
 [      171.1      370.36]
 [     232.29      375.85]
 [     166.62      382.69]
 [     233.22      391.27]
 [     177.95      397.43]
 [     157.05      419.71]
 [     141.14      422.33]
 [     174.43       426.3]
 [      163.9      397.47]
 [     192.34      403.17]
 [      164.9      392.83]
 [     227.63      413.69]
 [     152.74      438.64]
 [     136.45      437.64]
 [      171.5      442.05]
 [     151.79      458.41]
 [      131.7      446.58]
 [     196.11      453.05]
 [     152.01      469.51]
 [     127.39      450.46]
 [      234.6      477.46]
 [     151.18      476.13]
 [     151.83      480.18]
 [     135.22      480.44]
 [     190.05      493.94]
 [     152.44      474.61]]"
42,0.84,,0.0,0
44,0.88,,0.0,0
46,0.92,,0.0,0
