frame_count,time_sec,id,conf,landmarks
0,0.0,,0.9684632420539856,"[[      615.8      149.81]
 [     701.62      165.81]
 [     603.81      113.85]
 [     728.59      128.76]
 [     595.76      75.481]
 [     751.89      87.281]
 [     581.11      27.875]
 [     796.84      52.001]
 [     551.79      75.849]
 [     818.38      120.48]
 [     544.99      124.91]
 [      818.1      196.52]
 [     541.83      179.37]
 [     788.53      261.16]
 [      533.2      224.18]
 [     572.54      210.04]
 [     507.28      266.93]
 [     603.15      286.08]
 [      483.6      265.16]
 [     656.61      284.62]
 [     495.08      254.52]
 [     631.07      264.25]
 [     494.17       276.6]
 [     630.85      304.53]
 [     543.53       265.8]
 [     530.02       285.1]
 [     506.33      285.39]
 [     551.73       295.8]
 [     523.72      269.49]
 [     567.04      274.69]
 [     488.35      296.77]
 [     627.39      338.31]
 [     517.75       312.5]
 [     492.71      308.55]
 [     548.59      317.62]
 [     512.14      343.07]
 [     479.13      334.12]
 [     580.21      353.11]
 [     510.45      366.33]
 [     480.09      361.16]
 [     675.27      407.01]
 [     510.34       399.2]
 [     512.81       417.4]
 [     479.68      402.72]
 [     589.88       417.5]
 [      516.9      387.32]]"
2,0.04,,0.9618695974349976,"[[     614.21      148.34]
 [     699.48      166.44]
 [     603.55       112.9]
 [     726.02      129.22]
 [     593.71      75.751]
 [      749.9      87.435]
 [     575.43      29.837]
 [     794.91      51.968]
 [     546.74      75.627]
 [     816.57      120.06]
 [     541.85      123.74]
 [     816.11      196.25]
 [     541.61      179.11]
 [     786.21      259.88]
 [     536.04      222.79]
 [     572.67      210.15]
 [     507.51      265.49]
 [        603      284.79]
 [      482.8      264.32]
 [     655.39         284]
 [     495.48      251.56]
 [     630.47      264.11]
 [     494.04      275.74]
 [     629.86      302.54]
 [      543.7      267.62]
 [     529.41      284.86]
 [     506.02      285.91]
 [     550.36      296.02]
 [     524.68      270.91]
 [     566.02       276.7]
 [     486.54      294.24]
 [     627.11      337.61]
 [     515.76      311.61]
 [      492.5      308.66]
 [     545.64      317.97]
 [      509.5      342.88]
 [     478.37      333.93]
 [     578.52      354.31]
 [     509.04       366.2]
 [     484.12      363.28]
 [     681.68       405.5]
 [     509.15      406.17]
 [      511.3      424.08]
 [     481.91      402.65]
 [     593.69      418.41]
 [     517.65      393.23]]"
4,0.08,,0.9916852712631226,"[[     614.06      150.32]
 [      698.6      165.33]
 [     602.68      112.29]
 [     726.43      129.43]
 [     593.89      74.495]
 [     749.24      87.353]
 [     578.61      28.774]
 [     795.81      53.513]
 [     548.03      75.642]
 [      817.4      119.53]
 [     540.93      126.14]
 [     816.63      196.26]
 [     539.88      182.13]
 [     786.32      261.98]
 [     530.86      225.56]
 [      569.6      210.16]
 [     504.66       266.9]
 [     601.11      284.05]
 [     480.03      264.01]
 [     654.59      283.68]
 [      491.9      252.08]
 [     629.08      263.71]
 [     489.86      277.12]
 [     628.27      303.73]
 [     541.76      265.02]
 [     527.59       285.5]
 [     505.07      285.67]
 [     550.08      295.72]
 [     522.28       268.7]
 [     564.13      272.85]
 [     481.48      295.51]
 [     626.19      337.56]
 [     516.11      312.09]
 [     491.17      307.78]
 [     548.27      317.21]
 [     512.01      341.88]
 [     478.93      335.25]
 [     580.16      353.24]
 [     509.61      363.92]
 [     475.04      361.44]
 [     669.14      411.19]
 [     507.72       386.3]
 [     510.23      401.75]
 [     476.18      403.08]
 [     585.27      418.99]
 [     512.41      374.21]]"
6,0.12,,0.9531443119049072,"[[     611.94      151.15]
 [     696.29      165.68]
 [     601.54      114.99]
 [     724.32      128.46]
 [     591.67      75.939]
 [     747.74      86.471]
 [     574.24       29.86]
 [     795.02      52.166]
 [     545.49      76.023]
 [     815.72      120.24]
 [     538.72      126.36]
 [     815.02      197.34]
 [     537.13      178.38]
 [     784.33       260.6]
 [     530.09      223.95]
 [     566.82      207.59]
 [     505.17      266.55]
 [     599.98      283.22]
 [     481.97      264.68]
 [     652.14      282.51]
 [     493.62      251.76]
 [     627.19      261.96]
 [     490.75      276.32]
 [     627.05      302.89]
 [     539.71      261.69]
 [     524.53      283.38]
 [     500.92      283.67]
 [     547.89      293.65]
 [     518.71      265.13]
 [     563.27      270.25]
 [     486.17      295.77]
 [     624.68      337.96]
 [      513.6       310.7]
 [     487.92      307.22]
 [     546.41      315.64]
 [     508.96      341.55]
 [     474.85      336.57]
 [     579.79      352.74]
 [     507.57      363.56]
 [     472.47      358.77]
 [     670.22       403.5]
 [     506.18      391.61]
 [     508.71      407.84]
 [     476.42      401.82]
 [     587.79      417.32]
 [     511.86      379.18]]"
8,0.16,,0.9973860383033752,"[[     608.58      152.61]
 [     693.55      166.27]
 [     598.04      114.84]
 [     722.56      129.26]
 [     589.89       75.86]
 [     746.11       87.39]
 [     575.55        29.7]
 [     791.93      52.551]
 [     543.78      75.503]
 [     814.01      118.62]
 [     537.53      127.58]
 [      812.1      195.82]
 [     535.17      180.66]
 [     782.54       259.6]
 [     525.52      222.82]
 [     568.33      211.82]
 [     499.37         265]
 [     597.73      281.28]
 [     476.55      261.39]
 [      649.6      281.23]
 [     488.47      248.77]
 [     626.24      261.19]
 [     485.43      276.26]
 [     624.61      298.27]
 [     537.69      263.08]
 [     523.62      281.29]
 [        501      281.98]
 [     546.06      291.97]
 [     519.09      267.04]
 [     559.62       271.4]
 [     479.55      292.73]
 [      621.4      331.02]
 [     511.14      308.08]
 [     485.77      303.66]
 [      543.3      313.65]
 [     506.98      338.57]
 [     474.79      331.13]
 [     575.83      348.23]
 [     505.67      362.29]
 [     471.58      362.45]
 [     668.53      409.13]
 [     505.52       388.7]
 [     508.05      404.65]
 [     475.21      400.63]
 [     585.36      417.71]
 [     509.63      375.01]]"
10,0.2,,0.9842817187309265,"[[     610.54      150.01]
 [      694.1      165.93]
 [     599.85      111.54]
 [      721.4      128.24]
 [     591.77      73.769]
 [     745.07      86.737]
 [     571.93      30.555]
 [     791.18      53.276]
 [     543.88      73.281]
 [     812.86      120.64]
 [     537.54      124.45]
 [     812.29      196.76]
 [     537.32      177.42]
 [     780.26      261.77]
 [     528.99      219.99]
 [      564.2      206.48]
 [     501.68      260.31]
 [     595.66      281.12]
 [      478.4      259.69]
 [     649.48      280.33]
 [     491.35      248.13]
 [     624.55       260.7]
 [     487.41      271.18]
 [     623.81      298.28]
 [     537.11      260.42]
 [     523.04      279.79]
 [     500.94      280.28]
 [     545.12      289.94]
 [     518.65      263.73]
 [     559.06      268.44]
 [     482.51      286.84]
 [     621.82         332]
 [     511.97      305.76]
 [     486.85      301.79]
 [     543.45      311.01]
 [     506.99      335.02]
 [     474.66       328.6]
 [     574.39      348.05]
 [     505.35      356.74]
 [     470.93      356.02]
 [     664.18      402.01]
 [      503.4      378.44]
 [     505.56      393.63]
 [     471.13      397.71]
 [     584.87      415.07]
 [     509.64      366.38]]"
12,0.24,,0.9918467998504639,"[[     608.91      151.12]
 [     693.48      167.12]
 [     598.26      112.36]
 [     721.22      129.53]
 [     590.23      76.767]
 [     743.61      88.693]
 [     574.09      30.114]
 [      791.4      53.638]
 [     547.39      73.807]
 [     812.53      120.12]
 [     541.07      123.46]
 [     810.23       196.9]
 [     539.21      180.91]
 [     779.94      263.31]
 [     527.89       223.2]
 [     562.64      208.35]
 [     501.26      262.07]
 [     595.84      281.24]
 [     476.91      259.74]
 [     647.72      280.77]
 [     489.91      248.96]
 [     623.14      260.72]
 [     486.15      272.34]
 [     623.08      297.89]
 [     536.45      260.39]
 [     523.78       280.5]
 [     500.94      280.78]
 [     545.53      290.17]
 [      517.1      264.38]
 [     558.19      268.39]
 [     483.42      285.64]
 [     619.49      330.22]
 [     513.55      306.17]
 [     486.85       301.6]
 [     544.74      311.23]
 [     508.63      335.84]
 [     474.75      330.05]
 [     574.76      345.99]
 [     506.58      355.39]
 [     466.91      353.37]
 [     658.96      400.67]
 [     503.91      371.68]
 [     506.42       385.7]
 [     470.38      396.89]
 [     580.64      412.72]
 [     508.22      361.89]]"
14,0.28,,0.9858332872390747,"[[     611.45      153.32]
 [     692.91      166.85]
 [     601.67      116.89]
 [     722.48      129.26]
 [     593.21      80.022]
 [     745.77      88.762]
 [     574.56       34.64]
 [      792.9      54.257]
 [     547.15      77.594]
 [     814.73      120.93]
 [      542.9      127.84]
 [     810.59      197.26]
 [     542.63      181.13]
 [     779.51      263.41]
 [     528.01      219.91]
 [     565.09      208.15]
 [     503.25      261.66]
 [     595.57      281.94]
 [     478.67      259.95]
 [        648      281.38]
 [     492.18      247.77]
 [     623.28      261.76]
 [     488.79      271.84]
 [      623.7       298.5]
 [     537.75      260.29]
 [     523.11      279.64]
 [     501.41      280.38]
 [     545.85      289.92]
 [     518.39      263.12]
 [     558.78      267.65]
 [     485.29      287.01]
 [     621.99      331.51]
 [     512.96      304.92]
 [     487.91      301.06]
 [     544.44         311]
 [     508.25      334.66]
 [     476.16      327.86]
 [     575.06       345.1]
 [     506.27      353.95]
 [     466.39      353.42]
 [     660.21      404.64]
 [     503.89      371.23]
 [     506.03      385.01]
 [     468.47      396.73]
 [      582.4      415.77]
 [     508.12      361.36]]"
16,0.32,,0.987880527973175,"[[     611.34      153.39]
 [     694.51      165.89]
 [     600.82       115.8]
 [     723.92      129.76]
 [     592.99       77.94]
 [     747.51      88.988]
 [     576.09      33.128]
 [     793.69      54.927]
 [     546.21      75.991]
 [     815.05      120.28]
 [     539.94      127.96]
 [     812.77      196.45]
 [     538.14      179.04]
 [     780.58      261.94]
 [     530.41       217.9]
 [     564.91      209.02]
 [     500.16      261.68]
 [     595.29      282.54]
 [     477.76      260.28]
 [     648.89      281.51]
 [     490.69      249.58]
 [     623.22      261.98]
 [     486.84      271.38]
 [     623.76      299.55]
 [     536.62      258.41]
 [     522.64      279.44]
 [     500.03      279.81]
 [     545.09      289.37]
 [     516.79       262.3]
 [     558.23      267.06]
 [      480.3      287.51]
 [     621.01      332.61]
 [     512.41      304.46]
 [     486.38      300.74]
 [     543.47      310.78]
 [     507.68      334.42]
 [     473.88      328.79]
 [     572.43      345.97]
 [        506      356.36]
 [     466.41      354.84]
 [     661.41      401.51]
 [      503.7      376.74]
 [     505.66      391.91]
 [     471.46      397.18]
 [     583.05      414.31]
 [     509.04      365.21]]"
18,0.36,,0.9857621192932129,"[[     610.59       154.3]
 [     695.37      166.61]
 [     600.64      115.81]
 [     722.92      130.81]
 [     593.23      78.601]
 [     747.89      90.411]
 [     576.95      32.635]
 [     794.73      55.552]
 [     546.69      75.952]
 [      815.7      120.29]
 [     539.64      126.18]
 [     812.62      195.52]
 [     536.24      181.17]
 [     781.18      262.22]
 [     526.12      219.33]
 [     565.88      209.82]
 [     501.24      262.28]
 [     595.01       282.3]
 [     477.48      260.84]
 [     649.15      281.87]
 [     490.39      248.86]
 [     624.15      262.17]
 [      487.1      272.14]
 [     623.94      299.19]
 [     537.52      259.39]
 [     523.38      280.17]
 [     501.18       280.6]
 [     546.22      289.99]
 [     517.38         263]
 [     559.01      267.78]
 [     480.92      287.92]
 [      620.5      333.58]
 [     513.66      304.65]
 [      487.7      300.87]
 [     544.55      311.55]
 [     508.75      335.09]
 [     475.14      327.88]
 [     575.02       346.6]
 [     506.87      357.06]
 [     468.16      354.84]
 [        661      402.93]
 [     504.67      376.81]
 [     506.58      392.28]
 [     472.43      398.25]
 [     582.91      416.07]
 [     509.72      366.16]]"
