frame_count,time_sec,id,conf,landmarks
0,0.0,,1.353708648821339e-05,"[[     1097.5      337.25]
 [       1171       272.6]
 [     1076.2      318.89]
 [     1203.6      288.63]
 [     1060.6      304.25]
 [     1229.6      317.88]
 [     1038.2      312.55]
 [     1271.2      368.78]
 [     1009.5       343.9]
 [       1259      300.91]
 [     1006.4      370.79]
 [     1244.9      259.78]
 [     1026.9       403.1]
 [     1178.4      251.63]
 [     1181.3      302.51]
 [     1212.5      312.64]
 [     1173.3      355.11]
 [     1233.1      342.62]
 [     1145.9      362.62]
 [     1257.8       336.9]
 [     1156.8       346.9]
 [     1243.5      330.72]
 [     1160.3      367.36]
 [     1247.8      348.98]
 [     1253.8      368.82]
 [     1280.4      391.67]
 [     1260.6      399.71]
 [     1301.4      390.93]
 [     1235.7      377.64]
 [     1273.5       367.5]
 [     1160.4      385.18]
 [     1254.1      368.27]
 [     1290.3       411.3]
 [     1263.9      418.79]
 [     1309.9      409.25]
 [     1291.8      433.37]
 [     1232.9      428.28]
 [     1315.8      408.14]
 [     1293.4      451.83]
 [     1189.4      460.68]
 [     1319.6      411.86]
 [     1292.9      454.93]
 [     1294.7      464.86]
 [     1242.7      471.36]
 [     1317.1      447.04]
 [     1293.7      449.78]]"
2,0.04,,6.242823928914731e-06,"[[     1099.7      338.33]
 [     1178.1      272.72]
 [     1080.1      317.46]
 [     1209.2      288.57]
 [       1066      304.51]
 [     1235.1      319.97]
 [       1043       307.7]
 [     1276.1      368.77]
 [       1019      338.38]
 [     1266.6      305.05]
 [     1014.3      366.28]
 [     1252.9      261.95]
 [     1033.6      403.13]
 [     1182.1      250.61]
 [       1192      296.81]
 [     1216.5      308.82]
 [     1183.4      352.08]
 [     1237.6      339.18]
 [     1158.6      359.64]
 [     1261.4      334.03]
 [     1167.8       344.9]
 [     1247.1      327.32]
 [     1172.1      363.75]
 [     1251.9      345.11]
 [     1262.2      363.69]
 [     1290.2      387.62]
 [     1271.5      395.71]
 [     1310.4      386.09]
 [       1245      373.58]
 [     1280.8       362.6]
 [     1171.4      387.91]
 [     1258.8      363.46]
 [     1301.2      405.53]
 [     1274.8       413.3]
 [     1319.9       402.3]
 [     1303.6      427.31]
 [     1244.9       427.3]
 [     1322.8      401.83]
 [     1305.9      447.56]
 [     1196.1      455.31]
 [     1326.6      404.35]
 [     1304.1      450.78]
 [     1306.2      460.79]
 [     1256.8      463.98]
 [     1324.1      440.21]
 [     1306.5      445.79]]"
4,0.08,,0.012415177188813686,"[[     1129.6      289.43]
 [     1200.6      266.43]
 [     1115.4      288.27]
 [       1230      283.87]
 [     1096.9      302.45]
 [       1246         309]
 [     1069.6      332.78]
 [     1271.6      349.28]
 [       1046      330.12]
 [     1269.2      300.48]
 [     1043.7      320.33]
 [     1259.5      264.98]
 [     1076.2      358.25]
 [     1208.1      251.99]
 [       1213      309.41]
 [     1245.2      312.28]
 [     1205.4       353.4]
 [       1260       337.1]
 [     1170.9         358]
 [     1276.6      332.23]
 [     1186.5      343.06]
 [     1265.9      326.68]
 [     1190.9      366.78]
 [     1270.2      341.88]
 [       1278      368.66]
 [     1305.2      386.63]
 [     1285.2      396.38]
 [     1322.6      386.35]
 [     1262.6      376.78]
 [     1292.4      366.84]
 [     1197.8       393.5]
 [     1274.5      358.06]
 [     1314.3      404.33]
 [     1288.1       412.2]
 [       1331       402.4]
 [     1314.7      427.59]
 [     1260.5      425.81]
 [     1332.1       405.2]
 [       1316      444.03]
 [     1222.8      453.11]
 [     1331.9      407.22]
 [     1313.1      447.24]
 [     1314.9      455.71]
 [     1273.1      462.09]
 [       1332      440.04]
 [     1315.5      443.98]]"
6,0.12,,0.0015183931682258844,"[[     1137.3      290.14]
 [     1204.5      264.12]
 [     1113.4      280.89]
 [     1230.1      282.54]
 [     1093.3      287.03]
 [     1249.6       305.2]
 [     1070.2      308.41]
 [     1272.1      341.92]
 [       1058      321.57]
 [     1268.6      295.87]
 [     1057.4      330.23]
 [     1257.2      261.05]
 [     1084.2      365.61]
 [     1211.7      251.58]
 [     1212.1      307.15]
 [     1242.6      298.26]
 [     1207.8      348.55]
 [     1262.7      331.63]
 [     1171.5      352.09]
 [     1278.6      329.95]
 [     1189.4      336.49]
 [     1269.9      324.22]
 [     1189.9      360.84]
 [     1272.2      338.07]
 [     1280.4      365.15]
 [     1306.2      381.26]
 [     1286.4      390.59]
 [     1322.6      381.72]
 [     1264.9      372.39]
 [     1294.2       363.7]
 [     1197.6      385.66]
 [     1277.8      355.46]
 [     1315.9      398.97]
 [     1289.8      406.63]
 [     1331.5       397.3]
 [     1315.2      423.04]
 [     1261.6      420.06]
 [     1332.4      400.84]
 [     1316.2         438]
 [     1223.4      449.12]
 [     1331.7      404.85]
 [     1312.7      441.71]
 [     1313.7       449.7]
 [       1274      455.05]
 [     1331.1      433.25]
 [     1315.4      438.13]]"
8,0.16,,0.022445080801844597,"[[       1143      279.36]
 [     1205.8       261.8]
 [     1117.6       272.5]
 [     1231.6      281.15]
 [     1095.4       283.6]
 [       1250      305.81]
 [     1069.6      309.19]
 [     1271.9      341.17]
 [     1056.4      319.74]
 [     1268.5      295.72]
 [     1058.9      322.31]
 [     1258.7      260.76]
 [     1086.3      354.24]
 [     1215.9      249.56]
 [     1212.1      302.02]
 [     1251.7      309.52]
 [     1208.2       344.6]
 [     1261.9      331.34]
 [       1170      347.51]
 [     1279.8      329.96]
 [     1189.2      332.51]
 [     1269.4      322.41]
 [     1190.5      357.98]
 [     1271.2       337.5]
 [     1279.2      360.71]
 [     1305.2       378.3]
 [     1285.2      386.91]
 [     1321.2      378.84]
 [     1263.7       367.6]
 [     1292.4       359.5]
 [     1195.8      381.19]
 [       1276      350.61]
 [     1314.1      396.36]
 [     1288.2      403.33]
 [     1330.4      394.76]
 [     1313.3      420.45]
 [     1259.5      415.75]
 [     1330.7      398.23]
 [     1313.6      435.78]
 [     1221.2      442.36]
 [     1330.6      403.97]
 [     1309.8      438.62]
 [       1311      447.24]
 [     1268.7      450.15]
 [     1328.9      431.83]
 [     1312.5      434.46]]"
10,0.2,,0.0011919126845896244,"[[     1144.6      276.84]
 [     1206.5      262.31]
 [     1118.3       271.8]
 [     1233.3      280.35]
 [     1097.3      284.64]
 [     1249.3      306.52]
 [       1070      310.38]
 [     1274.5         343]
 [     1055.4      314.52]
 [     1273.2      295.07]
 [     1057.5      319.72]
 [       1263      260.34]
 [     1082.8      355.74]
 [       1217      249.64]
 [     1215.2       301.2]
 [     1249.1      299.09]
 [     1207.6      342.32]
 [     1265.3      326.95]
 [     1170.6      345.27]
 [     1279.7      325.89]
 [     1189.2      329.23]
 [     1272.5      320.31]
 [     1190.6      354.15]
 [     1273.2       332.8]
 [     1279.8      358.34]
 [     1306.3      376.42]
 [     1286.6      385.15]
 [     1322.1       377.1]
 [     1264.4      365.17]
 [       1293      357.45]
 [     1198.1         379]
 [     1277.3      351.11]
 [     1315.6      394.51]
 [     1290.3      401.02]
 [     1330.8      393.29]
 [     1314.2       418.2]
 [     1260.5      413.51]
 [     1330.9      397.36]
 [     1314.1      432.66]
 [     1220.8      437.98]
 [     1331.5      402.91]
 [     1309.6      436.37]
 [     1310.4      444.78]
 [     1272.1      446.68]
 [     1328.6      427.77]
 [       1313      432.33]]"
12,0.24,,0.0006137402961030602,"[[     1147.6      273.28]
 [     1209.8      260.78]
 [       1120       268.6]
 [     1235.3      280.67]
 [     1099.3      283.36]
 [     1250.6      305.38]
 [     1069.9      312.47]
 [     1275.3      340.77]
 [     1053.4      311.24]
 [     1273.3      293.86]
 [     1056.6      315.28]
 [     1263.9      261.16]
 [       1087         355]
 [     1220.6      249.84]
 [       1215      298.55]
 [     1245.5      294.38]
 [     1207.7      340.19]
 [     1264.6      325.49]
 [     1170.3       342.7]
 [       1280       324.2]
 [       1189      326.81]
 [     1271.7      318.16]
 [     1190.7      352.05]
 [     1273.5      330.92]
 [     1279.9      357.21]
 [     1306.2      374.87]
 [       1287      383.56]
 [     1321.8      375.56]
 [     1264.7      363.96]
 [     1292.9      356.28]
 [     1198.2      376.93]
 [     1277.2       350.1]
 [     1315.4      392.69]
 [       1291      399.13]
 [     1330.1      391.57]
 [     1313.9      415.92]
 [     1260.2      411.83]
 [     1330.9      395.18]
 [     1313.8      429.69]
 [     1221.3      436.77]
 [     1331.4      401.16]
 [     1309.3       434.7]
 [     1310.1      442.74]
 [       1272      445.36]
 [     1328.1      425.54]
 [     1312.6      429.93]]"
14,0.28,,0.0007107845158316195,"[[     1137.5      285.31]
 [       1210      260.04]
 [     1112.3      274.48]
 [     1236.8      280.36]
 [     1092.1      280.12]
 [     1252.8      305.62]
 [     1067.6      291.74]
 [     1277.9      342.34]
 [     1059.9      310.35]
 [     1274.2      295.02]
 [     1059.6      324.55]
 [     1264.4      262.45]
 [     1081.3      357.52]
 [     1222.3       250.4]
 [     1217.8      295.72]
 [       1246      292.59]
 [     1206.9      337.31]
 [     1264.7       323.4]
 [       1172      339.83]
 [     1279.7      321.53]
 [     1188.5      324.84]
 [     1271.7      316.13]
 [     1190.6      349.02]
 [     1273.3      328.78]
 [     1279.3      353.65]
 [       1306       371.1]
 [     1285.7      379.66]
 [     1321.5      371.79]
 [     1264.5      360.49]
 [       1292      352.77]
 [     1197.2       374.6]
 [     1277.2      347.18]
 [     1314.6      388.75]
 [       1289      395.93]
 [     1330.5      387.89]
 [     1313.4      412.85]
 [     1259.8      408.95]
 [     1330.2      392.01]
 [     1313.3       426.5]
 [     1222.1      433.22]
 [     1328.7      397.75]
 [     1309.2      430.66]
 [     1309.7      438.33]
 [     1272.3      441.78]
 [       1327      422.07]
 [     1312.1      425.92]]"
16,0.32,,0.0008566887699998915,"[[       1141      277.17]
 [     1210.4      260.14]
 [     1115.2      268.43]
 [     1235.7      280.47]
 [     1096.2      282.46]
 [     1251.7      305.36]
 [     1069.4       303.8]
 [     1276.3      338.02]
 [     1055.7      307.72]
 [       1276      293.47]
 [       1057      317.36]
 [     1265.5      261.57]
 [     1082.7      355.37]
 [     1220.8       249.6]
 [     1218.4      294.24]
 [     1246.1      291.76]
 [     1206.9      338.13]
 [     1265.2      323.04]
 [     1171.8      338.16]
 [       1280      321.11]
 [     1188.8      323.52]
 [     1272.3      315.91]
 [     1190.5      348.51]
 [       1274      327.96]
 [     1277.8      352.36]
 [     1305.1      369.64]
 [       1285      378.24]
 [     1320.3      370.09]
 [     1262.9      359.38]
 [     1290.4      351.12]
 [     1196.9       372.9]
 [     1277.7      347.68]
 [     1314.2      386.81]
 [     1288.2      393.98]
 [     1329.3      386.16]
 [     1312.8      410.68]
 [     1258.9      407.67]
 [     1329.2      391.21]
 [     1312.8      425.13]
 [     1219.7      432.47]
 [     1327.6      397.11]
 [     1308.7      428.17]
 [     1309.4      436.13]
 [     1271.6      440.68]
 [     1326.3      421.13]
 [     1311.4      423.92]]"
18,0.36,,0.003187999129295349,"[[     1142.2      281.94]
 [     1210.9      258.08]
 [     1116.9      270.55]
 [     1235.7      277.72]
 [     1096.5      276.84]
 [     1251.8      301.34]
 [     1068.8      295.53]
 [       1278      335.76]
 [     1057.2       305.4]
 [       1276      290.71]
 [     1057.6      316.81]
 [     1265.8      259.49]
 [     1081.1      350.65]
 [     1222.4       248.8]
 [     1214.4      291.86]
 [     1243.9         291]
 [       1207      333.05]
 [     1262.7      320.52]
 [     1171.5      337.37]
 [     1278.6      318.86]
 [     1188.7      321.24]
 [     1269.4      312.08]
 [     1190.7      345.88]
 [     1271.7      326.32]
 [     1277.6      350.28]
 [     1303.8      367.26]
 [     1283.9      376.02]
 [     1319.1      367.61]
 [     1262.8      357.33]
 [     1290.1      349.44]
 [     1197.6      370.78]
 [     1277.2      343.74]
 [     1313.4       385.3]
 [     1287.4      392.27]
 [     1328.7      383.69]
 [     1312.2      408.77]
 [       1258      406.48]
 [     1329.1      388.61]
 [     1312.4      423.31]
 [     1221.2      430.85]
 [     1327.6      395.48]
 [       1308      426.95]
 [       1309      435.42]
 [     1271.5       437.6]
 [       1325      418.04]
 [       1311      422.24]]"
20,0.4,,0.0014692273689433932,"[[     1144.3      275.48]
 [     1210.8      257.01]
 [     1117.3      267.32]
 [     1236.2      275.67]
 [     1095.1      276.71]
 [     1249.5      300.19]
 [     1068.3      296.89]
 [     1275.7      331.41]
 [     1057.6       304.5]
 [     1273.7      287.91]
 [     1059.2       313.1]
 [     1264.9       258.7]
 [     1082.9      349.54]
 [     1222.6      248.07]
 [     1216.1      290.43]
 [     1240.8      287.92]
 [     1206.5      332.87]
 [     1262.9      319.43]
 [     1170.7      334.87]
 [     1278.1      318.35]
 [       1188      320.27]
 [     1269.6      312.13]
 [     1190.2      344.38]
 [     1271.6      325.67]
 [     1276.3      348.57]
 [     1302.9      365.61]
 [     1282.9      374.42]
 [     1318.3      365.96]
 [     1261.6      355.71]
 [     1288.9      347.39]
 [     1196.9      369.06]
 [     1275.9      343.23]
 [       1312      382.82]
 [     1286.8      389.73]
 [     1326.9      381.61]
 [     1310.8      406.09]
 [     1257.3      402.98]
 [     1327.3      388.02]
 [     1310.7      420.46]
 [     1219.6      426.53]
 [       1326      392.11]
 [     1306.2      424.74]
 [     1306.9      432.74]
 [       1270      435.67]
 [     1323.9      415.89]
 [     1309.1       420.2]]"
22,0.44,,0.0016599125228822231,"[[       1140      280.67]
 [     1210.1      254.03]
 [     1114.8      269.11]
 [     1234.6      273.45]
 [     1091.2      269.55]
 [     1250.9      298.38]
 [     1066.3      283.94]
 [     1279.7      332.24]
 [     1060.4      301.59]
 [     1276.6      288.23]
 [     1062.8      318.29]
 [       1265       255.6]
 [     1082.9      350.04]
 [     1221.7      245.57]
 [     1216.2      286.94]
 [     1243.4      290.62]
 [     1206.9      330.35]
 [     1263.4      317.22]
 [     1171.3      333.07]
 [     1279.8      314.81]
 [     1188.9      317.43]
 [       1270      308.13]
 [     1190.3      342.57]
 [     1272.8      322.87]
 [     1278.4      345.68]
 [     1304.7      362.83]
 [     1284.6      372.05]
 [     1319.9      363.22]
 [     1263.3      352.89]
 [       1291      344.52]
 [     1196.8      365.93]
 [     1278.4      340.97]
 [     1314.1      380.22]
 [     1288.2      387.85]
 [     1329.3      379.04]
 [     1313.2      404.52]
 [     1258.2      403.13]
 [     1329.5      385.04]
 [     1313.7      418.69]
 [     1222.8      427.53]
 [     1328.1      390.88]
 [     1309.4      423.04]
 [     1310.2       430.7]
 [     1273.1      434.67]
 [     1326.3      414.48]
 [     1312.1      417.59]]"
24,0.48,,0.0013256862293928862,"[[     1139.4      276.99]
 [     1215.1       255.4]
 [     1113.1      267.36]
 [     1239.3      272.32]
 [     1090.9      269.81]
 [     1253.7      296.85]
 [       1068      282.92]
 [     1278.9      331.18]
 [     1062.1      299.67]
 [     1276.6      287.01]
 [     1064.9      315.46]
 [     1266.2      257.45]
 [     1084.5       348.1]
 [     1228.1      245.59]
 [     1219.1      286.01]
 [     1241.5      286.07]
 [     1207.3      329.01]
 [     1264.2      316.77]
 [     1172.3      331.87]
 [     1281.6      316.26]
 [     1188.5       317.3]
 [     1271.1      308.16]
 [     1190.6      340.66]
 [     1273.2      323.81]
 [     1278.2      345.47]
 [     1304.4       363.4]
 [     1284.4      372.16]
 [       1320      363.44]
 [     1263.4      352.79]
 [     1290.9      344.59]
 [     1197.1      365.04]
 [     1278.8      341.69]
 [     1313.4      380.51]
 [     1288.2      387.76]
 [     1329.1      379.18]
 [     1312.7      404.38]
 [     1258.1      402.31]
 [     1328.9      385.29]
 [     1312.8      418.95]
 [     1220.4      425.87]
 [     1327.3      390.99]
 [     1308.8       423.8]
 [     1309.6      431.64]
 [     1271.1      434.33]
 [     1325.6      414.66]
 [     1311.3      418.25]]"
26,0.52,,0.00680575892329216,"[[     1140.9      266.55]
 [       1214      254.13]
 [     1118.3      264.88]
 [     1239.1      270.87]
 [     1100.1      276.07]
 [     1253.3       295.9]
 [       1074      300.05]
 [     1279.7      329.31]
 [     1059.2      297.07]
 [     1275.6      284.62]
 [     1058.4      299.04]
 [     1264.5      256.44]
 [     1082.9      345.82]
 [     1225.6      243.84]
 [     1215.6      288.29]
 [     1243.3      290.29]
 [     1206.3      328.62]
 [     1261.7      316.34]
 [     1170.9       331.8]
 [     1278.9      313.75]
 [     1187.8      316.77]
 [     1269.2      306.81]
 [     1191.1      341.25]
 [     1271.7      322.73]
 [     1276.8      344.73]
 [       1303      362.87]
 [     1283.6       371.9]
 [     1318.9      363.28]
 [     1261.7      352.26]
 [     1289.3      343.85]
 [     1197.1      365.91]
 [     1277.1      338.76]
 [     1312.2      380.56]
 [       1288      386.89]
 [       1327      379.14]
 [     1311.2      403.63]
 [     1256.9      400.47]
 [     1327.5      386.68]
 [     1311.5      418.44]
 [     1219.3      423.69]
 [     1327.3      389.86]
 [     1307.1      422.93]
 [     1308.1      430.53]
 [       1270      433.34]
 [     1324.5       413.9]
 [     1309.7      417.93]]"
28,0.56,,0.0009076399728655815,"[[     1138.3      268.55]
 [     1214.7      253.78]
 [     1112.6      261.26]
 [     1238.4      271.21]
 [     1088.8      269.37]
 [     1252.6      295.82]
 [       1065      286.97]
 [     1279.6      329.68]
 [     1057.2      295.21]
 [     1277.4      287.05]
 [       1062      309.43]
 [     1265.3      256.27]
 [     1084.3      344.31]
 [     1225.6      244.09]
 [     1217.4       282.9]
 [     1241.1      284.12]
 [     1206.5      327.08]
 [     1262.7      314.93]
 [       1172      329.69]
 [     1280.7      313.31]
 [     1187.5      314.41]
 [     1270.7      305.76]
 [       1190      339.85]
 [       1273      321.48]
 [     1277.5      341.72]
 [     1303.3      360.96]
 [     1283.2      369.13]
 [     1318.8       361.7]
 [     1262.7      348.86]
 [     1290.2      341.39]
 [     1193.4      365.16]
 [     1277.4      338.04]
 [     1311.5      378.54]
 [     1286.1      384.68]
 [     1327.6      377.38]
 [     1310.3      402.36]
 [     1256.3      398.48]
 [     1326.8      384.25]
 [     1310.1      416.02]
 [     1218.3      420.79]
 [     1326.5      389.85]
 [     1305.7      420.71]
 [     1306.5      428.39]
 [     1267.7      431.78]
 [       1324      414.12]
 [     1308.8      414.98]]"
30,0.6,,0.0018537366995587945,"[[     1139.9      275.07]
 [       1217      252.52]
 [     1112.7      264.23]
 [     1240.5      269.72]
 [     1088.6      265.13]
 [     1255.4      293.26]
 [     1064.8      276.74]
 [     1280.9      327.43]
 [     1058.7      295.83]
 [       1278      283.28]
 [     1060.7       314.4]
 [     1265.1      254.11]
 [     1084.2      346.95]
 [     1228.5      242.12]
 [       1218      282.32]
 [     1243.3      280.97]
 [     1206.4      327.33]
 [     1263.7      313.68]
 [     1170.4      328.94]
 [     1280.6      312.16]
 [     1187.5      313.89]
 [     1271.1      306.19]
 [     1189.9       338.2]
 [     1272.7      319.31]
 [     1276.5      341.96]
 [     1302.7      359.07]
 [     1282.6       367.9]
 [     1318.5      359.41]
 [     1261.7      349.13]
 [     1289.1      341.04]
 [       1196      362.83]
 [     1279.2      337.85]
 [     1312.1      377.03]
 [     1286.5      384.33]
 [       1328      375.67]
 [     1311.2      400.48]
 [     1256.6      399.34]
 [     1327.3      382.39]
 [     1311.1      415.08]
 [     1219.9      422.77]
 [     1326.3      389.74]
 [     1306.8      419.75]
 [     1307.5       427.9]
 [     1268.7      431.38]
 [     1323.6      411.65]
 [     1309.9      414.66]]"
32,0.64,,0.0007246123277582228,"[[     1137.1      276.97]
 [     1218.9      252.36]
 [     1112.8      266.77]
 [     1241.8      269.62]
 [     1089.1      264.78]
 [     1255.6      291.94]
 [     1063.5      272.17]
 [     1281.2      324.99]
 [     1060.1      294.88]
 [     1278.2      283.68]
 [     1060.2      314.52]
 [     1269.1      255.53]
 [     1080.4      348.32]
 [     1229.6       242.8]
 [     1217.9      281.26]
 [     1240.9      279.12]
 [     1206.3      326.14]
 [     1263.9      313.14]
 [     1170.1      327.25]
 [     1280.4      312.07]
 [     1186.9      313.92]
 [     1271.2      305.59]
 [     1189.5      336.24]
 [     1273.4       319.2]
 [     1276.8      340.69]
 [     1303.4       357.6]
 [     1283.5      366.58]
 [     1318.8      358.06]
 [     1262.3      347.75]
 [     1289.3      339.38]
 [     1193.7       360.3]
 [     1278.7      336.83]
 [     1312.8      374.67]
 [     1287.3      381.87]
 [     1327.6      373.87]
 [     1311.4      397.99]
 [     1256.9      397.23]
 [     1327.3      382.04]
 [     1311.4      411.45]
 [       1218      420.24]
 [     1327.2      386.32]
 [     1307.1      417.71]
 [     1307.7      425.11]
 [     1269.8      429.11]
 [     1324.2      408.59]
 [     1310.1      411.99]]"
34,0.68,,0.0005733310244977474,"[[     1139.2      276.97]
 [     1218.5      249.98]
 [     1114.9      266.42]
 [     1243.7       269.2]
 [     1091.8      262.69]
 [     1256.6      291.96]
 [     1065.8      269.48]
 [     1281.6      323.47]
 [     1063.5      292.08]
 [     1279.6      285.03]
 [     1062.3      313.21]
 [     1268.9      255.15]
 [       1080      347.58]
 [     1229.1      241.12]
 [     1219.4      279.62]
 [     1240.9      277.46]
 [       1206      323.88]
 [     1263.3      311.27]
 [       1172      325.28]
 [     1280.1       309.3]
 [     1188.2      311.17]
 [     1270.3       302.9]
 [     1190.1      333.97]
 [     1273.1      317.29]
 [     1275.9      337.08]
 [     1302.2      355.59]
 [       1283      364.03]
 [     1318.5      355.97]
 [     1261.1      344.18]
 [     1288.8      336.25]
 [     1194.3      358.96]
 [     1278.4      334.11]
 [     1311.9      374.31]
 [     1286.9      380.48]
 [     1327.6      372.66]
 [     1310.7      397.26]
 [     1257.4      394.52]
 [     1327.5      379.54]
 [     1310.4      411.49]
 [     1217.8      418.05]
 [     1326.7      385.59]
 [     1306.2      417.01]
 [     1307.1      425.49]
 [     1266.8      426.22]
 [       1323      408.19]
 [     1309.6      411.17]]"
36,0.72,,0.000623236526735127,"[[     1140.9      274.53]
 [     1222.4      251.16]
 [     1114.1      263.58]
 [     1244.2      268.15]
 [     1089.7      262.65]
 [     1257.6       289.4]
 [     1063.4      270.66]
 [       1283      324.45]
 [     1061.4      290.06]
 [     1279.6      282.92]
 [     1062.8      309.89]
 [       1269       255.2]
 [     1084.8      344.42]
 [     1230.5      240.33]
 [     1216.9      277.26]
 [     1241.4      277.42]
 [     1205.8      321.65]
 [       1264      309.88]
 [     1170.6      324.61]
 [     1281.2      308.83]
 [     1187.5      309.99]
 [     1271.4      301.77]
 [     1189.9      332.85]
 [     1273.8      316.17]
 [       1277      335.51]
 [     1303.4      353.58]
 [     1283.4      362.36]
 [     1319.3      354.05]
 [     1262.3      342.83]
 [     1289.3      334.98]
 [     1193.9       358.4]
 [     1278.5       334.1]
 [     1312.7      371.37]
 [     1287.4      377.85]
 [     1328.4       370.1]
 [     1311.7      394.75]
 [     1258.4      392.88]
 [     1327.2       377.9]
 [     1311.4      409.14]
 [     1219.5      415.78]
 [     1327.5      385.19]
 [     1306.9      415.24]
 [     1307.5      423.37]
 [     1269.6      424.94]
 [     1324.1      406.25]
 [     1310.4      409.62]]"
